height,empty_pct,seed,active_nodes,active_width_m,pbc_width,ours_width,width_reduction_pct,pbc_stored_records,ours_stored_records,storage_reduction_pct,pbc_max_bucket,ours_max_bucket,max_bucket_reduction_pct
20,99.95,116000,1046.0,12.0,18.0,12.0,33.33333333333333,3138.0,1046.0,66.66666666666666,175.0,88.0,49.714285714285715
20,99.97500000000001,116100,522.0,10.0,15.0,10.0,33.33333333333333,1566.0,522.0,66.66666666666666,105.0,53.0,49.523809523809526
20,99.99,116200,208.0,9.0,14.0,9.0,35.714285714285715,624.0,208.0,66.66666666666666,47.0,24.0,48.93617021276596
24,99.95,120000,16776.0,17.0,26.0,17.0,34.61538461538461,50328.0,16776.0,66.66666666666666,1974.0,992.0,49.746707193515704
24,99.97500000000001,120100,8386.0,16.0,24.0,16.0,33.33333333333333,25158.0,8386.0,66.66666666666666,1049.0,535.0,48.99904671115348
24,99.99,120200,3354.0,14.0,21.0,14.0,33.33333333333333,10062.0,3354.0,66.66666666666666,480.0,240.0,50.0
