height,sparsity,skipped,trials,occupied,active,m,count_max,count_gap,hybrid_max,hybrid_gap,profile_max,profile_gap,profile_ratio,reduction_vs_hybrid,runtime_ms,moves,valid_rate
16,0.99609375,0.0,5.0,256,510,11,77,75,57.4,28,47,1,1.0137254901960784,18.1184668989547,220.5471800174564,7,1.0
16,0.984375,0.0,5.0,1024,2046,13.6,277,275,181,81.4,151.4,1,1.0050830889540567,16.353591160220994,1732.275260007009,11.4,1.0
16,0.9375,0.0,5.0,4096,8190,15.6,1106.8,1104.8,646.4,313.6,525.6,0.6,1.00014652014652,18.688118811881182,10230.610579997301,18,1.0
20,0.999755859375,0.0,5.0,256,510,11,77,75,56.6,23.8,47,1,1.0137254901960784,16.96113074204947,228.21903987787664,6.6,1.0
20,0.9990234375,0.0,5.0,1024,2046,13.4,287.2,285.2,184.4,81.4,153.6,1,1.004692082111437,16.702819956616054,1718.1525400374085,11.4,1.0
20,0.99609375,0.0,5.0,4096,8190,16.2,998.8,996.8,616.6,341.8,506,1,1.0002930402930403,17.937074278300358,10418.543000053614,17.6,1.0
24,0.9999847412109375,0.0,5.0,256,510,11.2,74.4,72.4,53.4,21.2,46.2,1,1.0133333333333332,13.483146067415719,247.91736006736755,6.6,1.0
24,0.99993896484375,0.0,5.0,1024,2046,13.6,276.8,274.8,180,87.8,151.4,1,1.0050830889540567,15.888888888888886,1552.4232599884272,9.8,1.0
24,0.999755859375,0.0,5.0,4096,8190,16,1025.6,1023.6,624.8,325.6,512,1,1.0002442002442002,18.053777208706776,11994.687480013818,15.8,1.0
