backend,dataset,height,seeds,pbc_width,sparse_width,width_reduction_mean,width_reduction_std,max_bucket_reduction_mean,max_bucket_reduction_std,online_reduction_mean,online_reduction_std,query_reduction_mean,query_reduction_std,server_total_reduction_mean,server_total_reduction_std,setup_reduction_mean,setup_reduction_std
PIANO-local-runner,FuelLabs SMT test vectors,128,3,14,9,0.3571428571428571,0.0,0.4651162790697675,0.0,0.6885593220338984,0.0,0.7044339094226277,0.06494582698475995,,,0.6258286510964445,0.10907096168963622
PIANO-local-runner,Polygon zkEVM broad,128,3,26,17,0.34615384615384615,0.0,0.4898461538461538,0.0,0.5173992673992673,0.0,0.6793207600246486,0.022986969533866242,,,0.7821941532046145,0.00969428578100227
PIANO-local-runner,Polygon zkEVM multi-window,128,3,21,14,0.33333333333333337,0.0,0.49870129870129876,0.0,0.5151515151515151,0.0,0.5339555574501484,0.20602546473360964,,,0.683908889163207,0.11525112008311267
PIANO-local-runner,Polygon zkEVM recent,128,3,17,11,0.3529411764705882,0.0,0.4852941176470589,0.0,0.6764705882352942,0.0,0.6297072496165299,0.1100696663226207,,,0.6165779022050536,0.11469358710329697
PIANO-local-runner,ZKsync Era broad,128,3,26,17,0.34615384615384615,0.0,0.4899216125419933,0.0,0.5244755244755245,0.0,0.5188300617092256,0.14583130050780224,0.9,0.17320508075688776,0.6950212960151059,0.09586257882939572
PIANO-local-runner,ZKsync Era sample,128,3,20,13,0.35,0.0,0.4878048780487805,0.0,0.5210526315789474,0.0,0.4306268327257439,0.11724021103637146,,,0.6632064034584847,0.05202876286500209
SimplePIR-full-api,FuelLabs SMT test vectors,128,3,14,9,0.3571428571428571,0.0,,,0.5078125,0.0,0.344759121716369,0.021988753328340476,0.30152459181054697,0.054245102313328346,0.43085843972221916,0.019051545870909695
SimplePIR-full-api,Polygon zkEVM broad,128,3,26,17,0.34615384615384615,0.0,,,0.5335365853658536,0.0,0.4672936039538048,0.02145444937962864,0.5311946944286982,0.056348804722772795,0.6159150921833682,0.018925251893206513
SimplePIR-full-api,Polygon zkEVM multi-window,128,3,21,14,0.33333333333333337,0.0,,,0.510548523206751,0.0,0.4023498754022093,0.0068406200825123055,0.42042670750804073,0.01968064687624227,0.6000979581649281,0.03102627001160426
SimplePIR-full-api,Polygon zkEVM recent,128,3,17,11,0.3529411764705882,0.0,,,0.5416666666666667,0.0,0.3753555621394035,0.011841528446865826,0.34121050912800294,0.0512402802666587,0.5871851271608792,0.09730190634257709
SimplePIR-full-api,ZKsync Era broad,128,3,26,17,0.34615384615384615,0.0,,,0.5296896086369771,0.0,0.4525748641064286,0.01316099186752407,0.5515589605030599,0.019156841033854802,0.6204708327279327,0.011415097208589348
SimplePIR-full-api,ZKsync Era sample,128,3,20,13,0.35,0.0,,,0.5195652173913043,0.0,0.3877273090278032,0.003966527218001646,0.5017994497857786,0.009961034836637414,0.5860234149510268,0.03232311165200142
