backend,dataset,height,scheme,active_records,width,max_bucket,query_samples,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,online_upload_kb,online_download_kb,online_total_kb,offline_kb,note
2server-XOR-PIR-model,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,193,20,0.0,0.0,0.086208,0.006176,0.0,0.66796875,0.875,1.54296875,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
LWE-PIR-prototype-d64,Polygon zkEVM broad,128,PBC-SMT,14078,26,1625,20,85.70655599942256,2.2360367496276012,1.1159459498685464,0.053831499826628715,0.2159893500902399,164.9765625,3.25,168.2265625,208.0,Executable randomized LWE-style prototype over the same bucket loads; intended as a backend-shape check.
LWE-PIR-prototype-d64,Polygon zkEVM broad,128,SparseTreePIR,14078,17,829,20,20.468751001317287,0.7628769003531488,0.30853885000396986,0.021348900054363185,0.12618699988706794,54.9921875,2.125,57.1171875,136.0,Executable randomized LWE-style prototype over the same bucket loads; intended as a backend-shape check.
2server-XOR-PIR-model,Polygon zkEVM broad,128,PBC-SMT,14078,26,1625,20,0.0,0.0,1.351488,0.052,0.0,10.328125,1.625,11.953125,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
2server-XOR-PIR-model,Polygon zkEVM broad,128,SparseTreePIR,14078,17,829,20,0.0,0.0,0.450496,0.026528,0.0,3.453125,1.0625,4.515625,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
LWE-PIR-prototype-d64,ZKsync Era sample,128,PBC-SMT,1910,20,287,20,8.224328001233516,0.41038069985006587,0.13788874989586475,0.007958600099300384,0.12926969975524116,22.3828125,2.5,24.8828125,160.0,Executable randomized LWE-style prototype over the same bucket loads; intended as a backend-shape check.
LWE-PIR-prototype-d64,ZKsync Era sample,128,SparseTreePIR,1910,13,147,20,2.1745849999206257,0.20679729973380745,0.04669024956456269,0.00403300000471063,0.08494665012221958,7.4609375,1.625,9.0859375,104.0,Executable randomized LWE-style prototype over the same bucket loads; intended as a backend-shape check.
2server-XOR-PIR-model,ZKsync Era sample,128,PBC-SMT,1910,20,287,20,0.0,0.0,0.18336,0.009184,0.0,1.40625,1.25,2.65625,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
2server-XOR-PIR-model,ZKsync Era sample,128,SparseTreePIR,1910,13,147,20,0.0,0.0,0.06112,0.004704,0.0,0.482421875,0.8125,1.294921875,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
LWE-PIR-prototype-d64,ZKsync Era broad,128,PBC-SMT,15478,26,1786,20,102.02578799635376,2.6959246497426648,1.4590676502393762,0.0743904999580991,0.237830149490037,181.3828125,3.25,184.6328125,208.0,Executable randomized LWE-style prototype over the same bucket loads; intended as a backend-shape check.
LWE-PIR-prototype-d64,ZKsync Era broad,128,SparseTreePIR,15478,17,911,20,22.52091500122333,0.9094840998386644,0.4022651996365312,0.03335525007059914,0.13787955031148158,60.4609375,2.125,62.5859375,136.0,Executable randomized LWE-style prototype over the same bucket loads; intended as a backend-shape check.
2server-XOR-PIR-model,ZKsync Era broad,128,PBC-SMT,15478,26,1786,20,0.0,0.0,1.485888,0.057152,0.0,11.375,1.625,13.0,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
2server-XOR-PIR-model,ZKsync Era broad,128,SparseTreePIR,15478,17,911,20,0.0,0.0,0.495296,0.029152,0.0,3.78515625,1.0625,4.84765625,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
LWE-PIR-prototype-d64,FuelLabs SMT test vectors,128,PBC-SMT,198,14,43,20,0.468322999040538,0.17648820025897294,0.027177599986316636,0.003149350004605367,0.09250074990632129,2.3203125,1.75,4.0703125,112.0,Executable randomized LWE-style prototype over the same bucket loads; intended as a backend-shape check.
LWE-PIR-prototype-d64,FuelLabs SMT test vectors,128,SparseTreePIR,198,9,23,20,0.2112160009346553,0.10331074995519884,0.013843250326317502,0.0016581502222834388,0.056880700185502064,0.7734375,1.125,1.8984375,72.0,Executable randomized LWE-style prototype over the same bucket loads; intended as a backend-shape check.
2server-XOR-PIR-model,FuelLabs SMT test vectors,128,PBC-SMT,198,14,43,20,0.0,0.0,0.019008,0.001376,0.0,0.1640625,0.875,1.0390625,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
2server-XOR-PIR-model,FuelLabs SMT test vectors,128,SparseTreePIR,198,9,23,20,0.0,0.0,0.006336,0.000736,0.0,0.052734375,0.5625,0.615234375,0.0,Analytic two-server XOR/PIR communication model: two bit-vector queries plus two record responses per bucket.
