backend,dataset,height,seeds,pbc_width,sparse_width,pbc_max_bucket_mean,pbc_max_bucket_std,sparse_max_bucket_mean,sparse_max_bucket_std,pbc_online_kb_mean,pbc_online_kb_std,sparse_online_kb_mean,sparse_online_kb_std,pbc_query_ms_mean,pbc_query_ms_std,sparse_query_ms_mean,sparse_query_ms_std,pbc_setup_ms_mean,pbc_setup_ms_std,sparse_setup_ms_mean,sparse_setup_ms_std,pbc_server_total_ms_mean,pbc_server_total_ms_std,sparse_server_total_ms_mean,sparse_server_total_ms_std,pbc_server_parallel_ms_mean,pbc_server_parallel_ms_std,sparse_server_parallel_ms_mean,sparse_server_parallel_ms_std
PIANO-local-runner,FuelLabs SMT test vectors,128,3,14,9,43.0,0.0,23.0,0.0,22.125,0.0,6.890625,0.0,0.6203333333333333,0.2499806659190533,0.18033333333333335,0.07548068185524913,3.3993333333333333,0.6595000631791732,1.2476666666666667,0.36435742524797443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIANO-local-runner,Polygon zkEVM broad,128,3,26,17,1625.0,0.0,829.0,0.0,426.5625,0.0,205.859375,0.0,22.015,1.6371548491208763,7.059,0.6964459778044525,522.8876666666666,25.5090681980611,113.78,4.294626526253475,0.0003333333333333333,0.0005773502691896258,0.0016666666666666668,0.002886751345948129,0.0003333333333333333,0.0005773502691896258,0.0016666666666666668,0.002886751345948129
PIANO-local-runner,Polygon zkEVM multi-window,128,3,21,14,385.0,0.0,193.0,0.0,180.46875,0.0,87.5,0.0,9.017333333333333,1.5322696673018539,4.032333333333334,1.4811108443777372,86.04433333333334,11.18910368766566,26.451333333333334,7.680525068856512,0.0013333333333333333,0.002309401076758503,0.0,0.0,0.0013333333333333333,0.002309401076758503,0.0,0.0
PIANO-local-runner,Polygon zkEVM recent,128,3,17,11,136.0,0.0,70.0,0.0,92.96875,0.0,30.078125,0.0,2.9353333333333333,0.9172547810359635,1.0323333333333333,0.14692288226594702,14.879333333333333,3.2586477768137723,5.477666666666666,0.7618571607154017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIANO-local-runner,ZKsync Era broad,128,3,26,17,1786.0,0.0,911.0,0.0,446.875,0.0,212.5,0.0,20.784333333333333,2.924293475924284,9.721666666666668,1.7617991750858935,516.9666666666667,64.05936934073995,153.64000000000001,33.13194191411062,0.015333333333333334,0.008386497083606084,0.001,0.0017320508075688774,0.013,0.0052915026221291815,0.001,0.0017320508075688774
PIANO-local-runner,ZKsync Era sample,128,3,20,13,287.0,0.0,147.0,0.0,148.4375,0.0,71.09375,0.0,6.121666666666666,1.3680885692576097,3.3873333333333333,0.39953764945663545,50.70433333333333,9.643260358060093,16.848,2.648005098182403,0.0006666666666666666,0.0011547005383792516,0.03166666666666666,0.04974267115197306,0.0006666666666666666,0.0011547005383792516,0.03166666666666666,0.04974267115197306
SimplePIR-full-api,FuelLabs SMT test vectors,128,3,14,9,,,,,12.0,0.0,5.90625,0.0,9.061072999999983,0.0954275376823762,5.936470806666672,0.17562826960310365,3.2333713333333334,0.5655479737832436,1.8345019999999999,0.2736050353995701,0.03311950666666667,0.0008278878006912091,0.0231631,0.002400009908062881,0.004682673333333332,0.000969405104656114,0.004776066666666667,0.0017483690742327077
SimplePIR-full-api,Polygon zkEVM broad,128,3,26,17,,,,,133.25,0.0,62.15625,0.0,32.367126379999924,1.3565271711735034,17.223344580000003,0.1589765125731333,107.39656333333336,1.6374249672892744,41.23076633333333,1.4839995837412978,0.24534832666666664,0.022466678297828873,0.11423802000000001,0.005309293403081055,0.01591116,0.0012505885443262336,0.010116213333333336,0.0014818940552324704
SimplePIR-full-api,Polygon zkEVM multi-window,128,3,21,14,,,,,51.84375,0.0,25.375,0.0,17.791914546666717,0.058017550279754714,10.633089599999993,0.08972598400691566,25.581766666666674,0.913135511354318,10.24298066666667,1.0905963911100789,0.08128207999999999,0.0006742549416949176,0.047102279999999996,0.001326819901719901,0.006130093333333333,0.0003234323733538938,0.005871759999999999,0.0006453615138819465
SimplePIR-full-api,Polygon zkEVM recent,128,3,17,11,,,,,25.5,0.0,11.6875,0.0,12.180173219999988,0.047164603378958246,7.608551420000001,0.16695509186971427,9.049294000000002,0.3275625092894461,3.749744666666666,0.987437252411175,0.04361383333333334,0.00115778288194866,0.028695806666666664,0.0015241643882906175,0.005457766666666667,0.0012040603875775233,0.004397493333333333,8.211641817160205e-05
SimplePIR-full-api,ZKsync Era broad,128,3,26,17,,,,,138.9375,0.0,65.34375,0.0,32.301719446666766,0.47784473583734277,17.678673926666665,0.18141668167503142,116.677975,1.096464140995432,44.27806466666666,1.1566028341069767,0.26828426666666666,0.006887582708042972,0.12022171999999999,0.002105306329444738,0.015841966666666672,0.0007935202140672507,0.010681133333333334,0.0011525975433486452
SimplePIR-full-api,ZKsync Era sample,128,3,20,13,,,,,43.125,0.0,20.71875,0.0,15.817140366666608,0.04342068125586072,9.684442446666663,0.07608144009456402,19.166802666666655,0.5457095561425763,7.945643333333333,0.8294649882426218,0.07634892666666666,0.0013461038938110956,0.03803892666666667,0.0011084714416408356,0.00652868,0.0012545186881031307,0.004707726666666667,0.00039501090685363824
