height,sparsity,empty_ratio_pct,occupied,active_nodes,profile_width,pruned_width,flat_online_kb,pruned_online_kb,profile_online_kb,profile_online_reduction_vs_flat_pct,profile_online_reduction_vs_pruned_pct,profile_width_reduction_vs_pruned_pct,flat_client_query_ms,pruned_client_query_ms,profile_client_query_ms,profile_client_query_reduction_vs_flat_pct,profile_client_query_reduction_vs_pruned_pct
20,0.9995,99.95,524,1046,12,20,48.75,15.125,14.25,70.76923076923076,5.785123966942152,40.0,11.043511999999987,9.78344999999999,6.653822000000004,39.749039979310815,31.989001834730992
20,0.99975,99.97500000000001,262,522,10,20,29.0625,11.46875,9.6875,66.66666666666667,15.531335149863757,50.0,7.8846199999999955,10.122513999999995,5.153905999999999,34.63342558043377,49.084723419498346
20,0.9999,99.99,105,208,9,20,16.3125,8.0,5.90625,63.793103448275865,26.171875,55.00000000000001,5.963743999999999,9.136810000000004,4.779721999999998,19.853669104508874,47.68719060591173
24,0.9995,99.95,8389,16776,17,24,276.78125,59.0,67.46875,75.62380038387715,-14.353813559322038,29.166666666666664,44.06260600000003,17.377599999999997,16.275354000000004,63.06311524107314,6.342912715219562
24,0.99975,99.97500000000001,4194,8386,16,24,183.5,42.40625,46.46875,74.67643051771118,-9.57995578481945,33.333333333333336,30.58132600000007,15.441315999999986,12.573903999999992,58.88371877661562,18.569738486020213
24,0.9999,99.99,1678,3354,14,24,101.9375,27.21875,27.125,73.39055793991416,0.3444316877152742,41.666666666666664,18.49309599999999,13.915977999999985,9.229716000000002,50.0910177506243,33.67540535059762
