height,sparsity,skipped,trials,occupied,active,m,ideal_max,structural_lb,pruned_max,pruned_gap,count_max,count_gap,hybrid_max,hybrid_gap,profile_max,profile_gap,profile_ratio,profile_over_ideal,profile_over_lb,reduction_vs_hybrid,runtime_ms,moves,valid_rate
128,1.0,0.0,3.0,256,510,10.333333333333334,49.666666666666664,49.666666666666664,104,104,89.66666666666667,87.66666666666667,59.333333333333336,32.666666666666664,50,1,1.011111111111111,1.0065359477124183,1.0065359477124183,15.73033707865169,63.53106660147508,7.666666666666667,1.0
128,1.0,0.0,3.0,1024,2046,14,147,147,401.3333333333333,401.3333333333333,256.3333333333333,254.33333333333334,175.33333333333334,102.66666666666667,147,1,1.0058651026392962,1.0,1.0,16.159695817490494,647.94783333006,11.333333333333334,1.0
256,1.0,0.0,3.0,256,510,11,47,47,102.66666666666667,102.66666666666667,77,75,55,21.333333333333332,47,1,1.0137254901960784,1.0,1.0,14.54545454545455,95.14426665070157,9.333333333333334,1.0
256,1.0,0.0,3.0,1024,2046,13.666666666666666,150.66666666666666,150.66666666666666,408.6666666666667,408.6666666666667,273.3333333333333,271.3333333333333,178,84,150.66666666666666,1,1.0052134245682633,1.0,1.0,15.355805243445698,664.3653001325825,12.666666666666666,1.0
