height,empty_pct,seed,active_nodes,exact_width_m,pbc_stored,ours_stored,storage_reduction_pct,pbc_width,ours_width,width_reduction_pct,pbc_max_bucket,ours_max_bucket,max_bucket_reduction_pct,pbc_sequential_records,ours_sequential_records,sequential_record_reduction_pct
20,99.95,116000,1046,12,3138,1046,66.66666666666666,18,12,33.33333333333333,175,88,49.714285714285715,3138,1046,66.66666666666666
20,99.97500000000001,116100,522,10,1566,522,66.66666666666666,15,10,33.33333333333333,105,53,49.523809523809526,1566,522,66.66666666666666
20,99.99,116200,208,9,624,208,66.66666666666666,14,9,35.714285714285715,47,24,48.93617021276596,624,208,66.66666666666666
24,99.95,120000,16776,17,50328,16776,66.66666666666666,26,17,34.61538461538461,1974,992,49.746707193515704,50328,16776,66.66666666666666
24,99.97500000000001,120100,8386,16,25158,8386,66.66666666666666,24,16,33.33333333333333,1049,535,48.99904671115348,25158,8386,66.66666666666666
24,99.99,120200,3354,14,10062,3354,66.66666666666666,21,14,33.33333333333333,480,240,50.0,10062,3354,66.66666666666666
