height,sparsity,occupied,active,m,pruned_width,profile_width,pruned_max,profile_max,lower,profile_over_lower,pruned_query_bytes,profile_query_bytes,pruned_response_bytes,profile_response_bytes,pruned_hint_kb,profile_hint_kb,pruned_setup_ms,profile_setup_ms,pruned_server_parallel_ms,profile_server_parallel_ms,query_reduction,parallel_reduction,max_bucket_reduction
16,0.9995,33,64,7,16,7,12,10,10,1.0,288.0,256.0,2048.0,896.0,128.0,56.0,0.16650022007524967,0.07350067608058453,0.00187004916369915,0.0040700193494558334,11.111111111111116,-117.64237157299733,16.666666666666664
16,0.99975,16,30,5,16,5,8,7,6,1.1666666666666667,152.0,120.0,2048.0,640.0,128.0,40.0,0.09220000356435776,0.03850017674267292,0.0017700251191854477,0.0015000347048044205,21.052631578947366,15.253479256004843,12.5
16,0.9999,7,12,3,16,3,4,5,4,1.25,96.0,48.0,2048.0,384.0,128.0,24.0,0.08769962005317211,0.021100277081131935,0.002057158521243504,0.0014857255986758641,50.0,27.777777777777768,-25.0
20,0.9995,524,1046,12,20,12,228,88,88,1.0,4188.0,4184.0,2560.0,1536.0,160.0,96.0,1.058200141415,0.9115005377680063,0.005090050399303436,0.003670039586722851,0.09551098376313627,27.89777509422915,61.40350877192983
20,0.99975,262,522,10,20,10,108,53,53,1.0,2104.0,2088.0,2560.0,1280.0,160.0,80.0,0.6375000812113285,0.45309984125196934,0.002910057082772255,0.0033600255846977234,0.760456273764254,-15.462531803562008,50.92592592592593
20,0.9999,105,208,9,20,9,42,24,24,1.0,864.0,832.0,2560.0,1152.0,160.0,72.0,0.8230998646467924,0.1742001622915268,0.0019700033590197563,0.00608004629611969,3.703703703703709,-208.63126543829998,42.85714285714286
24,0.9995,8389,16776,18,24,18,3290,934,932,1.002145922746781,67104.0,67104.0,3072.0,2304.0,192.0,144.0,41.86139930970967,35.64339899457991,0.21082996390759945,0.09481001179665327,0.0,55.030105759442385,71.61094224924011
24,0.99975,4194,8386,15,24,15,1630,560,560,1.0,33544.0,33544.0,3072.0,1920.0,192.0,120.0,18.17929930984974,15.029700240120292,0.15413998626172543,0.027650012634694576,0.0,82.06175223880867,65.6441717791411
24,0.9999,1678,3354,15,24,15,686,224,224,1.0,13428.0,13416.0,3072.0,1920.0,192.0,120.0,5.565200233832002,3.6625999491661787,0.02162996679544449,0.006430037319660187,0.08936550491510653,70.27255113024758,67.34693877551021
