"dataset","source_path","height","key_mode","input_records","unique_keys","occupied_leaves","slot_collisions","active_records","active_width_m","structural_lower_bound","target_batch","scheme","private","width","stored_records","max_bucket","max_bucket_log2","sum_bucket_records","avg_real_slots_per_target","dummy_rate","ordinary_separate_bytes","ordinary_batch_dedup_bytes","private_workload_record_proxy","notes"
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","32","ordinary_smt_batch_serving","False","0","14078","0","","0","13.15625","0.0","13472","10304","0","Real-data non-private SMT proof serving; server knows all batch targets."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","32","perfectized_treepir","True","256","231584178474632390847141970017375815706539969331281128078915168015826259279870","904625697166532776746648320380374280103671755200316906558262375061821325312","249.00","231584178474632390847141970017375815706539969331281128078915168015826259279872","13.15625","0.9486083984375","13472","10304","7410693711188236507108543040556026102609279018600996098525285376506440296955904","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","32","pruned_level_pir_h","True","256","14078","2762","","14078","13.15625","0.9486083984375","13472","10304","450496","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","32","sparsetreepir_batch_pir","True","17","14078","829","","14078","13.15625","0.2261029411764706","13472","10304","450496","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","128","ordinary_smt_batch_serving","False","0","14078","0","","0","13.203125","0.0","54080","33344","0","Real-data non-private SMT proof serving; server knows all batch targets."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","128","perfectized_treepir","True","256","231584178474632390847141970017375815706539969331281128078915168015826259279870","904625697166532776746648320380374280103671755200316906558262375061821325312","249.00","231584178474632390847141970017375815706539969331281128078915168015826259279872","13.203125","0.94842529296875","54080","33344","29642774844752946028434172162224104410437116074403984394101141506025761187823616","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","128","pruned_level_pir_h","True","256","14078","2762","","14078","13.203125","0.94842529296875","54080","33344","1801984","Real-data private PIR workload proxy; backend constants depend on packing."
"Polygon-zkEVM-broad","datasets\polygon_zkevm_account_leaf_workload_broad_multiwindow.csv","256","sha256","7040","7040","7040","0","14078","17","829","128","sparsetreepir_batch_pir","True","17","14078","829","","14078","13.203125","0.22334558823529413","54080","33344","1801984","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","1","ordinary_smt_batch_serving","False","0","15478","0","","0","13","0.0","416","416","0","Real-data non-private SMT proof serving; server knows all batch targets."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","1","perfectized_treepir","True","128","680564733841876926926749214863536422910","5316911983139663491615228241121378304","122.00","680564733841876926926749214863536422912","13","0.8984375","416","416","680564733841876926926749214863536422912","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","1","pruned_level_pir_h","True","128","15478","3014","","15478","13","0.8984375","416","416","15478","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","1","sparsetreepir_batch_pir","True","17","15478","911","","15478","13","0.23529411764705882","416","416","15478","Real-data private PIR workload proxy; backend constants depend on packing."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","32","ordinary_smt_batch_serving","False","0","15478","0","","0","13.21875","0.0","13536","10400","0","Real-data non-private SMT proof serving; server knows all batch targets."
"ZKsync-Era-broad","datasets\zksync_era_account_leaf_workload_broad_sample.csv","128","sha256","7740","7740","7740","0","15478","17","911","32","perfectized_treepir","True","128","680564733841876926926749214863536422910","5316911983139663491615228241121378304","122.00","680564733841876926926749214863536422912","13.21875","0.896728515625","13536","10400","21778071482940061661655974875633165533184","Real-data private PIR workload proxy; backend constants depend on packing."
