seed,backend,dataset,height,pbc_width,sparse_width,width_reduction,pbc_max_bucket,sparse_max_bucket,max_bucket_reduction,pbc_online_kb,sparse_online_kb,online_reduction,pbc_query_ms,sparse_query_ms,query_reduction,pbc_setup_ms,sparse_setup_ms,setup_reduction,pbc_server_parallel_ms,sparse_server_parallel_ms,server_parallel_reduction
73000,SimplePIR-full-api,ZKsync Era broad,128,26,17,0.34615384615384615,,,,138.9375,65.34375,0.5296896086369771,31.87095278000018,17.75314523999998,0.4429678534386169,115.42062300000008,44.79226699999998,0.6119214587847099,0.01517262,0.011718359999999999,0.2276640422023356
73000,SimplePIR-full-api,ZKsync Era sample,128,20,13,0.35,,,,43.125,20.71875,0.5195652173913043,15.847696659999931,9.664210459999994,0.39018201399621966,19.164873999999983,8.178786999999998,0.5732407632839118,0.006027020000000001,0.005093380000000001,
83000,PIANO-local-runner,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,43,23,0.4651162790697675,22.125,6.890625,0.6885593220338984,0.894,0.267,0.7013422818791946,3.615,1.664,0.5396957123098203,0.0,0.0,
83000,PIANO-local-runner,Polygon zkEVM broad,128,26,17,0.34615384615384615,1625,829,0.4898461538461538,426.5625,205.859375,0.5173992673992673,21.495,7.446,0.6535938590369854,508.168,116.267,0.7712036177012327,0.0,0.0,
83000,PIANO-local-runner,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,385,193,0.49870129870129876,180.46875,87.5,0.5151515151515151,8.557,5.573,0.3487203459156246,82.173,33.994,0.5863118055809086,0.004,0.0,
83000,PIANO-local-runner,Polygon zkEVM recent,128,17,11,0.3529411764705882,136,70,0.4852941176470589,92.96875,30.078125,0.6764705882352942,3.985,1.108,0.721957340025094,18.638,4.943,0.7347891404657152,0.0,0.0,
83000,PIANO-local-runner,ZKsync Era broad,128,26,17,0.34615384615384615,1786,911,0.4899216125419933,446.875,212.5,0.5244755244755245,23.569,7.701,0.673257244685816,584.197,115.43,0.8024125423444488,0.019,0.0,1.0
83000,PIANO-local-runner,ZKsync Era sample,128,20,13,0.35,287,147,0.4878048780487805,148.4375,71.09375,0.5210526315789474,7.146,3.201,0.5520570948782535,58.388,16.157,0.723282181270124,0.002,0.089,
83000,SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,,,,12,5.90625,0.5078125,9.168035379999964,5.8437578599999975,0.36259431625360716,3.863014999999999,2.146616,0.4443159035105998,0.003917400000000001,0.00388992,
83000,SimplePIR-full-api,Polygon zkEVM broad,128,26,17,0.34615384615384615,,,,133.25,62.15625,0.5335365853658536,31.887319079999934,17.04022582000003,0.46561121123889526,109.21073700000001,40.171218999999994,0.6321678609311099,0.014603479999999997,0.008625840000000001,0.40932983097179554
83000,SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,,,,51.84375,25.375,0.510548523206751,17.84720810000005,10.530535480000005,0.4099617474623397,25.628099000000017,9.600629000000007,0.6253866117810767,0.006480619999999998,0.006528899999999997,
83000,SimplePIR-full-api,Polygon zkEVM recent,128,17,11,0.3529411764705882,,,,25.5,11.6875,0.5416666666666667,12.211697060000011,7.606879080000007,0.37708255923603795,9.308486,4.888003999999998,0.47488732324461813,0.006234940000000001,0.004305999999999999,
83000,SimplePIR-full-api,ZKsync Era broad,128,26,17,0.34615384615384615,,,,138.9375,65.34375,0.5296896086369771,32.21849660000009,17.81100397999996,0.4471807855863792,117.4352319999999,45.088402999999985,0.6160572748730124,0.015634740000000008,0.0094403,0.39619718652181
83000,SimplePIR-full-api,ZKsync Era sample,128,20,13,0.35,,,,43.125,20.71875,0.5195652173913043,15.767437079999956,9.62052206000001,0.38984871091047113,19.713473999999987,8.633587,0.5620463952725935,0.00560262,0.00430398,
93000,PIANO-local-runner,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,43,23,0.4651162790697675,22.125,6.890625,0.6885593220338984,0.404,0.145,0.6410891089108912,2.659,1.092,0.5893192929672808,0.0,0.0,
93000,PIANO-local-runner,Polygon zkEVM broad,128,26,17,0.34615384615384615,1625,829,0.4898461538461538,426.5625,205.859375,0.5173992673992673,23.849,7.476,0.6865277370120341,552.343,116.252,0.7895293323170566,0.001,0.0,
93000,PIANO-local-runner,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,385,193,0.49870129870129876,180.46875,87.5,0.5151515151515151,7.768,3.905,0.49729660144181254,77.305,26.72,0.65435612185499,0.0,0.0,
93000,PIANO-local-runner,Polygon zkEVM recent,128,17,11,0.3529411764705882,136,70,0.4852941176470589,92.96875,30.078125,0.6764705882352942,2.288,1.126,0.5078671328671329,12.848,6.35,0.5057596513075966,0.0,0.0,
93000,PIANO-local-runner,ZKsync Era broad,128,26,17,0.34615384615384615,1786,911,0.4899216125419933,446.875,212.5,0.5244755244755245,17.738,10.936,0.3834705152779344,456.637,174.395,0.6180883283658574,0.011,0.0,1.0
93000,PIANO-local-runner,ZKsync Era sample,128,20,13,0.35,287,147,0.4878048780487805,148.4375,71.09375,0.5210526315789474,4.568,3.115,0.3180823117338002,39.883,14.614,0.6335782162826267,0.0,0.006,
93000,SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,,,,12,5.90625,0.5078125,9.030519999999989,6.139027540000008,0.32019113628007956,3.0685700000000007,1.7208519999999998,0.43920067001893404,0.005772779999999998,0.006790080000000001,
93000,SimplePIR-full-api,Polygon zkEVM broad,128,26,17,0.34615384615384615,,,,133.25,62.15625,0.5335365853658536,33.89834899999998,17.303760739999927,0.48953971947129526,106.95071500000002,40.59423199999999,0.6204398259516078,0.016034480000000004,0.010133320000000001,0.36802939665021883
93000,SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,,,,51.84375,25.375,0.510548523206751,17.797024500000074,10.671609639999991,0.4003711328261673,24.646347000000013,9.626106000000002,0.6094307200981957,0.006066440000000001,0.005847519999999999,
93000,SimplePIR-full-api,Polygon zkEVM recent,128,17,11,0.3529411764705882,,,,25.5,11.6875,0.5416666666666667,12.125951119999954,7.442438779999993,0.3862387612857192,9.158259999999999,3.2381179999999996,0.646426504598035,0.0060675600000000005,0.004421680000000001,
93000,SimplePIR-full-api,ZKsync Era broad,128,26,17,0.34615384615384615,,,,138.9375,65.34375,0.5296896086369771,32.81570896000004,17.471872560000055,0.4675759532942897,117.17807000000005,42.953524000000016,0.6334337645260756,0.016718540000000004,0.010884740000000002,0.34894195306527964
93000,SimplePIR-full-api,ZKsync Era sample,128,20,13,0.35,,,,43.125,20.71875,0.5195652173913043,15.83628735999994,9.768594819999985,0.38315120217671894,18.622059999999998,7.0245560000000005,0.6227830862965751,0.0079564,0.00472582,
