height,sparsity,occupied,active,m,lower,pruned_width,profile_width,pruned_max,profile_max,pruned_logN,profile_logN,pruned_offline_kb,profile_offline_kb,pruned_online_kb,profile_online_kb,pruned_parallel_online_kb,profile_parallel_online_kb,offline_reduction,online_reduction,parallel_online_reduction,max_bucket_reduction,profile_over_lower
16,0.9995,33,64,7,10,16,7,12,10,4,4,1664.0,728.0,2.0234375,1.1484375,0.1640625,0.1640625,56.25,43.24324324324324,0.0,16.666666666666664,1.0
16,0.99975,16,30,5,6,16,5,8,7,3,3,1664.0,520.0,1.8125,0.6640625,0.1328125,0.1328125,68.75,63.36206896551724,0.0,12.5,1.1666666666666667
16,0.9999,7,12,3,4,16,3,4,5,2,3,1664.0,312.0,1.765625,0.3671875,0.1171875,0.1328125,81.25,79.20353982300885,-13.33333333333333,-25.0,1.25
20,0.9995,524,1046,12,88,20,12,228,88,8,7,3952.0,3744.0,5.68359375,5.671875,0.65625,0.47265625,5.263157894736848,0.20618556701030855,27.976190476190478,61.40350877192983,1.0
20,0.99975,262,522,10,53,20,10,108,53,7,6,3120.0,2080.0,4.21484375,3.28125,0.47265625,0.328125,33.333333333333336,22.150139017608893,30.57851239669421,50.92592592592593,1.0
20,0.9999,105,208,9,24,20,9,42,24,6,5,2600.0,1872.0,3.2578125,2.390625,0.328125,0.265625,28.000000000000004,26.618705035971225,19.047619047619047,42.85714285714286,1.0
24,0.9995,8389,16776,18,932,24,18,3290,934,12,10,11960.0,13104.0,21.046875,23.1328125,2.5546875,1.28515625,-9.565217391304337,-9.910913140311806,49.69418960244648,71.61094224924011,1.002145922746781
24,0.99975,4194,8386,15,560,24,15,1630,560,11,10,8632.0,10920.0,14.62890625,19.27734375,1.8046875,1.28515625,-26.506024096385538,-31.775700934579444,28.787878787878785,65.6441717791411,1.0
24,0.9999,1678,3354,15,224,24,15,686,224,10,8,6136.0,6240.0,9.59765625,9.84375,1.28515625,0.65625,-1.6949152542372836,-2.564102564102555,48.93617021276596,67.34693877551021,1.0
