case,method,repeat,leaves,records,m,buckets,max_bucket,rounded_entries,pir_dimensions,L,M,matrix_rows,matrix_cols,lwe_dimension,plaintext_modulus,ciphertext_logq,noise_sigma,base_p_digits,PIR_calls,proofs,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,active_digest_payload_bytes,backend_rounded_raw_payload_bytes,bootstrap_framed_components_bytes,bootstrap_payload_bytes,combined_peak_rss_after_setup_bytes,combined_peak_rss_final_bytes,db_info_roundtrip_ms,db_info_serialized_bytes,encoded_db_bytes,hint_framed_bytes,hint_matrix_bytes,hint_roundtrip_ms,init_public_A_ms,initialized_databases,input_read_validate_ms,make_database_ms,max_padded_bucket_payload_bytes,parameter_selection_ms,persistent_setup_wall_ms,public_A_framed_bytes,public_A_matrix_bytes,public_A_roundtrip_ms,public_metadata_roundtrip_and_directory_ms,public_metadata_serialized_bytes,replicated_record_payload_bytes,setup_client_to_server_bytes,setup_hint_and_squish_ms,setup_server_to_client_serialized_components_bytes,unsquished_db_matrix_bytes,setup_serialized_payload_bytes,common_metadata_payload_bytes,digest_only_cache_bytes,full_cache_reference_bytes,source_input_sha256,result_sha256
uniform_n100000,flat,0,100000,199998,21,1,199998,200024,2288x2273,2288,2273,2288,2273,1024,991,32,6.4,26,21,2,65.575365,0.0373285,53.149370000000005,0.1107345,6.176755,0.115331,5.9565165,0.0183465,191016,191528,192192,192704,384232,6399936,6400768,34723981,34723917,869576704,869576704,0.090508,113,6937216,9371680,9371648,6.323534,133.662736,1,661.611323,116.108733,6399936,1.084749,1717.753095,9310240,9310208,7.01025,250.820328,16041948,6399936,0,515.908173,34723981,20802496,34723981,14753044,6399936,21152980,4bb68311ad2c694fa7043566357af29283e63f759c911df84d8150829f117fa2,5152009dca38211d92b978c3e04450d304f4ae80210989f98b5f5cb9a8c9b12f
uniform_n100000,pbc,0,100000,199998,21,32,18993,19008,702x704,702,704,702,704,1024,991,32,6.4,26,32,2,35.950216,0.041277499999999995,28.907654,0.0580195,1.5383775000000002,0.0506645,5.3299745,0.0163265,90240,91016,89856,90632,181648,6399936,19464192,204924854,204922806,869482496,869482496,0.7859219999999999,3552,21116160,92013568,92012544,66.87593299999999,1485.453283,32,1417.606673,432.291339,19448832,0.931836,4960.995689,92275712,92274688,87.06814200000001,358.711405,20632022,19199808,0,1065.902803,204924854,63258624,204924854,14753044,6399936,21152980,74c289b5ab2ea31c0ad941fe5f72e54c011cdf86b3e2affd6f1a36a8caf538ef,f8a7a52f3d61ee40d524d9461c51ec326060f4ab2f5e6cf598c8dc05f917a127
uniform_n100000,ab,0,100000,199998,21,21,9552,9560,520x478,520,478,520,478,1024,991,32,6.4,26,21,2,19.654488999999998,0.04147,15.538356,0.035964499999999996,0.5906359999999999,0.041952,3.3680235,0.030414499999999997,40320,40832,43680,44192,85024,6399936,6424320,101889608,101888264,869965824,869965824,0.447317,2310,6988800,44728992,44728320,30.708154,582.175954,21,692.859591,126.094832,6418944,0.906763,2031.038869,41116320,41115648,28.449359000000005,221.635896,16041986,6399936,0,321.933574,101889608,20879040,101889608,14753044,6399936,21152980,d31201ec08209a7af5b7a6f8ea8dccab4acc62102848bf93a35da8964eee38d5,390d7e1881497ed1643a3f38e0276070af0e07cae61d814c246288ab12e5ba80
uniform_n100000,first_fit,0,100000,199998,21,21,52876,52900,1196x1150,1196,1150,1196,1150,1024,991,32,6.4,26,21,2,39.8389985,0.0233735,29.944126,0.06840299999999999,2.5552535,0.077373,7.1397200000000005,0.021411,96768,97280,100464,100976,198256,6399936,35548800,217839188,217837844,869920768,869920768,0.6527019999999999,2315,38578176,102875808,102875136,81.522701,1513.0182229999998,21,553.850971,176.50907199999997,35532672,0.918315,4963.679949,98919072,98918400,72.34032499999999,203.103601,16041993,6399936,0,2342.5029889999996,217839188,115533600,217839188,14753044,6399936,21152980,d92f0fc2b3ad84b6b96770e805517d3d793e6cd0e9db7882d0fb24fec9fe77b8,dbabd2c97f1b8fd7d70e2d88e859e61b33be0c5d83f24c15f75a1178b5c86da3
uniform_n1000,ab,0,1000,1998,13,13,154,156,78x52,78,52,78,52,1024,991,32,6.4,26,13,2,2.0907934999999997,0.013096,1.372185,0.0155605,0.092532,0.014283500000000001,0.567042,0.012959499999999999,2808,3128,4056,4376,7504,63936,64896,7077497,7076665,869502976,869502976,0.281449,1404,73008,4153760,4153344,3.826503,43.019953,13,8.736761,4.58929,64064,1.390073,70.43537,2769312,2768896,2.0549779999999997,2.275571,153021,63936,0,3.972298999999999,7077497,210912,7077497,144091,63936,208027,bf11d2133d04c85bb829957c34fc019dddf05dabea408fc577071d99c5a3ba34,064c590f8acb0df4bfdf1b4f2bbd07c109d202086e86b978a60a598f181f7b38
uniform_n1000,flat,0,1000,1998,13,1,1998,1998,234x222,234,222,234,222,1024,991,32,6.4,26,13,2,3.991995,0.013014,3.6222725000000002,0.009626,0.0861075,0.00653,0.238099,0.012663,11544,11864,12168,12488,24352,63936,63936,2020949,2020885,870465536,870465536,0.036034,110,69264,958496,958464,0.790513,18.750074,1,11.384353,1.778317,63936,1.88561,42.520247,909344,909312,0.976971,3.686311,152999,63936,0,3.011738,2020949,207792,2020949,144091,63936,208027,caa37baaae4674569928c71f36a25296d91f11e36b02c1528a772924e1f81ddf,4b879e38728a11c3cb493ed02c47999f87faa92e55f141c96319d56c7a59dea9
uniform_n1000,first_fit,0,1000,1998,13,13,580,580,130x116,130,116,130,116,1024,991,32,6.4,26,13,2,2.866175,0.014463,2.3345830000000003,0.00601,0.0680235,0.006000999999999999,0.420941,0.0132515,6084,6404,6760,7080,13484,63936,241280,13254273,13253441,869462016,869462016,0.28580099999999997,1405,263640,6922656,6922240,5.985341,89.326348,13,9.34216,6.913012999999999,241280,1.627029,134.943906,6177184,6176768,4.576268,2.173382,153028,63936,0,14.441922,13254273,784160,13254273,144091,63936,208027,21e636579a0561eb10324c231f477c083c24d824febe07fcaf0acd1c3ed54999,99c3fb9763e69875389691a9c7d8945d93d9fa1470fd01af8f3ace909564e431
uniform_n1000,pbc,0,1000,1998,13,20,341,344,104x86,104,86,104,86,1024,991,32,6.4,26,20,2,3.4991255,0.022439,2.791823,0.0078155,0.0475675,0.0063275,0.60387,0.0150685,6960,7448,8320,8808,16256,63936,220160,15758016,15756736,870420480,870420480,0.42470500000000005,2160,241280,8520320,8519680,7.560823000000001,113.91242899999997,20,15.2963,11.129958,218240,0.833987,171.800568,7045760,7045120,4.773661,4.896874,189776,191808,0,12.310433999999999,15758016,715520,15758016,144091,63936,208027,c20effd6c7d24a378edba641a663f4434bc88eb37d4f2a4b89f56fc77019b69b,c6b34d7cf68e2e5dad307d294871034c1db0ec3336e3eea272d9aababcae0624
