case,method,repeat,leaves,records,m,buckets,max_bucket,rounded_entries,pir_dimensions,L,M,matrix_rows,matrix_cols,lwe_dimension,plaintext_modulus,ciphertext_logq,noise_sigma,base_p_digits,PIR_calls,proofs,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,active_digest_payload_bytes,backend_rounded_raw_payload_bytes,bootstrap_framed_components_bytes,bootstrap_payload_bytes,combined_peak_rss_after_setup_bytes,combined_peak_rss_final_bytes,db_info_roundtrip_ms,db_info_serialized_bytes,encoded_db_bytes,hint_framed_bytes,hint_matrix_bytes,hint_roundtrip_ms,init_public_A_ms,initialized_databases,input_read_validate_ms,make_database_ms,max_padded_bucket_payload_bytes,parameter_selection_ms,persistent_setup_wall_ms,public_A_framed_bytes,public_A_matrix_bytes,public_A_roundtrip_ms,public_metadata_roundtrip_and_directory_ms,public_metadata_serialized_bytes,replicated_record_payload_bytes,setup_client_to_server_bytes,setup_hint_and_squish_ms,setup_server_to_client_serialized_components_bytes,unsquished_db_matrix_bytes,setup_serialized_payload_bytes,common_metadata_payload_bytes,digest_only_cache_bytes,full_cache_reference_bytes,source_input_sha256,result_sha256
uniform_n10000,flat,1,10000,19998,17,1,19998,20020,728x715,728,715,728,715,1024,991,32,6.4,26,17,10,14.6642659,0.024021,13.0173804,0.11758249999999999,0.4479455,0.0626428,0.971939,0.01588,48756,49172,49504,49920,99092,639936,640640,7442681,7442617,1294356480,1294356480,0.045646,111,695968,2981920,2981888,1.434967,46.74756,1,62.169692,19.086459,639936,0.854083,196.370597,2928672,2928640,5.624643,20.964822,1531978,639936,0,37.667506,7442681,2082080,7442681,1423072,639936,2063008,916fd50ca66f2819b34ebad92b05631f5ec7f4aa060f846da5011e7c6da5ea09,951ae618b688c3c857e2910b332574ed945b065fa605b8735aaf1fb63b4d3430
uniform_n10000,first_fit,1,10000,19998,17,17,5646,5655,390x377,390,377,390,377,1024,991,32,6.4,26,17,10,12.7770618,0.0264774,10.3180184,0.0225372,0.3715037,0.019817500000000002,1.9807124,0.0203029,25704,26120,26520,26936,53056,639936,3076320,54942696,54941608,1294467072,1294467072,0.5384359999999999,1849,3341520,27157024,27156480,27.414579999999997,449.83336299999996,17,72.297157,21.332733,3071424,0.747655,784.896213,26251808,26251264,25.099869000000005,18.253024,1532015,639936,0,167.49990300000002,54942696,9998040,54942696,1423072,639936,2063008,a5e27ae1bc4c77ab45e2c7f084a9c67bc236786e677773a2f9e91cf821bc74bd,832718485af2bc828c6503d9a2051750c22262c7782992eeea50fe011f41c254
uniform_n10000,ab,1,10000,19998,17,17,1179,1183,182x169,182,169,182,169,1024,991,32,6.4,26,17,10,5.2752721000000005,0.0217287,4.1824795,0.0145202,0.0835733,0.0156847,0.9350189999999999,0.016126599999999998,11628,12044,12376,12792,24836,639936,643552,25975798,25974710,1294364672,1294364672,0.48623000000000005,1870,705432,12673568,12673024,17.441348,206.70244399999999,17,62.820217,24.053383999999998,641376,1.334848,387.536969,11768352,11767808,10.683123,22.814929,1532008,639936,0,39.268249000000004,25975798,2091544,25975798,1423072,639936,2063008,ef01ed77453c884022e1cb92d128ce0d5c5909dc88d5b3ae0edd852b38a81e0a,221b8f6f7fee15b2e1c5e768bf2e2b9c710a1f56a5ddfb29ee23c4599d8f38a7
uniform_n1000,pbc,1,1000,1998,13,20,341,344,104x86,104,86,104,86,1024,991,32,6.4,26,20,10,3.8073009,0.0213193,3.0824401,0.0106235,0.0430331,0.0077906,0.6231855,0.014708200000000001,6960,7448,8320,8808,16256,63936,220160,15758016,15756736,1294123008,1294123008,0.5326310000000001,2160,241280,8520320,8519680,7.379146999999998,112.83371599999998,20,22.121486,12.590785,218240,0.864881,180.585345,7045760,7045120,5.157225000000002,4.943566,189776,191808,0,13.533269999999998,15758016,715520,15758016,144091,63936,208027,c20effd6c7d24a378edba641a663f4434bc88eb37d4f2a4b89f56fc77019b69b,4ec4c7018d672ed52e5a3db8767bed95b8d479811219e201356b5b147f0a9b91
uniform_n1000,ab,1,1000,1998,13,13,154,156,78x52,78,52,78,52,1024,991,32,6.4,26,13,10,2.1965437,0.015517699999999999,1.8258621000000002,0.0058896,0.015979,0.005358,0.3103312,0.0139505,2808,3128,4056,4376,7504,63936,64896,7077497,7076665,1294102528,1294102528,0.3132310000000001,1404,73008,4153760,4153344,4.187556,52.945075,13,8.235701,4.910743999999999,64064,1.353604,83.023319,2769312,2768896,2.548129,2.578044,153021,63936,0,5.663077,7077497,210912,7077497,144091,63936,208027,bf11d2133d04c85bb829957c34fc019dddf05dabea408fc577071d99c5a3ba34,299a0b9a06a88b0a11d51ca0967e87761ab49186d38eac07e2de43befaa53428
uniform_n1000,flat,1,1000,1998,13,1,1998,1998,234x222,234,222,234,222,1024,991,32,6.4,26,13,10,3.8881042,0.0152143,3.5512613,0.0118637,0.0481313,0.0090435,0.2367554,0.0126071,11544,11864,12168,12488,24352,63936,63936,2020949,2020885,1294123008,1294123008,0.040904,110,69264,958496,958464,0.929044,18.036052,1,10.053692,1.356268,63936,1.304122,39.802314,909344,909312,1.314747,2.546388,152999,63936,0,4.058094,2020949,207792,2020949,144091,63936,208027,caa37baaae4674569928c71f36a25296d91f11e36b02c1528a772924e1f81ddf,83483a65c8e1d5ab75e7acfbe30cc69726001e2da3c82e66356209db4748b713
uniform_n1000,first_fit,1,1000,1998,13,13,580,580,130x116,130,116,130,116,1024,991,32,6.4,26,13,10,3.2830924,0.0145365,2.7063563999999998,0.011775,0.0467631,0.0090792,0.472319,0.017289,6084,6404,6760,7080,13484,63936,241280,13254273,13253441,1294020608,1294020608,0.495203,1405,263640,6922656,6922240,7.392996,101.48910199999999,13,11.789114,6.069396000000001,241280,1.829979,153.798448,6177184,6176768,6.202532,3.068446,153028,63936,0,15.126726999999999,13254273,784160,13254273,144091,63936,208027,21e636579a0561eb10324c231f477c083c24d824febe07fcaf0acd1c3ed54999,ef8a0fff228ec06ee42e1c0a91cbbebf61dcb5f2860b2c8d29e80329ae1f0f16
uniform_n100000,flat,1,100000,199998,21,1,199998,200024,2288x2273,2288,2273,2288,2273,1024,991,32,6.4,26,21,10,62.1167216,0.0354605,50.3259707,0.1287005,5.4882898,0.13981179999999999,5.9651977,0.0190236,191016,191528,192192,192704,384232,6399936,6400768,34723981,34723917,1294581760,1294581760,0.076593,113,6937216,9371680,9371648,6.607862,127.136506,1,722.729911,104.097688,6399936,0.854585,1667.422879,9310240,9310208,14.402192,204.361857,16041948,6399936,0,470.406112,34723981,20802496,34723981,14753044,6399936,21152980,4bb68311ad2c694fa7043566357af29283e63f759c911df84d8150829f117fa2,0b3d79374e278df0952e27f6f712d1047ef679d89c49481ea2a10da356811fc2
uniform_n100000,pbc,1,100000,199998,21,32,18993,19008,702x704,702,704,702,704,1024,991,32,6.4,26,32,10,40.2788423,0.0483302,32.0859496,0.0855306,1.7375826,0.0621977,6.2251823,0.0224746,90240,91016,89856,90632,181648,6399936,19464192,204924854,204922806,1294409728,1294409728,0.813119,3552,21116160,92013568,92012544,74.24454499999997,1411.2091249999999,32,1214.657486,427.9530950000001,19448832,0.782485,4754.490233,92275712,92274688,81.69144299999996,363.320627,20632022,19199808,0,1141.33324,204924854,63258624,204924854,14753044,6399936,21152980,74c289b5ab2ea31c0ad941fe5f72e54c011cdf86b3e2affd6f1a36a8caf538ef,3154e4033c14e7f73be081264897d2cb5742adf91f8f5bd6801ca54d46eac043
uniform_n100000,ab,1,100000,199998,21,21,9552,9560,520x478,520,478,520,478,1024,991,32,6.4,26,21,10,18.4174789,0.0368466,14.4912348,0.0407546,0.6165231,0.0340481,3.1663394,0.0221423,40320,40832,43680,44192,85024,6399936,6424320,101889608,101888264,1294684160,1294684160,0.510457,2310,6988800,44728992,44728320,26.483057,643.4844940000002,21,549.167654,121.61497,6418944,1.027105,1914.151937,41116320,41115648,26.851134000000002,202.082045,16041986,6399936,0,323.31479,101889608,20879040,101889608,14753044,6399936,21152980,d31201ec08209a7af5b7a6f8ea8dccab4acc62102848bf93a35da8964eee38d5,e50285ff99c01bd9e288c8b26ce9c164d999b2677ef8abda05a0185dda74f6d9
