case,comparator,paired_processes,complete_planned_pairs,comparator_over_ab_latency_mean,comparator_minus_ab_ms_mean,difference_ci95_low_ms,difference_ci95_high_ms,estimation_scope,online_framed_bytes_comparator_over_ab,hint_matrix_bytes_comparator_over_ab,public_A_matrix_bytes_comparator_over_ab,replicated_record_payload_bytes_comparator_over_ab,backend_rounded_raw_payload_bytes_comparator_over_ab,encoded_db_bytes_comparator_over_ab,setup_serialized_payload_bytes_comparator_over_ab,persistent_setup_wall_ms_comparator_over_ab
cluster90_n10000,pbc,3,True,1.956070536631847,8.525345733333335,6.184275902881639,10.866415563785031,all_planned_pairs,1.800190395599746,1.7354497354497354,1.8786799620132955,3.0,2.1470628137294803,2.1693121693121693,1.7812093391821198,2.1182687681695307
cluster90_n10000,flat,3,True,2.766112690185907,15.758931933333333,12.048693661014662,19.469170205652006,all_planned_pairs,4.161518933784642,0.14814814814814814,0.1697530864197531,1.0,0.6790123456790124,0.6809116809116809,0.19087125120964588,0.4154995200486013
cluster90_n10000,first_fit,3,True,2.0181281261538144,9.081939666666667,5.173432077377145,12.99044725595619,all_planned_pairs,2.1423735984768353,2.142857142857143,2.2243589743589745,1.0,4.766483516483516,4.78021978021978,2.134385110937024,2.2444542545311923
complete_h10,pbc,3,True,2.185931136524859,1.9851771333333332,1.1753273905930572,2.7950268760736092,all_planned_pairs,2.1856963613550815,2.5,1.9565217391304348,3.0,3.260869565217391,3.260869565217391,2.227151390440719,1.7995627954196183
complete_h10,flat,3,True,1.9267008749481185,1.5798427000000002,1.3531641403726127,1.8065212596273876,all_planned_pairs,2.9761606022584695,0.3,0.33043478260869563,1.0,0.991304347826087,0.991304347826087,0.32717730752007435,0.4293347869821826
complete_h10,first_fit,3,True,1.9324331637125147,1.5264466666666667,0.0740221305616997,2.978871202771634,all_planned_pairs,2.1417816813048933,2.3333333333333335,2.130434782608696,1.0,4.971014492753623,4.971014492753623,2.214360798650031,1.832523535954244
complete_h14,pbc,3,True,2.325519962184795,7.4331967,7.031753224206685,7.834640175793314,all_planned_pairs,2.124123422159888,2.1,2.180084745762712,3.0,3.0521186440677965,3.0569620253164556,2.0852345556966942,2.192453163291966
complete_h14,flat,3,True,2.7624143191783928,9.877870233333333,9.326070361514287,10.429670105152379,all_planned_pairs,3.65273492286115,0.2571428571428571,0.275726392251816,1.0,0.9926150121065376,0.989511754068716,0.3145291952509351,0.6395967721065311
complete_h14,first_fit,3,True,2.6627618208648456,9.3441618,5.422428558521471,13.26589504147853,all_planned_pairs,2.594389901823282,2.6,2.6737288135593222,1.0,6.9516949152542376,6.944303797468354,2.5267769499295936,2.5817790205063287
prefix64_n10000,pbc,2,False,2.3476297006172837,7.90759525,,,successful_pairs_conditional,2.1446287646964084,2.1848739495798317,2.1538461538461537,3.0,3.076923076923077,3.0664897537962554,2.117688278209826,2.1586076335267466
prefix64_n10000,flat,3,True,2.8231310280587607,10.4196287,9.579683788889835,11.259573611110167,all_planned_pairs,3.9898534385569335,0.23529411764705882,0.248868778280543,1.0,0.995475113122172,0.9865841073271414,0.2859741009766409,0.5387242116811711
prefix64_n10000,first_fit,3,True,2.024639458199748,5.8658774000000005,4.452576697219131,7.27917810278087,all_planned_pairs,2.1526815912385246,2.142857142857143,2.2662721893491122,1.0,4.856297548605241,4.81203007518797,2.1321047449693817,1.9460394188896049
uniform_n1000,pbc,3,True,2.272100079518836,2.5210828999999997,-0.4206547057839134,5.462820505783913,all_planned_pairs,2.166311300639659,2.051282051282051,2.544378698224852,3.0,3.3925049309664694,3.304843304843305,2.2264956099592834,2.2268963600847873
uniform_n1000,flat,3,True,2.0339404332302857,2.0573372333333335,0.9511614551591425,3.1635130115075247,all_planned_pairs,3.2452025586353943,0.23076923076923078,0.32840236686390534,1.0,0.985207100591716,0.9487179487179487,0.28554572329737476,0.48596742642448565
uniform_n1000,first_fit,3,True,1.6796014641278347,1.3525024333333333,0.4691700250411386,2.235834841625528,all_planned_pairs,1.796908315565032,1.6666666666666667,2.230769230769231,1.0,3.717948717948718,3.611111111111111,1.8727345274748968,1.8801051190058384
uniform_n10000,pbc,3,True,2.0954925510762603,5.861056500000001,3.469492914962899,8.252620085037103,all_planned_pairs,2.1446287646964084,2.1848739495798317,2.1538461538461537,3.0,3.076923076923077,3.0664897537962554,2.1168280181421184,2.150265848353279
uniform_n10000,flat,3,True,2.751267372117112,9.377044866666667,8.808818514293417,9.945271219039917,all_planned_pairs,3.9898534385569335,0.23529411764705882,0.248868778280543,1.0,0.995475113122172,0.9865841073271414,0.28652367099559367,0.5343676486572639
uniform_n10000,first_fit,3,True,2.1431092961800036,6.1122016,2.798674587543347,9.425728612456652,all_planned_pairs,2.1362538250926075,2.142857142857143,2.230769230769231,1.0,4.78021978021978,4.7368421052631575,2.1151494941560602,2.0154032004081652
uniform_n100000,pbc,3,True,2.2100919432762036,20.785994233333334,10.5481012462369,31.023887220429767,all_planned_pairs,2.1364320662401206,2.057142857142857,2.2442717672843195,3.0,3.0297668858338316,3.0214285714285714,2.01124391409966,2.312066242842955
uniform_n100000,flat,3,True,3.646997951244135,45.67004183333333,39.212486513005715,52.12759715366094,all_planned_pairs,4.519100489273617,0.20952380952380953,0.22643952978681012,1.0,0.9963339310619646,0.9926190476190476,0.34080002545500027,0.8290236462096979
uniform_n100000,first_fit,3,True,2.1151991461136745,19.271134566666667,17.069328656219902,21.472940477113433,all_planned_pairs,2.331765148663907,2.3,2.405857740585774,1.0,5.53347280334728,5.52,2.1379922081945786,2.474645580588136
