case,method,repeat,target_id,warmup,ordinal,process_complete,included_in_performance,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,query_matrix_payload_bytes,query_framed_bytes,answer_matrix_payload_bytes,answer_framed_bytes,online_framed_bytes,real_records,PIR_calls,root_independently_verified,three_negatives_independently_verified
uniform_n100000,first_fit,0,47863,False,11,True,True,35.449755,0.024913,27.041953,0.065998,2.34554,0.05252,5.893869,0.016449,96768,97280,100464,100976,198256,18,21,True,True
uniform_n100000,pbc,0,4341,False,2,True,True,37.327181,0.05127,30.154424,0.056431,1.383028,0.051045,5.603161,0.02079,90240,91016,89856,90632,181648,15,32,True,True
uniform_n100000,pbc,0,2563,False,3,True,True,33.702009,0.04087,26.599902,0.067555,1.50466,0.060752,5.391642,0.016856,90240,91016,89856,90632,181648,17,32,True,True
uniform_n100000,pbc,0,32877,False,4,True,True,36.042314,0.042059,28.548872,0.060866,1.678362,0.052604,5.634726,0.017272,90240,91016,89856,90632,181648,18,32,True,True
uniform_n100000,pbc,0,25699,False,5,True,True,36.481113,0.057785,28.501576,0.063896,1.941715,0.056747,5.831391,0.020636,90240,91016,89856,90632,181648,16,32,True,True
uniform_n100000,pbc,0,44461,False,6,True,True,33.240575,0.100392,25.206578,0.109096,1.601908,0.104284,6.090709,0.018103,90240,91016,89856,90632,181648,17,32,True,True
uniform_n100000,pbc,0,65796,False,7,True,True,33.406629,0.050161,25.806728,0.081931,1.463208,0.052931,5.92864,0.016199,90240,91016,89856,90632,181648,17,32,True,True
uniform_n100000,pbc,0,69428,False,8,True,True,33.193427,0.040056,25.864366,0.063262,1.497976,0.062837,5.641253,0.015697,90240,91016,89856,90632,181648,18,32,True,True
uniform_n100000,pbc,0,55961,False,9,True,True,32.74794,0.039925,25.330632,0.054005,1.432187,0.056967,5.621846,0.204868,90240,91016,89856,90632,181648,18,32,True,True
uniform_n100000,pbc,0,37474,False,10,True,True,33.042138,0.044639,25.267948,0.059997,1.485761,0.050142,6.094603,0.018922,90240,91016,89856,90632,181648,17,32,True,True
uniform_n100000,pbc,0,47863,False,11,True,True,34.039836,0.044697,25.772619,0.064923,2.023605,0.053812,6.051516,0.019633,90240,91016,89856,90632,181648,18,32,True,True
uniform_n10000,ab,0,3455,False,2,True,True,6.918558,0.525294,5.456509,0.012444,0.094815,0.009811,0.796217,0.018696,11628,12044,12376,12792,24836,15,17,True,True
uniform_n10000,ab,0,4684,False,3,True,True,5.779297,0.021831,4.894544,0.008912,0.095784,0.008095,0.72536,0.013093,11628,12044,12376,12792,24836,14,17,True,True
uniform_n10000,ab,0,8224,False,4,True,True,4.607061,0.018512,3.815105,0.010758,0.071905,0.006318,0.667714,0.013488,11628,12044,12376,12792,24836,14,17,True,True
uniform_n10000,ab,0,7967,False,5,True,True,4.574344,0.019463,3.661101,0.00757,0.065292,0.005998,0.796089,0.015088,11628,12044,12376,12792,24836,12,17,True,True
uniform_n10000,ab,0,6995,False,6,True,True,5.040438,0.023613,4.105489,0.011979,0.086702,0.008574,0.782295,0.016437,11628,12044,12376,12792,24836,13,17,True,True
uniform_n10000,ab,0,9468,False,7,True,True,5.418784,0.022589,4.54495,0.009393,0.084898,0.007763,0.730744,0.014595,11628,12044,12376,12792,24836,14,17,True,True
uniform_n10000,ab,0,5982,False,8,True,True,4.631569,0.019856,3.704127,0.009522,0.088036,0.020492,0.77067,0.013618,11628,12044,12376,12792,24836,13,17,True,True
uniform_n10000,ab,0,529,False,9,True,True,5.288592,0.019865,4.245475,0.011913,0.123165,0.008357,0.858863,0.016064,11628,12044,12376,12792,24836,14,17,True,True
uniform_n10000,ab,0,542,False,10,True,True,5.449381,0.020745,4.405845,0.012483,0.122724,0.015059,0.847122,0.01951,11628,12044,12376,12792,24836,13,17,True,True
uniform_n10000,ab,0,4109,False,11,True,True,6.463946,0.024398,5.272712,0.015668,0.095395,0.014463,1.017565,0.017936,11628,12044,12376,12792,24836,13,17,True,True
uniform_n10000,flat,0,3455,False,2,True,True,15.639116,0.0207,13.866617,0.078883,0.452251,0.120377,1.079698,0.014837,48756,49172,49504,49920,99092,15,17,True,True
uniform_n10000,flat,0,4684,False,3,True,True,15.092949,0.026984,13.518014,0.081668,0.416353,0.045036,0.982223,0.017117,48756,49172,49504,49920,99092,14,17,True,True
uniform_n10000,flat,0,8224,False,4,True,True,13.796922,0.025308,12.044568,0.063718,0.408412,0.044795,1.18807,0.017306,48756,49172,49504,49920,99092,14,17,True,True
uniform_n10000,flat,0,7967,False,5,True,True,13.059208,0.021644,11.621283,0.030757,0.421781,0.024751,0.900795,0.030993,48756,49172,49504,49920,99092,12,17,True,True
uniform_n10000,flat,0,6995,False,6,True,True,16.251009,0.027559,14.473504,0.109747,0.46047,0.138575,1.015459,0.017534,48756,49172,49504,49920,99092,13,17,True,True
uniform_n10000,flat,0,9468,False,7,True,True,14.537739,0.024391,13.079198,0.053314,0.424854,0.024308,0.91034,0.015472,48756,49172,49504,49920,99092,14,17,True,True
uniform_n10000,flat,0,5982,False,8,True,True,13.864889,0.021912,12.286243,0.033059,0.416781,0.024695,1.050999,0.025767,48756,49172,49504,49920,99092,13,17,True,True
uniform_n10000,flat,0,529,False,9,True,True,13.933698,0.020922,12.277577,0.030298,0.435685,0.026183,1.122255,0.014792,48756,49172,49504,49920,99092,14,17,True,True
uniform_n10000,flat,0,542,False,10,True,True,14.035914,0.020277,12.4793,0.030518,0.436926,0.031433,1.014234,0.016406,48756,49172,49504,49920,99092,13,17,True,True
uniform_n10000,flat,0,4109,False,11,True,True,15.386153,0.019664,13.859886,0.068463,0.449464,0.109743,0.858845,0.014454,48756,49172,49504,49920,99092,13,17,True,True
uniform_n10000,pbc,0,3455,False,2,True,True,9.774404,0.053486,7.64298,0.018219,0.284522,0.031808,1.721669,0.015632,24960,25592,27040,27672,53264,15,26,True,True
uniform_n10000,pbc,0,4684,False,3,True,True,9.768419,0.0236,7.972912,0.016253,0.217885,0.014154,1.491045,0.014812,24960,25592,27040,27672,53264,14,26,True,True
uniform_n10000,pbc,0,8224,False,4,True,True,9.42316,0.029834,7.593634,0.017374,0.20802,0.013184,1.539322,0.015618,24960,25592,27040,27672,53264,14,26,True,True
uniform_n10000,pbc,0,7967,False,5,True,True,9.293738,0.026863,7.46198,0.016584,0.240056,0.014108,1.498364,0.029915,24960,25592,27040,27672,53264,12,26,True,True
uniform_n10000,pbc,0,6995,False,6,True,True,10.25881,0.028328,7.835039,0.032665,0.257977,0.014508,2.070263,0.014931,24960,25592,27040,27672,53264,13,26,True,True
uniform_n10000,pbc,0,9468,False,7,True,True,9.521985,0.027984,7.420578,0.019316,0.287277,0.01498,1.710829,0.034401,24960,25592,27040,27672,53264,14,26,True,True
uniform_n10000,pbc,0,5982,False,8,True,True,9.900421,0.053952,7.780558,0.01822,0.250846,0.01821,1.742447,0.029589,24960,25592,27040,27672,53264,13,26,True,True
uniform_n10000,pbc,0,529,False,9,True,True,9.479837,0.028533,7.471656,0.01837,0.222411,0.015358,1.698235,0.018357,24960,25592,27040,27672,53264,14,26,True,True
uniform_n10000,pbc,0,542,False,10,True,True,11.932627,0.027604,9.565657,0.02141,0.271373,0.023989,1.956806,0.020324,24960,25592,27040,27672,53264,13,26,True,True
uniform_n10000,pbc,0,4109,False,11,True,True,12.522422,0.033946,10.535378,0.018901,0.234732,0.014781,1.662243,0.017321,24960,25592,27040,27672,53264,13,26,True,True
uniform_n10000,first_fit,0,3455,False,2,True,True,10.376946,0.018183,8.16232,0.018772,0.346812,0.017009,1.793437,0.016223,25704,26120,26520,26936,53056,15,17,True,True
uniform_n10000,first_fit,0,4684,False,3,True,True,10.275608,0.027511,8.257721,0.018626,0.300102,0.014492,1.622639,0.014972,25704,26120,26520,26936,53056,14,17,True,True
uniform_n10000,first_fit,0,8224,False,4,True,True,11.434623,0.016002,9.116256,0.020569,0.410054,0.018678,1.831798,0.016506,25704,26120,26520,26936,53056,14,17,True,True
uniform_n10000,first_fit,0,7967,False,5,True,True,10.226107,0.03041,8.314917,0.017062,0.30655,0.0201,1.513631,0.017953,25704,26120,26520,26936,53056,12,17,True,True
uniform_n10000,first_fit,0,6995,False,6,True,True,12.35451,0.019111,10.009206,0.022209,0.401128,0.020253,1.854433,0.020339,25704,26120,26520,26936,53056,13,17,True,True
uniform_n10000,first_fit,0,9468,False,7,True,True,14.979852,0.044544,12.430654,0.024301,0.376527,0.021198,2.051591,0.023639,25704,26120,26520,26936,53056,14,17,True,True
uniform_n10000,first_fit,0,5982,False,8,True,True,13.333064,0.023477,11.166044,0.018915,0.353864,0.046746,1.699327,0.017424,25704,26120,26520,26936,53056,13,17,True,True
uniform_n10000,first_fit,0,529,False,9,True,True,10.678291,0.017551,8.438621,0.016707,0.366466,0.015414,1.800429,0.016151,25704,26120,26520,26936,53056,14,17,True,True
