method,repeat,proofs_verified,max_bucket,mean_e2e_ms,mean_query_ms,mean_server_answer_ms,mean_recover_ms,mean_route_ms,mean_verify_ms,mean_request_response_ms,mean_upload_wire_bytes,mean_download_wire_bytes,mean_online_wire_bytes,bootstrap_ms,bootstrap_upload_wire_bytes,bootstrap_download_wire_bytes,bootstrap_total_wire_bytes,metadata_bytes,slots_bytes,hint_matrix_bytes,shared_A_matrix_bytes,cache_payload_bytes,client_peak_rss_bytes,server_peak_rss_bytes,server_setup_ms,logical_queries,pair_wall_seconds,client_pid,server_pid
activebalance,0,2,23,7.535414,6.602,0.020590499999999998,0.2898565,0.013291999999999998,0.0161165,0.611496,4336,5200,9536,27.228885,15,5888459,5888474,4842,1600,3538944,2326528,0,24772608,32841728,130.229471,9,0.2930956139999985,397,392
full_cache,0,2,198,0.014229,0,0,0.000192,0.00069,0.011644,0,0,0,0,0.486511,15,12815,12830,4778,1600,0,0,6336,4587520,4325376,0.002069,0,0.07150744100000139,406,402
first_fit,0,2,58,5.1651229999999995,4.4434355,0.01975,0.2854185,0.006919999999999999,0.0114795,0.4169425,4336,4304,8640,18.944298,15,4938163,4938178,4842,1600,2621440,2293760,0,20840448,30408704,122.500682,9,0.2797264340000005,415,411
opt_witness22,0,2,22,7.182969,6.4115645,0.0198235,0.3254775,0.0100995,0.01473,0.42010749999999997,4336,5200,9536,31.950535,15,5921227,5921242,4842,1600,3538944,2359296,0,21889024,31248384,125.714439,9,0.29754762800000023,425,420
