method,repeat,sample_index,target_index,end_to_end_ms,known_value_decode_and_routing_ms,query_generation_ms,serialize_transport_answer_ms,decode_ms,assembly_rootcheck_ms,upload_wire_bytes,download_wire_bytes,valid_root,corruption_rejected,recovered_siblings,logical_queries
activebalance,0,0,71,7.470467,0.019148,6.774346,0.382134,0.277241,0.0136,4336,5200,True,True,"[{'level': 121, 'digest_hex': 'f6e7c9aa9958172410e3d585454a9fcef8025427cd88e06a9c56910385e00b00'}, {'level': 122, 'digest_hex': '9981c970f63268c852ece001812ba3c7f928faaf97f413628061bb5b57824335'}, {'level': 123, 'digest_hex': '7e4618d8ed676162c94b361acbcd6f3f141154a41eeb7510ef5e4f217966888c'}, {'level': 124, 'digest_hex': '5ddd4fa2bc3cc52b2720271e3ac14515ecc3dccb146065fa4dd9d0bc146d457f'}, {'level': 125, 'digest_hex': 'e5872fcc90baee04b3549eb6524522f9e5f4738cf9711bd02a08feac9e363e99'}, {'level': 126, 'digest_hex': 'e01b6602c5b23ea13716cf6fe63a1e9e49a1b1dd9e9d58491935637551d7b36f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",9
activebalance,0,1,19,7.600361,0.007436,6.429654,0.840858,0.302472,0.018633,4336,5200,True,True,"[{'level': 121, 'digest_hex': '22b5720ca1d646959256f20fd843fa41af267c77dd149464a3c6db2e9f9ea31b'}, {'level': 122, 'digest_hex': 'd15a25a749aa69b7c66ceb4ae9e2c13d905bbcc606d1aba50cf4875d64f26f63'}, {'level': 123, 'digest_hex': '67d0b3ab291b4d805a82049982c6172041bce1f14c5a813ca1026d8dc863fefa'}, {'level': 124, 'digest_hex': '833fb9b71d9b1c9765205f861fb8619048914463b7541305d5ce771c0a756a2c'}, {'level': 125, 'digest_hex': '0cf76ea1ff1977e0eccf349ea33e4f52d6b6d015dd69145da274e31eb2430036'}, {'level': 126, 'digest_hex': '315e0c4751043a683a3bea17699a4d0483a7351d379a71b378fb8a4b6ee608a4'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",9
full_cache,0,0,71,0.014507,0.000864,0,0,0.000225,0.011654,0,0,True,True,"[{'level': 121, 'digest_hex': 'f6e7c9aa9958172410e3d585454a9fcef8025427cd88e06a9c56910385e00b00'}, {'level': 122, 'digest_hex': '9981c970f63268c852ece001812ba3c7f928faaf97f413628061bb5b57824335'}, {'level': 123, 'digest_hex': '7e4618d8ed676162c94b361acbcd6f3f141154a41eeb7510ef5e4f217966888c'}, {'level': 124, 'digest_hex': '5ddd4fa2bc3cc52b2720271e3ac14515ecc3dccb146065fa4dd9d0bc146d457f'}, {'level': 125, 'digest_hex': 'e5872fcc90baee04b3549eb6524522f9e5f4738cf9711bd02a08feac9e363e99'}, {'level': 126, 'digest_hex': 'e01b6602c5b23ea13716cf6fe63a1e9e49a1b1dd9e9d58491935637551d7b36f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",0
full_cache,0,1,19,0.013951,0.000516,0,0,0.000159,0.011634,0,0,True,True,"[{'level': 121, 'digest_hex': '22b5720ca1d646959256f20fd843fa41af267c77dd149464a3c6db2e9f9ea31b'}, {'level': 122, 'digest_hex': 'd15a25a749aa69b7c66ceb4ae9e2c13d905bbcc606d1aba50cf4875d64f26f63'}, {'level': 123, 'digest_hex': '67d0b3ab291b4d805a82049982c6172041bce1f14c5a813ca1026d8dc863fefa'}, {'level': 124, 'digest_hex': '833fb9b71d9b1c9765205f861fb8619048914463b7541305d5ce771c0a756a2c'}, {'level': 125, 'digest_hex': '0cf76ea1ff1977e0eccf349ea33e4f52d6b6d015dd69145da274e31eb2430036'}, {'level': 126, 'digest_hex': '315e0c4751043a683a3bea17699a4d0483a7351d379a71b378fb8a4b6ee608a4'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",0
first_fit,0,0,71,5.694437,0.008001,4.851877,0.612853,0.209281,0.011554,4336,4304,True,True,"[{'level': 121, 'digest_hex': 'f6e7c9aa9958172410e3d585454a9fcef8025427cd88e06a9c56910385e00b00'}, {'level': 122, 'digest_hex': '9981c970f63268c852ece001812ba3c7f928faaf97f413628061bb5b57824335'}, {'level': 123, 'digest_hex': '7e4618d8ed676162c94b361acbcd6f3f141154a41eeb7510ef5e4f217966888c'}, {'level': 124, 'digest_hex': '5ddd4fa2bc3cc52b2720271e3ac14515ecc3dccb146065fa4dd9d0bc146d457f'}, {'level': 125, 'digest_hex': 'e5872fcc90baee04b3549eb6524522f9e5f4738cf9711bd02a08feac9e363e99'}, {'level': 126, 'digest_hex': 'e01b6602c5b23ea13716cf6fe63a1e9e49a1b1dd9e9d58491935637551d7b36f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",9
first_fit,0,1,19,4.635809,0.005839,4.034994,0.221032,0.361556,0.011405,4336,4304,True,True,"[{'level': 121, 'digest_hex': '22b5720ca1d646959256f20fd843fa41af267c77dd149464a3c6db2e9f9ea31b'}, {'level': 122, 'digest_hex': 'd15a25a749aa69b7c66ceb4ae9e2c13d905bbcc606d1aba50cf4875d64f26f63'}, {'level': 123, 'digest_hex': '67d0b3ab291b4d805a82049982c6172041bce1f14c5a813ca1026d8dc863fefa'}, {'level': 124, 'digest_hex': '833fb9b71d9b1c9765205f861fb8619048914463b7541305d5ce771c0a756a2c'}, {'level': 125, 'digest_hex': '0cf76ea1ff1977e0eccf349ea33e4f52d6b6d015dd69145da274e31eb2430036'}, {'level': 126, 'digest_hex': '315e0c4751043a683a3bea17699a4d0483a7351d379a71b378fb8a4b6ee608a4'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",9
opt_witness22,0,0,71,8.266659,0.010528,7.443093,0.468777,0.32574,0.017618,4336,5200,True,True,"[{'level': 121, 'digest_hex': 'f6e7c9aa9958172410e3d585454a9fcef8025427cd88e06a9c56910385e00b00'}, {'level': 122, 'digest_hex': '9981c970f63268c852ece001812ba3c7f928faaf97f413628061bb5b57824335'}, {'level': 123, 'digest_hex': '7e4618d8ed676162c94b361acbcd6f3f141154a41eeb7510ef5e4f217966888c'}, {'level': 124, 'digest_hex': '5ddd4fa2bc3cc52b2720271e3ac14515ecc3dccb146065fa4dd9d0bc146d457f'}, {'level': 125, 'digest_hex': 'e5872fcc90baee04b3549eb6524522f9e5f4738cf9711bd02a08feac9e363e99'}, {'level': 126, 'digest_hex': 'e01b6602c5b23ea13716cf6fe63a1e9e49a1b1dd9e9d58491935637551d7b36f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",9
opt_witness22,0,1,19,6.099279,0.009671,5.380036,0.371438,0.325215,0.011842,4336,5200,True,True,"[{'level': 121, 'digest_hex': '22b5720ca1d646959256f20fd843fa41af267c77dd149464a3c6db2e9f9ea31b'}, {'level': 122, 'digest_hex': 'd15a25a749aa69b7c66ceb4ae9e2c13d905bbcc606d1aba50cf4875d64f26f63'}, {'level': 123, 'digest_hex': '67d0b3ab291b4d805a82049982c6172041bce1f14c5a813ca1026d8dc863fefa'}, {'level': 124, 'digest_hex': '833fb9b71d9b1c9765205f861fb8619048914463b7541305d5ce771c0a756a2c'}, {'level': 125, 'digest_hex': '0cf76ea1ff1977e0eccf349ea33e4f52d6b6d015dd69145da274e31eb2430036'}, {'level': 126, 'digest_hex': '315e0c4751043a683a3bea17699a4d0483a7351d379a71b378fb8a4b6ee608a4'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",9
