backend,dataset,height,pbc_width,sparse_width,width_reduction,pbc_max_bucket,sparse_max_bucket,max_bucket_reduction,pbc_online_kb,sparse_online_kb,online_reduction,pbc_query_ms,sparse_query_ms,query_reduction,pbc_setup_ms,sparse_setup_ms,setup_reduction,pbc_server_total_ms,sparse_server_total_ms,server_total_reduction,pbc_server_parallel_ms,sparse_server_parallel_ms,server_parallel_reduction
PIANO-local-runner,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,43,23,0.4651162790697675,22.125,6.890625,0.6885593220338984,0.979,0.317,0.6762002042900919,2.858,1.365,0.5223932820153954,0.0,0.0,,0.0,0.0,
PIANO-local-runner,Polygon zkEVM broad,128,26,17,0.34615384615384615,1625,829,0.4898461538461538,426.5625,205.859375,0.5173992673992673,13.329,6.848,0.48623302573336336,305.809,111.931,0.633983957306685,0.0,0.0,,0.0,0.0,
PIANO-local-runner,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,385,193,0.49870129870129876,180.46875,87.5,0.5151515151515151,9.837,4.547,0.5377655789366678,88.413,31.052,0.6487846809858279,0.0,0.0,,0.0,0.0,
PIANO-local-runner,Polygon zkEVM recent,128,17,11,0.3529411764705882,136,70,0.4852941176470589,92.96875,30.078125,0.6764705882352942,3.509,1.166,0.6677115987460815,16.508,6.002,0.6364187060818997,0.0,0.0,,0.0,0.0,
PIANO-local-runner,ZKsync Era broad,128,26,17,0.34615384615384615,1786,911,0.4899216125419933,446.875,212.5,0.5244755244755245,19.974,10.198,0.4894362671472915,486.562,162.822,0.6653622765444075,0.0,0.0,,0.0,0.0,
PIANO-local-runner,ZKsync Era sample,128,20,13,0.35,287,147,0.4878048780487805,148.4375,71.09375,0.5210526315789474,6.452,3.754,0.4181649101053937,49.477,17.635,0.6435717606160438,0.004,0.0,,0.004,0.0,
SimplePIR-full-api,FuelLabs SMT test vectors,128,14,9,0.3571428571428571,,,,12,5.90625,0.5078125,8.967822839999995,5.776248859999992,0.3558917294579388,3.9603379999999997,2.09451,0.47112847438779204,0.03199492,0.021663799999999997,0.3228987601781784,0.004047359999999999,0.0037511600000000008,
SimplePIR-full-api,Polygon zkEVM broad,128,26,17,0.34615384615384615,,,,133.25,62.15625,0.5335365853658536,30.791844359999814,16.94462336,0.44970417614828107,108.59544600000001,45.64675800000001,0.5796623184364471,0.22007013999999997,0.10493169999999997,0.5231897430519198,0.013570480000000001,0.007902500000000002,0.41766982450141776
SimplePIR-full-api,Polygon zkEVM multi-window,128,21,14,0.33333333333333337,,,,51.84375,25.375,0.510548523206751,17.45441011999998,10.476535419999998,0.39977717104311916,24.386932999999992,8.975197999999997,0.631966922613844,0.07957496000000003,0.044131119999999996,0.44541448717033627,0.00563048,0.0047805400000000015,
SimplePIR-full-api,Polygon zkEVM recent,128,17,11,0.3529411764705882,,,,25.5,11.6875,0.5416666666666667,12.000013320000003,7.4498678399999685,0.3791783691120131,7.8882559999999975,3.640585999999998,0.538480242020543,0.04191084000000001,0.027168579999999998,0.351752911657223,0.004595079999999999,0.0038007000000000006,
SimplePIR-full-api,ZKsync Era broad,128,26,17,0.34615384615384615,,,,138.9375,65.34375,0.5296896086369771,31.675895860000033,17.321894360000027,0.4531521875005934,117.19467,43.151828,0.6317935960739511,0.25338326,0.10981210000000002,0.5666165949557993,0.012818079999999999,0.01001828,0.21842584848900926
SimplePIR-full-api,ZKsync Era sample,128,20,13,0.35,,,,43.125,20.71875,0.5195652173913043,15.486934580000007,9.372285099999987,0.39482632592098266,19.05992900000001,9.370732000000002,0.5083543070910707,0.07279956,0.03563889999999999,0.5104517115213336,0.004815040000000001,0.004640180000000001,
