dataset,height,target_occupied,source_mode,coloring_strategy,epochs,completed_epochs,valid_epochs,actual_occupied_mean,actual_occupied_std,active_nodes_mean,active_nodes_std,active_width_m_mean,active_width_m_std,structural_lower_bound_mean,structural_lower_bound_std,pbc_width_mean,pbc_width_std,sparse_width_mean,sparse_width_std,pbc_max_bucket_mean,pbc_max_bucket_std,sparse_max_bucket_mean,sparse_max_bucket_std,width_gain_mean,width_gain_std,stored_record_gain_mean,stored_record_gain_std,max_bucket_gain_mean,max_bucket_gain_std,activebalance_ms_mean,activebalance_ms_std,total_snapshot_build_ms_mean,total_snapshot_build_ms_std,peak_memory_mb_mean,peak_memory_mb_std,changed_fraction_from_previous_mean,changed_fraction_from_previous_std,jaccard_with_previous_mean,jaccard_with_previous_std,activebalance_ms_per_changed_leaf_mean,activebalance_ms_per_changed_leaf_std
Polygon zkEVM broad,128,1000,real-trace-exact,hybrid,3,3,3,1000.0,0.0,1998.0,0.0,13.0,0.0,154.0,0.0,20.0,0.0,13.0,0.0,300.0,0.0,190.0,8.717797887081348,1.5384615384615385,0.0,3.0,0.0,1.5811126694717157,0.0707904494448116,438.6970260002272,393.53633085048205,451.56644633364823,393.929429316766,0.9093341827392578,0.0015570169502357465,0.099,0.0014142135623730963,0.9056697989014482,0.0012839562053412448,1.721957151424614,0.7179047332633168
Polygon zkEVM broad,128,10000,real-trace-bootstrapped-prefix24,hybrid,3,3,3,10000.0,0.0,19998.0,0.0,19.0,0.0,1053.0,0.0,29.0,0.0,19.0,0.0,2069.0,0.0,1218.3333333333333,31.785741037976972,1.5263157894736843,0.0,3.0,0.0,1.699003332191986,0.0449452012836091,38802.371156667505,4046.7919731659417,38998.0709270003,4049.865480225508,8.867509206136068,0.00018410937294248726,0.0287,0.0029698484809835015,0.9717081313702078,0.0028864171138624265,88.62215840027844,73.22797982680984
Polygon zkEVM broad,128,100000,real-trace-bootstrapped-prefix24,hybrid,3,3,3,100000.0,0.0,199998.0,0.0,23.666666666666668,0.5773502691896257,8454.666666666666,209.00079744664453,35.666666666666664,0.5773502691896257,23.666666666666668,0.5773502691896257,16825.666666666668,274.81872813426185,9473.0,296.28871055104344,1.5072463768115942,0.012551092808470181,3.0,0.0,1.7767151340669016,0.026115298102167388,395707.9214923336,314987.9690168365,398051.3927506666,314994.820642107,89.06154378255208,0.00048086878004000087,0.09288,0.0004525483399593916,0.9112419696842877,0.000413272323612138,25.18871448364578,35.75280369483742
ZKsync Era broad,128,1000,real-trace-exact,hybrid,3,3,3,1000.0,0.0,1998.0,0.0,14.0,0.0,143.0,0.0,21.0,0.0,14.0,0.0,286.0,0.0,172.33333333333334,1.5275252316519468,1.5,0.0,3.0,0.0,1.6596611594923334,0.014670748048864497,1716.4667336667965,625.5843674165833,1729.499991333796,625.6257522064878,0.9055926005045573,0.00323252398400699,0.1,0.0,0.9047619047619048,0.0,13.842759089667501,11.530325633444324
ZKsync Era broad,128,10000,real-trace-bootstrapped-prefix24,hybrid,3,3,3,10000.0,0.0,19998.0,0.0,18.0,0.0,1111.0,0.0,27.0,0.0,18.0,0.0,2222.0,0.0,1363.3333333333333,55.14828495368948,1.5,0.0,3.0,0.0,1.6316187665357693,0.0663904327656112,28630.70594800047,10765.58435827739,28821.581036333253,10765.888649909473,8.866620381673178,0.0001370285418553474,0.0268,0.0016970562748477136,0.9735550632378922,0.0016524738522920048,65.94746536511721,66.88560318274651
ZKsync Era broad,128,100000,real-trace-bootstrapped-prefix24,hybrid,3,3,3,100000.0,0.0,199998.0,0.0,23.0,0.0,8696.0,0.0,35.0,0.0,23.0,0.0,17143.0,0.0,9825.333333333334,131.9141134728704,1.5217391304347827,0.0,3.0,0.0,1.7449866499195064,0.023600635230691124,240269.76633566603,262670.410698844,242605.5741099996,262659.03229082347,89.03913497924805,8.597890983264652e-05,0.0926,0.00016970562748476448,0.9114976647012156,0.00015501859439161344,24.633143928454672,29.852684375809428
