backend,dataset,height,scheme,active_records,width,max_bucket,query_samples,completed_queries,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb,evidence,stored_records
SimplePIR-full-api,Polygon zkEVM recent,128,PBC-SMT,766,17,,50,50,9.646252000000006,12.01995213999996,0.04076109999999999,0.00386588,0.6160743199999998,13056,12.75,12.75,25.5,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM recent,128,SparseTreePIR,766,11,,50,50,4.6985199999999985,7.368976019999987,0.02663055999999999,0.0037389200000000006,0.20623390000000033,5632,6.1875,5.5,11.6875,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM multi-window,128,PBC-SMT,2694,21,,50,50,25.119029000000005,17.43781778000001,0.0793727,0.005529900000000001,1.3197915399999982,26880,25.59375,26.25,51.84375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,,50,50,10.132217999999998,10.49321389999996,0.045557999999999994,0.00626618,0.5629884200000017,12544,13.125,12.25,25.375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM broad,128,PBC-SMT,14078,26,,50,50,110.89889899999987,30.699739400000027,0.21827892,0.011463600000000001,3.142789980000008,66560,68.25,65,133.25,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM broad,128,SparseTreePIR,14078,17,,50,50,42.04550300000001,16.834932899999988,0.10631843999999994,0.0083761,1.5817925800000014,32640,30.28125,31.875,62.15625,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era sample,128,PBC-SMT,1910,20,,50,50,17.074945999999997,15.648474060000023,0.07399071999999998,0.005292740000000001,1.1291588799999983,23040,20.625,22.5,43.125,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era sample,128,SparseTreePIR,1910,13,,50,50,7.625448999999999,9.411536299999984,0.0346681,0.00405336,0.4443991600000015,9984,10.96875,9.75,20.71875,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era broad,128,PBC-SMT,15478,26,,50,50,118.589681,31.579604119999935,0.2528463399999999,0.012940359999999995,3.314109919999997,69888,70.6875,68.25,138.9375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era broad,128,SparseTreePIR,15478,17,,50,50,42.07139499999999,17.5194276,0.11017420000000001,0.008721180000000002,1.5791701199999966,32640,33.46875,31.875,65.34375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
