backend,dataset,height,scheme,seeds,query_samples_per_seed,completed_queries_mean,setup_ms_mean,setup_ms_std,client_query_ms_mean,client_query_ms_std,server_total_ms_mean,server_total_ms_std,server_parallel_ms_mean,server_parallel_ms_std,client_decode_ms_mean,client_decode_ms_std,offline_kb_mean,offline_kb_std,online_upload_kb_mean,online_upload_kb_std,online_download_kb_mean,online_download_kb_std,online_total_kb_mean,online_total_kb_std,backend_online_latency_ms_mean,backend_online_latency_ms_std_sum,dataset_kind,input_records,unique_keys,active_records,active_width_m,width,stored_records,max_bucket,metadata_kb,digest_payload_kb,activebalance_profile_ms,suite_instance_runtime_ms,setup_accounting_note,sparse_profile_plus_backend_setup_ms_mean
PIANO-local-runner,FuelLabs SMT test vectors,128,PBC-SMT,3,50,336,3.2110000000000003,0.30812172919156483,0.7093333333333333,0.2336286226756759,0.0,0.0,0.0,0.0,0.0,0.0,60.75,0.0,19.5,0.0,2.625,0.0,22.125,0.0,0.7093333333333333,0.2336286226756759,smt-test-vector,174,100,198,9,14,594,43,4.640625,6.1875,28.08737099985592,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,
PIANO-local-runner,FuelLabs SMT test vectors,128,SparseTreePIR,3,50,126,1.1266666666666667,0.20943336251259814,0.20133333333333334,0.10061974623965882,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,5.90625,0.0,0.984375,0.0,6.890625,0.0,0.20133333333333334,0.10061974623965882,smt-test-vector,174,100,198,9,9,198,23,4.640625,6.1875,28.08737099985592,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,29.214037666522586
PIANO-local-runner,Polygon zkEVM broad,128,PBC-SMT,3,50,1300,409.8933333333334,91.11829550827503,17.196,3.3796208367211844,0.0003333333333333333,0.0005773502691896258,0.0003333333333333333,0.0005773502691896258,0.0,0.0,1424.4375,0.0,416.40625,0.0,10.15625,0.0,426.5625,0.0,17.196333333333335,3.380198186990374,deployment-trace,7040,7040,14078,17,26,42234,1625,329.953125,439.9375,11875.083095999798,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,
PIANO-local-runner,Polygon zkEVM broad,128,SparseTreePIR,3,50,850,136.30066666666667,21.26423970738981,8.431666666666667,1.4804750363762755,0.0,0.0,0.0,0.0,0.0,0.0,594.46875,0.0,199.21875,0.0,6.640625,0.0,205.859375,0.0,8.431666666666667,1.4804750363762755,deployment-trace,7040,7040,14078,17,17,14078,829,329.953125,439.9375,11875.083095999798,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,12011.383762666464
PIANO-local-runner,Polygon zkEVM multi-window,128,PBC-SMT,3,50,1050,84.19366666666666,4.159356841307721,9.111,0.6331919140355471,0.0016666666666666668,0.002886751345948129,0.0016666666666666668,0.002886751345948129,0.0,0.0,435.09375,0.0,172.265625,0.0,8.203125,0.0,180.46875,0.0,9.112666666666668,0.6360786653814953,deployment-trace,1348,1348,2694,14,21,8082,385,63.140625,84.1875,1056.6277779998927,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,
PIANO-local-runner,Polygon zkEVM multi-window,128,SparseTreePIR,3,50,700,28.671666666666667,2.0727668304306035,4.171666666666667,0.3250497397835187,0.0,0.0,0.0,0.0,0.0,0.0,193.5,0.0,82.03125,0.0,5.46875,0.0,87.5,0.0,4.171666666666667,0.3250497397835187,deployment-trace,1348,1348,2694,14,14,2694,193,63.140625,84.1875,1056.6277779998927,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,1085.2994446665593
PIANO-local-runner,Polygon zkEVM recent,128,PBC-SMT,3,50,850,18.168666666666667,6.6074171454005635,3.5676666666666668,1.312983371308766,0.0,0.0,0.0,0.0,0.0,0.0,172.40625,0.0,86.328125,0.0,6.640625,0.0,92.96875,0.0,3.5676666666666668,1.312983371308766,deployment-trace,384,384,766,11,17,2298,136,17.953125,23.9375,145.40855499944882,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,
PIANO-local-runner,Polygon zkEVM recent,128,SparseTreePIR,3,50,385,5.149666666666667,1.2288858097208761,0.9633333333333333,0.22894176843322697,0.0013333333333333333,0.002309401076758503,0.0013333333333333333,0.002309401076758503,0.0,0.0,73.21875,0.0,27.070312,0.0,3.007812,0.0,30.078125,0.0,0.9646666666666666,0.23125116950998548,deployment-trace,384,384,766,11,11,766,70,17.953125,23.9375,145.40855499944882,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,150.5582216661155
PIANO-local-runner,ZKsync Era broad,128,PBC-SMT,3,50,1300,537.7603333333333,46.1712248953104,21.554,1.4073169507967984,0.004,0.0069282032302755096,0.0033333333333333335,0.005773502691896258,0.0,0.0,1503.9375,0.0,436.71875,0.0,10.15625,0.0,446.875,0.0,21.558,1.414245154027074,deployment-trace,7740,7740,15478,17,26,46434,1786,362.765625,483.6875,11837.724299000001,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,
PIANO-local-runner,ZKsync Era broad,128,SparseTreePIR,3,50,850,169.84733333333332,6.09006094660253,10.595666666666666,0.4978396662916014,0.0,0.0,0.0,0.0,0.0,0.0,623.15625,0.0,205.859375,0.0,6.640625,0.0,212.5,0.0,10.595666666666666,0.4978396662916014,deployment-trace,7740,7740,15478,17,17,15478,911,362.765625,483.6875,11837.724299000001,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,12007.571632333334
PIANO-local-runner,ZKsync Era sample,128,PBC-SMT,3,50,1000,50.327999999999996,3.46381162882741,6.254,0.5153629788799349,0.0013333333333333333,0.002309401076758503,0.0013333333333333333,0.002309401076758503,0.0,0.0,346.875,0.0,140.625,0.0,7.8125,0.0,148.4375,0.0,6.255333333333333,0.5176723799566934,deployment-trace,956,956,1910,13,20,5730,287,44.765625,59.6875,681.7101500000717,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,
PIANO-local-runner,ZKsync Era sample,128,SparseTreePIR,3,50,650,17.243000000000002,1.7757525165405226,3.306,0.5080472418978377,0.0,0.0,0.0,0.0,0.0,0.0,136.5,0.0,66.015625,0.0,5.078125,0.0,71.09375,0.0,3.306,0.5080472418978377,deployment-trace,956,956,1910,13,13,1910,147,44.765625,59.6875,681.7101500000717,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,698.9531500000718
SimplePIR-full-api,FuelLabs SMT test vectors,128,PBC-SMT,3,50,50,3.8269976666666663,0.1250954535558079,8.951359493333326,0.014269705646585248,0.03208602666666667,0.0003766370626124504,0.004078606666666666,0.0002448896848242762,0.26049646666666676,0.002205814222125899,6144.0,0.0,6.0,0.0,6.0,0.0,12.0,0.0,9.243941986666659,0.016852156931323598,smt-test-vector,174,100,198,9,14,594,43,4.640625,6.1875,28.08737099985592,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,
SimplePIR-full-api,FuelLabs SMT test vectors,128,SparseTreePIR,3,50,50,1.9206176666666666,0.2027883822716019,6.164010559999993,0.5089102588543373,0.02403541333333333,0.003751448480218449,0.004866153333333333,0.0020808776737072576,0.12536306000000008,0.008904135588747315,3456.0,0.0,2.53125,0.0,3.375,0.0,5.90625,0.0,6.313409033333326,0.5215658429233031,smt-test-vector,174,100,198,9,9,198,23,4.640625,6.1875,28.08737099985592,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,30.007988666522586
SimplePIR-full-api,Polygon zkEVM broad,128,PBC-SMT,3,50,50,109.26195433333329,1.4257573210725967,30.725593099999973,0.05783427231840551,0.21770990666666665,0.0026902568274670764,0.012023313333333334,0.0013568470428656778,3.147355486666662,0.003990598610740763,66560.0,0.0,68.25,0.0,65.0,0.0,133.25,0.0,34.0906584933333,0.06451512775661335,deployment-trace,7040,7040,14078,17,26,42234,1625,329.953125,439.9375,11875.083095999798,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,
SimplePIR-full-api,Polygon zkEVM broad,128,SparseTreePIR,3,50,50,42.623486000000014,2.7797190710388286,16.86950642000002,0.06512162415605725,0.1055517933333333,0.0007048903223433479,0.008471846666666666,0.0006227648806197507,1.5683144066666668,0.011903347829184084,32640.0,0.0,30.28125,0.0,31.875,0.0,62.15625,0.0,18.54337262000002,0.07772986230758469,deployment-trace,7040,7040,14078,17,17,14078,829,329.953125,439.9375,11875.083095999798,,backend setup/query/answer measured by backend runner; activebalance_profile_ms is SparseTreePIR layout refinement time from the structural suite,11917.706581999799
