backend,dataset,height,scheme,active_records,width,max_bucket,query_samples,completed_queries,setup_ms,client_query_ms,server_total_ms,server_parallel_ms,client_decode_ms,offline_kb,online_upload_kb,online_download_kb,online_total_kb,evidence,stored_records
SimplePIR-full-api,Polygon zkEVM recent,128,PBC-SMT,766,17,,50,50,8.205110999999999,11.965654039999997,0.04143946000000001,0.00437792,0.618988079999999,13056,12.75,12.75,25.5,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM recent,128,SparseTreePIR,766,11,,50,50,4.329544000000001,7.416268460000011,0.02831732,0.00510374,0.2129951199999995,5632,6.1875,5.5,11.6875,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM multi-window,128,PBC-SMT,2694,21,,50,50,23.85085400000002,17.57252927999998,0.08120005999999998,0.006467499999999999,1.3092161600000023,26880,25.59375,26.25,51.84375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,,50,50,10.227414,10.513527900000021,0.04410832,0.004757279999999999,0.574677659999999,12544,13.125,12.25,25.375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM broad,128,PBC-SMT,14078,26,,50,50,108.29151800000001,30.685195540000077,0.21478066,0.01103586,3.150178599999986,66560,68.25,65,133.25,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,Polygon zkEVM broad,128,SparseTreePIR,14078,17,,50,50,40.178197000000026,16.828963000000073,0.10540523999999998,0.00913694,1.5592421200000035,32640,30.28125,31.875,62.15625,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era sample,128,PBC-SMT,1910,20,,50,50,17.290585999999998,15.624909059999947,0.07442475999999999,0.00587884,1.1203406399999996,23040,20.625,22.5,43.125,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era sample,128,SparseTreePIR,1910,13,,50,50,9.121172000000003,9.446088579999993,0.035087600000000004,0.00419892,0.4413979600000008,9984,10.96875,9.75,20.71875,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era broad,128,PBC-SMT,15478,26,,50,50,114.47164399999998,31.570708860000078,0.25396768000000003,0.013379779999999999,3.32260787999999,69888,70.6875,68.25,138.9375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,ZKsync Era broad,128,SparseTreePIR,15478,17,,50,50,42.49312900000001,17.26608826000003,0.10817428,0.008176820000000001,1.5530897400000032,32640,33.46875,31.875,65.34375,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,FuelLabs SMT test vectors,128,PBC-SMT,198,14,,50,50,3.808432999999999,8.943713619999997,0.032499860000000005,0.004337619999999999,0.2600300800000006,6144,6,6,12,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
SimplePIR-full-api,FuelLabs SMT test vectors,128,SparseTreePIR,198,9,,50,50,1.697862,5.975503779999989,0.02208196,0.0035803800000000006,0.1243970800000001,3456,2.53125,3.375,5.90625,full 32-byte digest retrieval through SimplePIR Go API; recovered chunks are verified,
PIANO-local-runner,Polygon zkEVM recent,128,PBC-SMT,766,17,136,50,850,12.55,2.285,0.0,0.0,0.0,172.40625,86.328125,6.640625,92.96875,PIANO executable runner over the exact real-workload bucket-size vector,2298
PIANO-local-runner,Polygon zkEVM recent,128,SparseTreePIR,766,11,70,50,385,5.706,1.009,0.0,0.0,0.0,73.21875,27.070312,3.007812,30.078125,PIANO executable runner over the exact real-workload bucket-size vector,766
PIANO-local-runner,Polygon zkEVM multi-window,128,PBC-SMT,2694,21,385,50,1050,84.071,8.673,0.0,0.0,0.0,435.09375,172.265625,8.203125,180.46875,PIANO executable runner over the exact real-workload bucket-size vector,8082
PIANO-local-runner,Polygon zkEVM multi-window,128,SparseTreePIR,2694,14,193,50,700,27.265,3.983,0.0,0.0,0.0,193.5,82.03125,5.46875,87.5,PIANO executable runner over the exact real-workload bucket-size vector,2694
PIANO-local-runner,Polygon zkEVM broad,128,PBC-SMT,14078,26,1625,50,1300,475.254,19.584,0.0,0.0,0.0,1424.4375,416.40625,10.15625,426.5625,PIANO executable runner over the exact real-workload bucket-size vector,42234
PIANO-local-runner,Polygon zkEVM broad,128,SparseTreePIR,14078,17,829,50,850,151.085,9.781,0.0,0.0,0.0,594.46875,199.21875,6.640625,205.859375,PIANO executable runner over the exact real-workload bucket-size vector,14078
PIANO-local-runner,ZKsync Era sample,128,PBC-SMT,1910,20,287,50,1000,54.138,6.641,0.0,0.0,0.0,346.875,140.625,7.8125,148.4375,PIANO executable runner over the exact real-workload bucket-size vector,5730
PIANO-local-runner,ZKsync Era sample,128,SparseTreePIR,1910,13,147,50,650,18.79,3.41,0.0,0.0,0.0,136.5,66.015625,5.078125,71.09375,PIANO executable runner over the exact real-workload bucket-size vector,1910
PIANO-local-runner,ZKsync Era broad,128,PBC-SMT,15478,26,1786,50,1300,576.237,22.015,0.0,0.0,0.0,1503.9375,436.71875,10.15625,446.875,PIANO executable runner over the exact real-workload bucket-size vector,46434
PIANO-local-runner,ZKsync Era broad,128,SparseTreePIR,15478,17,911,50,850,173.091,10.435,0.0,0.0,0.0,623.15625,205.859375,6.640625,212.5,PIANO executable runner over the exact real-workload bucket-size vector,15478
PIANO-local-runner,FuelLabs SMT test vectors,128,PBC-SMT,198,14,43,50,336,3.426,0.568,0.0,0.0,0.0,60.75,19.5,2.625,22.125,PIANO executable runner over the exact real-workload bucket-size vector,594
