backend,dataset,height,seeds,pbc_width,sparse_width,pbc_max_bucket_mean,pbc_max_bucket_std,sparse_max_bucket_mean,sparse_max_bucket_std,pbc_online_kb_mean,pbc_online_kb_std,sparse_online_kb_mean,sparse_online_kb_std,pbc_query_ms_mean,pbc_query_ms_std,sparse_query_ms_mean,sparse_query_ms_std,pbc_setup_ms_mean,pbc_setup_ms_std,sparse_setup_ms_mean,sparse_setup_ms_std,pbc_server_total_ms_mean,pbc_server_total_ms_std,sparse_server_total_ms_mean,sparse_server_total_ms_std,pbc_server_parallel_ms_mean,pbc_server_parallel_ms_std,sparse_server_parallel_ms_mean,sparse_server_parallel_ms_std
PIANO-local-runner,FuelLabs SMT test vectors,128,3,14,9,43.0,0.0,23.0,0.0,22.125,0.0,6.890625,0.0,0.7093333333333333,0.2336286226756759,0.20133333333333334,0.10061974623965882,3.2110000000000003,0.30812172919156483,1.1266666666666667,0.20943336251259814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIANO-local-runner,Polygon zkEVM broad,128,3,26,17,1625.0,0.0,829.0,0.0,426.5625,0.0,205.859375,0.0,17.196,3.3796208367211844,8.431666666666667,1.4804750363762755,409.8933333333334,91.11829550827503,136.30066666666667,21.26423970738981,0.0003333333333333333,0.0005773502691896258,0.0,0.0,0.0003333333333333333,0.0005773502691896258,0.0,0.0
PIANO-local-runner,Polygon zkEVM multi-window,128,3,21,14,385.0,0.0,193.0,0.0,180.46875,0.0,87.5,0.0,9.111,0.6331919140355471,4.171666666666667,0.3250497397835187,84.19366666666666,4.159356841307721,28.671666666666667,2.0727668304306035,0.0016666666666666668,0.002886751345948129,0.0,0.0,0.0016666666666666668,0.002886751345948129,0.0,0.0
PIANO-local-runner,Polygon zkEVM recent,128,3,17,11,136.0,0.0,70.0,0.0,92.96875,0.0,30.078125,0.0,3.5676666666666668,1.312983371308766,0.9633333333333333,0.22894176843322697,18.168666666666667,6.6074171454005635,5.149666666666667,1.2288858097208761,0.0,0.0,0.0013333333333333333,0.002309401076758503,0.0,0.0,0.0013333333333333333,0.002309401076758503
PIANO-local-runner,ZKsync Era broad,128,3,26,17,1786.0,0.0,911.0,0.0,446.875,0.0,212.5,0.0,21.554,1.4073169507967984,10.595666666666666,0.4978396662916014,537.7603333333333,46.1712248953104,169.84733333333332,6.09006094660253,0.004,0.0069282032302755096,0.0,0.0,0.0033333333333333335,0.005773502691896258,0.0,0.0
PIANO-local-runner,ZKsync Era sample,128,3,20,13,287.0,0.0,147.0,0.0,148.4375,0.0,71.09375,0.0,6.254,0.5153629788799349,3.306,0.5080472418978377,50.327999999999996,3.46381162882741,17.243000000000002,1.7757525165405226,0.0013333333333333333,0.002309401076758503,0.0,0.0,0.0013333333333333333,0.002309401076758503,0.0,0.0
SimplePIR-full-api,FuelLabs SMT test vectors,128,3,14,9,,,,,12.0,0.0,5.90625,0.0,8.951359493333326,0.014269705646585248,6.164010559999993,0.5089102588543373,3.8269976666666663,0.1250954535558079,1.9206176666666666,0.2027883822716019,0.03208602666666667,0.0003766370626124504,0.02403541333333333,0.003751448480218449,0.004078606666666666,0.0002448896848242762,0.004866153333333333,0.0020808776737072576
SimplePIR-full-api,Polygon zkEVM broad,128,3,26,17,,,,,133.25,0.0,62.15625,0.0,30.725593099999973,0.05783427231840551,16.86950642000002,0.06512162415605725,109.26195433333329,1.4257573210725967,42.623486000000014,2.7797190710388286,0.21770990666666665,0.0026902568274670764,0.1055517933333333,0.0007048903223433479,0.012023313333333334,0.0013568470428656778,0.008471846666666666,0.0006227648806197507
SimplePIR-full-api,Polygon zkEVM multi-window,128,3,21,14,,,,,51.84375,0.0,25.375,0.0,17.488252393333322,0.07345591641479245,10.494425739999993,0.01852599015646109,24.452272000000004,0.6366072936646201,9.778276666666665,0.6971133898049404,0.08004924000000001,0.0010017570969052113,0.044599146666666666,0.0008304695937440034,0.00587596,0.0005147511659044584,0.005268,0.0008645274670014824
SimplePIR-full-api,Polygon zkEVM recent,128,3,17,11,,,,,25.5,0.0,11.6875,0.0,11.995206499999986,0.027466344037492787,7.411704106666655,0.040638610049325244,8.579873000000001,0.9370018150926969,4.222883333333333,0.5369715639112874,0.04137046666666667,0.0005779667610973385,0.02737215333333333,0.0008616097730024542,0.004279626666666666,0.00037440532118725693,0.004214453333333334,0.000770764084356123
SimplePIR-full-api,ZKsync Era broad,128,3,26,17,,,,,138.9375,0.0,65.34375,0.0,31.608736280000016,0.058331709232203335,17.36913674000002,0.13311306152648222,116.75199833333333,2.09440345604527,42.57211733333333,0.5445302879311117,0.2533990933333333,0.0005608376500676552,0.10938686000000002,0.0010656180341942528,0.013046073333333331,0.00029539499679807343,0.008972093333333334,0.0009460242378149362
SimplePIR-full-api,ZKsync Era sample,128,3,20,13,,,,,43.125,0.0,20.71875,0.0,15.586772566666658,0.08726136024890305,9.409969993333322,0.036926662487399786,17.808487000000003,1.0891305991124376,8.705784333333334,0.9438820756515812,0.07373834666666666,0.0008414796399992839,0.03513153333333333,0.00048688886137734406,0.005328873333333334,0.0005328196912026924,0.004297486666666667,0.00030557481724339397
