key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b:SMT_KEY:0,0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b,0,balance,32046577
polygon-zkevm:0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b:SMT_KEY:1,0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b,1,nonce,32046577
polygon-zkevm:0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b:SMT_KEY:2,0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b,2,code_hash,32046577
polygon-zkevm:0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b:SMT_KEY:4,0x5eb6b3db915d29fc624b8a0e42ac029e36a1d86b,4,code_hash_length,32046577
polygon-zkevm:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:SMT_KEY:0,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,0,balance,32046577
polygon-zkevm:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:SMT_KEY:1,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,1,nonce,32046577
polygon-zkevm:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:SMT_KEY:2,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,2,code_hash,32046577
polygon-zkevm:0x339d413ccefd986b1b3647a9cfa9cbbe70a30749:SMT_KEY:4,0x339d413ccefd986b1b3647a9cfa9cbbe70a30749,4,code_hash_length,32046577
polygon-zkevm:0xaf4a8048b2a2ce1757e221c9af0b8dc2426ca625:SMT_KEY:0,0xaf4a8048b2a2ce1757e221c9af0b8dc2426ca625,0,balance,32046615
polygon-zkevm:0xaf4a8048b2a2ce1757e221c9af0b8dc2426ca625:SMT_KEY:1,0xaf4a8048b2a2ce1757e221c9af0b8dc2426ca625,1,nonce,32046615
polygon-zkevm:0xaf4a8048b2a2ce1757e221c9af0b8dc2426ca625:SMT_KEY:2,0xaf4a8048b2a2ce1757e221c9af0b8dc2426ca625,2,code_hash,32046615
polygon-zkevm:0xaf4a8048b2a2ce1757e221c9af0b8dc2426ca625:SMT_KEY:4,0xaf4a8048b2a2ce1757e221c9af0b8dc2426ca625,4,code_hash_length,32046615
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:0,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,0,balance,32046615
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:1,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,1,nonce,32046615
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:2,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,2,code_hash,32046615
polygon-zkevm:0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb:SMT_KEY:4,0x06581bb682c3a3eb9e98ea70a1c776304c5fefbb,4,code_hash_length,32046615
polygon-zkevm:0xb10f9ec04a66b69e3831e1e5b1e6b9d41081b6cc:SMT_KEY:0,0xb10f9ec04a66b69e3831e1e5b1e6b9d41081b6cc,0,balance,32046744
polygon-zkevm:0xb10f9ec04a66b69e3831e1e5b1e6b9d41081b6cc:SMT_KEY:1,0xb10f9ec04a66b69e3831e1e5b1e6b9d41081b6cc,1,nonce,32046744
polygon-zkevm:0xb10f9ec04a66b69e3831e1e5b1e6b9d41081b6cc:SMT_KEY:2,0xb10f9ec04a66b69e3831e1e5b1e6b9d41081b6cc,2,code_hash,32046744
polygon-zkevm:0xb10f9ec04a66b69e3831e1e5b1e6b9d41081b6cc:SMT_KEY:4,0xb10f9ec04a66b69e3831e1e5b1e6b9d41081b6cc,4,code_hash_length,32046744
polygon-zkevm:0x047705099cccfab3020e79192c928699853e2391:SMT_KEY:0,0x047705099cccfab3020e79192c928699853e2391,0,balance,32046744
polygon-zkevm:0x047705099cccfab3020e79192c928699853e2391:SMT_KEY:1,0x047705099cccfab3020e79192c928699853e2391,1,nonce,32046744
polygon-zkevm:0x047705099cccfab3020e79192c928699853e2391:SMT_KEY:2,0x047705099cccfab3020e79192c928699853e2391,2,code_hash,32046744
polygon-zkevm:0x047705099cccfab3020e79192c928699853e2391:SMT_KEY:4,0x047705099cccfab3020e79192c928699853e2391,4,code_hash_length,32046744
polygon-zkevm:0xd83729a90474d6ae09502ee3c58485cef40ac872:SMT_KEY:0,0xd83729a90474d6ae09502ee3c58485cef40ac872,0,balance,32046809
polygon-zkevm:0xd83729a90474d6ae09502ee3c58485cef40ac872:SMT_KEY:1,0xd83729a90474d6ae09502ee3c58485cef40ac872,1,nonce,32046809
polygon-zkevm:0xd83729a90474d6ae09502ee3c58485cef40ac872:SMT_KEY:2,0xd83729a90474d6ae09502ee3c58485cef40ac872,2,code_hash,32046809
polygon-zkevm:0xd83729a90474d6ae09502ee3c58485cef40ac872:SMT_KEY:4,0xd83729a90474d6ae09502ee3c58485cef40ac872,4,code_hash_length,32046809
polygon-zkevm:0x41af65a0c5a93c9593279e19236a46af9352fdb1:SMT_KEY:0,0x41af65a0c5a93c9593279e19236a46af9352fdb1,0,balance,32046809
polygon-zkevm:0x41af65a0c5a93c9593279e19236a46af9352fdb1:SMT_KEY:1,0x41af65a0c5a93c9593279e19236a46af9352fdb1,1,nonce,32046809
polygon-zkevm:0x41af65a0c5a93c9593279e19236a46af9352fdb1:SMT_KEY:2,0x41af65a0c5a93c9593279e19236a46af9352fdb1,2,code_hash,32046809
polygon-zkevm:0x41af65a0c5a93c9593279e19236a46af9352fdb1:SMT_KEY:4,0x41af65a0c5a93c9593279e19236a46af9352fdb1,4,code_hash_length,32046809
polygon-zkevm:0x439904c2dc8874e484f2134078379ab2aec2399f:SMT_KEY:0,0x439904c2dc8874e484f2134078379ab2aec2399f,0,balance,32046820
polygon-zkevm:0x439904c2dc8874e484f2134078379ab2aec2399f:SMT_KEY:1,0x439904c2dc8874e484f2134078379ab2aec2399f,1,nonce,32046820
polygon-zkevm:0x439904c2dc8874e484f2134078379ab2aec2399f:SMT_KEY:2,0x439904c2dc8874e484f2134078379ab2aec2399f,2,code_hash,32046820
polygon-zkevm:0x439904c2dc8874e484f2134078379ab2aec2399f:SMT_KEY:4,0x439904c2dc8874e484f2134078379ab2aec2399f,4,code_hash_length,32046820
polygon-zkevm:0x0e7197e7200a706e4b8e0ecfd39ef8c45cff1422:SMT_KEY:0,0x0e7197e7200a706e4b8e0ecfd39ef8c45cff1422,0,balance,32046820
polygon-zkevm:0x0e7197e7200a706e4b8e0ecfd39ef8c45cff1422:SMT_KEY:1,0x0e7197e7200a706e4b8e0ecfd39ef8c45cff1422,1,nonce,32046820
polygon-zkevm:0x0e7197e7200a706e4b8e0ecfd39ef8c45cff1422:SMT_KEY:2,0x0e7197e7200a706e4b8e0ecfd39ef8c45cff1422,2,code_hash,32046820
