key,address,leaf_type,leaf_type_name,first_seen_block
polygon-zkevm:0x199f9e430c2970832f4483ed0013abd8d247715d:SMT_KEY:0,0x199f9e430c2970832f4483ed0013abd8d247715d,0,balance,22048570
polygon-zkevm:0x199f9e430c2970832f4483ed0013abd8d247715d:SMT_KEY:1,0x199f9e430c2970832f4483ed0013abd8d247715d,1,nonce,22048570
polygon-zkevm:0x199f9e430c2970832f4483ed0013abd8d247715d:SMT_KEY:2,0x199f9e430c2970832f4483ed0013abd8d247715d,2,code_hash,22048570
polygon-zkevm:0x199f9e430c2970832f4483ed0013abd8d247715d:SMT_KEY:4,0x199f9e430c2970832f4483ed0013abd8d247715d,4,code_hash_length,22048570
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:0,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,0,balance,22048570
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:1,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,1,nonce,22048570
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:2,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,2,code_hash,22048570
polygon-zkevm:0xc2b55f94c1908d9a866c7d4beae36931b1b9c581:SMT_KEY:4,0xc2b55f94c1908d9a866c7d4beae36931b1b9c581,4,code_hash_length,22048570
polygon-zkevm:0xc3e8b59b47112c3937a1d1a8d833ddc65e9ee5ef:SMT_KEY:0,0xc3e8b59b47112c3937a1d1a8d833ddc65e9ee5ef,0,balance,22048570
polygon-zkevm:0xc3e8b59b47112c3937a1d1a8d833ddc65e9ee5ef:SMT_KEY:1,0xc3e8b59b47112c3937a1d1a8d833ddc65e9ee5ef,1,nonce,22048570
polygon-zkevm:0xc3e8b59b47112c3937a1d1a8d833ddc65e9ee5ef:SMT_KEY:2,0xc3e8b59b47112c3937a1d1a8d833ddc65e9ee5ef,2,code_hash,22048570
polygon-zkevm:0xc3e8b59b47112c3937a1d1a8d833ddc65e9ee5ef:SMT_KEY:4,0xc3e8b59b47112c3937a1d1a8d833ddc65e9ee5ef,4,code_hash_length,22048570
polygon-zkevm:0x0be42e65325aeadcb5957442945d50a25c8cafb5:SMT_KEY:0,0x0be42e65325aeadcb5957442945d50a25c8cafb5,0,balance,22048580
polygon-zkevm:0x0be42e65325aeadcb5957442945d50a25c8cafb5:SMT_KEY:1,0x0be42e65325aeadcb5957442945d50a25c8cafb5,1,nonce,22048580
polygon-zkevm:0x0be42e65325aeadcb5957442945d50a25c8cafb5:SMT_KEY:2,0x0be42e65325aeadcb5957442945d50a25c8cafb5,2,code_hash,22048580
polygon-zkevm:0x0be42e65325aeadcb5957442945d50a25c8cafb5:SMT_KEY:4,0x0be42e65325aeadcb5957442945d50a25c8cafb5,4,code_hash_length,22048580
polygon-zkevm:0xcd2afeaf99a8ab9e1bff24c47fd5d1d284d7231a:SMT_KEY:0,0xcd2afeaf99a8ab9e1bff24c47fd5d1d284d7231a,0,balance,22048580
polygon-zkevm:0xcd2afeaf99a8ab9e1bff24c47fd5d1d284d7231a:SMT_KEY:1,0xcd2afeaf99a8ab9e1bff24c47fd5d1d284d7231a,1,nonce,22048580
polygon-zkevm:0xcd2afeaf99a8ab9e1bff24c47fd5d1d284d7231a:SMT_KEY:2,0xcd2afeaf99a8ab9e1bff24c47fd5d1d284d7231a,2,code_hash,22048580
polygon-zkevm:0xcd2afeaf99a8ab9e1bff24c47fd5d1d284d7231a:SMT_KEY:4,0xcd2afeaf99a8ab9e1bff24c47fd5d1d284d7231a,4,code_hash_length,22048580
polygon-zkevm:0x38126dd8a563c83d06f8103833d09c4bac6aa9df:SMT_KEY:0,0x38126dd8a563c83d06f8103833d09c4bac6aa9df,0,balance,22048825
polygon-zkevm:0x38126dd8a563c83d06f8103833d09c4bac6aa9df:SMT_KEY:1,0x38126dd8a563c83d06f8103833d09c4bac6aa9df,1,nonce,22048825
polygon-zkevm:0x38126dd8a563c83d06f8103833d09c4bac6aa9df:SMT_KEY:2,0x38126dd8a563c83d06f8103833d09c4bac6aa9df,2,code_hash,22048825
polygon-zkevm:0x38126dd8a563c83d06f8103833d09c4bac6aa9df:SMT_KEY:4,0x38126dd8a563c83d06f8103833d09c4bac6aa9df,4,code_hash_length,22048825
polygon-zkevm:0xb7a77a13b363bdd179181486fd573b702653250e:SMT_KEY:0,0xb7a77a13b363bdd179181486fd573b702653250e,0,balance,22048825
polygon-zkevm:0xb7a77a13b363bdd179181486fd573b702653250e:SMT_KEY:1,0xb7a77a13b363bdd179181486fd573b702653250e,1,nonce,22048825
polygon-zkevm:0xb7a77a13b363bdd179181486fd573b702653250e:SMT_KEY:2,0xb7a77a13b363bdd179181486fd573b702653250e,2,code_hash,22048825
polygon-zkevm:0xb7a77a13b363bdd179181486fd573b702653250e:SMT_KEY:4,0xb7a77a13b363bdd179181486fd573b702653250e,4,code_hash_length,22048825
polygon-zkevm:0x6b51ffff0145edcbb31803f826c79a4ea40e6d5e:SMT_KEY:0,0x6b51ffff0145edcbb31803f826c79a4ea40e6d5e,0,balance,22048835
polygon-zkevm:0x6b51ffff0145edcbb31803f826c79a4ea40e6d5e:SMT_KEY:1,0x6b51ffff0145edcbb31803f826c79a4ea40e6d5e,1,nonce,22048835
polygon-zkevm:0x6b51ffff0145edcbb31803f826c79a4ea40e6d5e:SMT_KEY:2,0x6b51ffff0145edcbb31803f826c79a4ea40e6d5e,2,code_hash,22048835
polygon-zkevm:0x6b51ffff0145edcbb31803f826c79a4ea40e6d5e:SMT_KEY:4,0x6b51ffff0145edcbb31803f826c79a4ea40e6d5e,4,code_hash_length,22048835
polygon-zkevm:0xca585e09df67e83106c9bcd839c989ace537bf95:SMT_KEY:0,0xca585e09df67e83106c9bcd839c989ace537bf95,0,balance,22048835
polygon-zkevm:0xca585e09df67e83106c9bcd839c989ace537bf95:SMT_KEY:1,0xca585e09df67e83106c9bcd839c989ace537bf95,1,nonce,22048835
polygon-zkevm:0xca585e09df67e83106c9bcd839c989ace537bf95:SMT_KEY:2,0xca585e09df67e83106c9bcd839c989ace537bf95,2,code_hash,22048835
polygon-zkevm:0xca585e09df67e83106c9bcd839c989ace537bf95:SMT_KEY:4,0xca585e09df67e83106c9bcd839c989ace537bf95,4,code_hash_length,22048835
polygon-zkevm:0xa1a108cad30787d4f241d4ed23268dc170822de7:SMT_KEY:0,0xa1a108cad30787d4f241d4ed23268dc170822de7,0,balance,22048880
polygon-zkevm:0xa1a108cad30787d4f241d4ed23268dc170822de7:SMT_KEY:1,0xa1a108cad30787d4f241d4ed23268dc170822de7,1,nonce,22048880
polygon-zkevm:0xa1a108cad30787d4f241d4ed23268dc170822de7:SMT_KEY:2,0xa1a108cad30787d4f241d4ed23268dc170822de7,2,code_hash,22048880
polygon-zkevm:0xa1a108cad30787d4f241d4ed23268dc170822de7:SMT_KEY:4,0xa1a108cad30787d4f241d4ed23268dc170822de7,4,code_hash_length,22048880
polygon-zkevm:0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae:SMT_KEY:0,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0,balance,22048925
polygon-zkevm:0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae:SMT_KEY:1,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,1,nonce,22048925
polygon-zkevm:0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae:SMT_KEY:2,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,2,code_hash,22048925
polygon-zkevm:0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae:SMT_KEY:4,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,4,code_hash_length,22048925
polygon-zkevm:0x63ea770edf285cd8ecb42f142080a81cb9a48af6:SMT_KEY:0,0x63ea770edf285cd8ecb42f142080a81cb9a48af6,0,balance,22048925
polygon-zkevm:0x63ea770edf285cd8ecb42f142080a81cb9a48af6:SMT_KEY:1,0x63ea770edf285cd8ecb42f142080a81cb9a48af6,1,nonce,22048925
polygon-zkevm:0x63ea770edf285cd8ecb42f142080a81cb9a48af6:SMT_KEY:2,0x63ea770edf285cd8ecb42f142080a81cb9a48af6,2,code_hash,22048925
polygon-zkevm:0x63ea770edf285cd8ecb42f142080a81cb9a48af6:SMT_KEY:4,0x63ea770edf285cd8ecb42f142080a81cb9a48af6,4,code_hash_length,22048925
polygon-zkevm:0x99721702bf1b8d1a9e15f3570faa6539addc3736:SMT_KEY:0,0x99721702bf1b8d1a9e15f3570faa6539addc3736,0,balance,22048950
polygon-zkevm:0x99721702bf1b8d1a9e15f3570faa6539addc3736:SMT_KEY:1,0x99721702bf1b8d1a9e15f3570faa6539addc3736,1,nonce,22048950
polygon-zkevm:0x99721702bf1b8d1a9e15f3570faa6539addc3736:SMT_KEY:2,0x99721702bf1b8d1a9e15f3570faa6539addc3736,2,code_hash,22048950
polygon-zkevm:0x99721702bf1b8d1a9e15f3570faa6539addc3736:SMT_KEY:4,0x99721702bf1b8d1a9e15f3570faa6539addc3736,4,code_hash_length,22048950
polygon-zkevm:0xe0aa1bf93c964d09a58233765d321cc8e7b4a790:SMT_KEY:0,0xe0aa1bf93c964d09a58233765d321cc8e7b4a790,0,balance,22048950
polygon-zkevm:0xe0aa1bf93c964d09a58233765d321cc8e7b4a790:SMT_KEY:1,0xe0aa1bf93c964d09a58233765d321cc8e7b4a790,1,nonce,22048950
polygon-zkevm:0xe0aa1bf93c964d09a58233765d321cc8e7b4a790:SMT_KEY:2,0xe0aa1bf93c964d09a58233765d321cc8e7b4a790,2,code_hash,22048950
polygon-zkevm:0xe0aa1bf93c964d09a58233765d321cc8e7b4a790:SMT_KEY:4,0xe0aa1bf93c964d09a58233765d321cc8e7b4a790,4,code_hash_length,22048950
polygon-zkevm:0x00a7374620a17328f4c865f19340cc247f62fb0c:SMT_KEY:0,0x00a7374620a17328f4c865f19340cc247f62fb0c,0,balance,22049000
polygon-zkevm:0x00a7374620a17328f4c865f19340cc247f62fb0c:SMT_KEY:1,0x00a7374620a17328f4c865f19340cc247f62fb0c,1,nonce,22049000
polygon-zkevm:0x00a7374620a17328f4c865f19340cc247f62fb0c:SMT_KEY:2,0x00a7374620a17328f4c865f19340cc247f62fb0c,2,code_hash,22049000
polygon-zkevm:0x00a7374620a17328f4c865f19340cc247f62fb0c:SMT_KEY:4,0x00a7374620a17328f4c865f19340cc247f62fb0c,4,code_hash_length,22049000
polygon-zkevm:0xa2036f0538221a77a3937f1379699f44945018d0:SMT_KEY:0,0xa2036f0538221a77a3937f1379699f44945018d0,0,balance,22049005
polygon-zkevm:0xa2036f0538221a77a3937f1379699f44945018d0:SMT_KEY:1,0xa2036f0538221a77a3937f1379699f44945018d0,1,nonce,22049005
polygon-zkevm:0xa2036f0538221a77a3937f1379699f44945018d0:SMT_KEY:2,0xa2036f0538221a77a3937f1379699f44945018d0,2,code_hash,22049005
polygon-zkevm:0xa2036f0538221a77a3937f1379699f44945018d0:SMT_KEY:4,0xa2036f0538221a77a3937f1379699f44945018d0,4,code_hash_length,22049005
polygon-zkevm:0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681:SMT_KEY:0,0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681,0,balance,22049005
polygon-zkevm:0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681:SMT_KEY:1,0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681,1,nonce,22049005
polygon-zkevm:0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681:SMT_KEY:2,0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681,2,code_hash,22049005
polygon-zkevm:0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681:SMT_KEY:4,0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681,4,code_hash_length,22049005
polygon-zkevm:0x1daa4f9e8f68b71541ed4eb08f496c8e591a6bb5:SMT_KEY:0,0x1daa4f9e8f68b71541ed4eb08f496c8e591a6bb5,0,balance,22049040
polygon-zkevm:0x1daa4f9e8f68b71541ed4eb08f496c8e591a6bb5:SMT_KEY:1,0x1daa4f9e8f68b71541ed4eb08f496c8e591a6bb5,1,nonce,22049040
polygon-zkevm:0x1daa4f9e8f68b71541ed4eb08f496c8e591a6bb5:SMT_KEY:2,0x1daa4f9e8f68b71541ed4eb08f496c8e591a6bb5,2,code_hash,22049040
polygon-zkevm:0x1daa4f9e8f68b71541ed4eb08f496c8e591a6bb5:SMT_KEY:4,0x1daa4f9e8f68b71541ed4eb08f496c8e591a6bb5,4,code_hash_length,22049040
polygon-zkevm:0x8ff6508bdd71b535df073920c423e9eaee0b97af:SMT_KEY:0,0x8ff6508bdd71b535df073920c423e9eaee0b97af,0,balance,22049040
polygon-zkevm:0x8ff6508bdd71b535df073920c423e9eaee0b97af:SMT_KEY:1,0x8ff6508bdd71b535df073920c423e9eaee0b97af,1,nonce,22049040
polygon-zkevm:0x8ff6508bdd71b535df073920c423e9eaee0b97af:SMT_KEY:2,0x8ff6508bdd71b535df073920c423e9eaee0b97af,2,code_hash,22049040
polygon-zkevm:0x8ff6508bdd71b535df073920c423e9eaee0b97af:SMT_KEY:4,0x8ff6508bdd71b535df073920c423e9eaee0b97af,4,code_hash_length,22049040
polygon-zkevm:0x5fe5256a5dd4e30ad3106f97ac101b1d3b4c1317:SMT_KEY:0,0x5fe5256a5dd4e30ad3106f97ac101b1d3b4c1317,0,balance,22049045
