key,address,leaf_type,first_seen_block
zksync-era:0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1:account_leaf:code,0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1,code,70084062
zksync-era:0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1:account_leaf:storage_root,0x3bdb03ad7363152dfbc185ee23ebc93f0cf93fd1,storage_root,70084062
zksync-era:0xcf6f494bd464baab002993573676ace610bdb8a3:account_leaf:balance,0xcf6f494bd464baab002993573676ace610bdb8a3,balance,70084062
zksync-era:0xcf6f494bd464baab002993573676ace610bdb8a3:account_leaf:nonce,0xcf6f494bd464baab002993573676ace610bdb8a3,nonce,70084062
zksync-era:0xcf6f494bd464baab002993573676ace610bdb8a3:account_leaf:code,0xcf6f494bd464baab002993573676ace610bdb8a3,code,70084062
zksync-era:0xcf6f494bd464baab002993573676ace610bdb8a3:account_leaf:storage_root,0xcf6f494bd464baab002993573676ace610bdb8a3,storage_root,70084062
zksync-era:0x7aed074ca56f5050d5a2e512ecc5bf7103937d76:account_leaf:balance,0x7aed074ca56f5050d5a2e512ecc5bf7103937d76,balance,70084262
zksync-era:0x7aed074ca56f5050d5a2e512ecc5bf7103937d76:account_leaf:nonce,0x7aed074ca56f5050d5a2e512ecc5bf7103937d76,nonce,70084262
zksync-era:0x7aed074ca56f5050d5a2e512ecc5bf7103937d76:account_leaf:code,0x7aed074ca56f5050d5a2e512ecc5bf7103937d76,code,70084262
zksync-era:0x7aed074ca56f5050d5a2e512ecc5bf7103937d76:account_leaf:storage_root,0x7aed074ca56f5050d5a2e512ecc5bf7103937d76,storage_root,70084262
zksync-era:0x0b4dbc4745d4aeaf1f25635628a86d444aab896f:account_leaf:balance,0x0b4dbc4745d4aeaf1f25635628a86d444aab896f,balance,70084262
zksync-era:0x0b4dbc4745d4aeaf1f25635628a86d444aab896f:account_leaf:nonce,0x0b4dbc4745d4aeaf1f25635628a86d444aab896f,nonce,70084262
zksync-era:0x0b4dbc4745d4aeaf1f25635628a86d444aab896f:account_leaf:code,0x0b4dbc4745d4aeaf1f25635628a86d444aab896f,code,70084262
zksync-era:0x0b4dbc4745d4aeaf1f25635628a86d444aab896f:account_leaf:storage_root,0x0b4dbc4745d4aeaf1f25635628a86d444aab896f,storage_root,70084262
zksync-era:0x89546182dd4385189db0e8e8d8b3d59a02e513f1:account_leaf:balance,0x89546182dd4385189db0e8e8d8b3d59a02e513f1,balance,70084462
zksync-era:0x89546182dd4385189db0e8e8d8b3d59a02e513f1:account_leaf:nonce,0x89546182dd4385189db0e8e8d8b3d59a02e513f1,nonce,70084462
zksync-era:0x89546182dd4385189db0e8e8d8b3d59a02e513f1:account_leaf:code,0x89546182dd4385189db0e8e8d8b3d59a02e513f1,code,70084462
zksync-era:0x89546182dd4385189db0e8e8d8b3d59a02e513f1:account_leaf:storage_root,0x89546182dd4385189db0e8e8d8b3d59a02e513f1,storage_root,70084462
zksync-era:0xecd150244bafa5af21066c4001890311129ba405:account_leaf:balance,0xecd150244bafa5af21066c4001890311129ba405,balance,70084662
zksync-era:0xecd150244bafa5af21066c4001890311129ba405:account_leaf:nonce,0xecd150244bafa5af21066c4001890311129ba405,nonce,70084662
zksync-era:0xecd150244bafa5af21066c4001890311129ba405:account_leaf:code,0xecd150244bafa5af21066c4001890311129ba405,code,70084662
zksync-era:0xecd150244bafa5af21066c4001890311129ba405:account_leaf:storage_root,0xecd150244bafa5af21066c4001890311129ba405,storage_root,70084662
zksync-era:0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa:account_leaf:balance,0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa,balance,70084662
zksync-era:0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa:account_leaf:nonce,0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa,nonce,70084662
zksync-era:0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa:account_leaf:code,0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa,code,70084662
zksync-era:0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa:account_leaf:storage_root,0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa,storage_root,70084662
zksync-era:0xb4ab2ff34fadc774aff45f1c4566cb5e16bd4867:account_leaf:balance,0xb4ab2ff34fadc774aff45f1c4566cb5e16bd4867,balance,70084862
zksync-era:0xb4ab2ff34fadc774aff45f1c4566cb5e16bd4867:account_leaf:nonce,0xb4ab2ff34fadc774aff45f1c4566cb5e16bd4867,nonce,70084862
zksync-era:0xb4ab2ff34fadc774aff45f1c4566cb5e16bd4867:account_leaf:code,0xb4ab2ff34fadc774aff45f1c4566cb5e16bd4867,code,70084862
