method,repeat,sample_index,target_index,end_to_end_ms,known_value_decode_and_routing_ms,query_generation_ms,serialize_transport_answer_ms,decode_ms,assembly_rootcheck_ms,upload_wire_bytes,download_wire_bytes,valid_root,corruption_rejected,recovered_siblings,logical_queries
first_fit,0,10,80,5.641557,0.006391,5.111547,0.277867,0.232785,0.011726,4336,4304,True,True,"[{'level': 121, 'digest_hex': '92c4ec049d7ceabf69680c60e540ad0fc0ff50ac09084af3eea356051e2a5bb6'}, {'level': 122, 'digest_hex': '5056769174d35787ff6eb17e9129ffa6fda8628c8ff13b949ec78892f62360ad'}, {'level': 123, 'digest_hex': 'f1bf8f33e60f8f16fcc877fa04536ec85ab7523f926e59374c59678e346c4165'}, {'level': 124, 'digest_hex': '8f568b63de16712e0987fbd40f05524debcee56ba9789d5c8aa621d0a3d3f9ef'}, {'level': 125, 'digest_hex': '6997de0c1dd07363560e375f98fa4c3afd63860df0608d0fb82ec15a6783e3ac'}, {'level': 126, 'digest_hex': '38d2df1ec713ed325301c34d9e24cf6a25baf9b3f6c096eb21aea943ec9e980f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",9
first_fit,0,11,26,6.852012,0.008289,6.275212,0.359263,0.197135,0.011527,4336,4304,True,True,"[{'level': 120, 'digest_hex': 'f8539c846791e2a76ebf113fad0f6c92cf6fc4adb29fb450cf4ae1a0d372f869'}, {'level': 121, 'digest_hex': '6a0c01e659af98600cd2c1597fbc99ee7e2f83ff14ed8b815f044e1cc6cbcdd6'}, {'level': 122, 'digest_hex': 'a294d75afbfc782a44b7430102b87a465ec9a90ba1e8f9bdde85cdf392f3e226'}, {'level': 124, 'digest_hex': 'be506c35ea18c129fef8ad5753a7de7a13ac172e42f5e292452b519f97bc1506'}, {'level': 125, 'digest_hex': '16686314da3ceeba8277009441d66add11621e51e3c1a39abec394b7df1e1736'}, {'level': 126, 'digest_hex': '7bf8a33390ca8b03c73429b298fde20e07ab842d53189f7617929a5f5aee8fca'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",9
first_fit,0,12,90,4.584973,0.007079,4.162632,0.214461,0.188202,0.011605,4336,4304,True,True,"[{'level': 119, 'digest_hex': '74bff273de7dc00106353c36b35eebe9e51262dae7763a216eb66654960f2255'}, {'level': 122, 'digest_hex': '98183e3e3b84cf6251ad9eabcbb8428581a79d9b0483da8e2b84bdf985a707e1'}, {'level': 123, 'digest_hex': '03f10449b5028f0d82bedf2413a4e7db250d4415adb695f8696dce0d9e052e7e'}, {'level': 124, 'digest_hex': '430ec155962640f226905643a9726ac7d3161f41c3fa25e332b4cd3bd7791288'}, {'level': 125, 'digest_hex': '6997de0c1dd07363560e375f98fa4c3afd63860df0608d0fb82ec15a6783e3ac'}, {'level': 126, 'digest_hex': '38d2df1ec713ed325301c34d9e24cf6a25baf9b3f6c096eb21aea943ec9e980f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",9
first_fit,0,13,25,6.246806,0.007376,5.742719,0.235379,0.248546,0.011367,4336,4304,True,True,"[{'level': 120, 'digest_hex': 'fbad509ce3920a60923b187208a7590ab41d8668782c3870454f626859a70293'}, {'level': 121, 'digest_hex': '6a0c01e659af98600cd2c1597fbc99ee7e2f83ff14ed8b815f044e1cc6cbcdd6'}, {'level': 122, 'digest_hex': 'a294d75afbfc782a44b7430102b87a465ec9a90ba1e8f9bdde85cdf392f3e226'}, {'level': 124, 'digest_hex': 'be506c35ea18c129fef8ad5753a7de7a13ac172e42f5e292452b519f97bc1506'}, {'level': 125, 'digest_hex': '16686314da3ceeba8277009441d66add11621e51e3c1a39abec394b7df1e1736'}, {'level': 126, 'digest_hex': '7bf8a33390ca8b03c73429b298fde20e07ab842d53189f7617929a5f5aee8fca'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",9
first_fit,0,14,15,5.082432,0.008866,4.328711,0.529963,0.202097,0.010812,4336,4304,True,True,"[{'level': 121, 'digest_hex': 'a7c54e7b96fb9a08b265c37a78585a32d46bf0ad1f8cd89926488cbce8fc988e'}, {'level': 123, 'digest_hex': '46766f96255f7f01f199c9d2fec86a2bf4610ca221556e199707c76d860ad8dc'}, {'level': 124, 'digest_hex': '9cf4e82baf206f56dd5b0c98ee2bcc0f3943a3e456fe81ae3ec445bd39cc97ca'}, {'level': 125, 'digest_hex': '0cf76ea1ff1977e0eccf349ea33e4f52d6b6d015dd69145da274e31eb2430036'}, {'level': 126, 'digest_hex': '315e0c4751043a683a3bea17699a4d0483a7351d379a71b378fb8a4b6ee608a4'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",9
first_fit,0,15,22,5.322769,0.06964,4.655421,0.343738,0.241783,0.011306,4336,4304,True,True,"[{'level': 121, 'digest_hex': '43677d7ed73d078194b7436120bf53684e829f386987837bc07819f58934be97'}, {'level': 122, 'digest_hex': 'd68bc1eea57af8bd7ec3967e6df7102774aec1c4adbb13c7603a1eb4ed25ed88'}, {'level': 123, 'digest_hex': '9423a986603a43df6418f491eb3439eeea80a367aa023b584bd476bfcc827c4d'}, {'level': 124, 'digest_hex': '833fb9b71d9b1c9765205f861fb8619048914463b7541305d5ce771c0a756a2c'}, {'level': 125, 'digest_hex': '0cf76ea1ff1977e0eccf349ea33e4f52d6b6d015dd69145da274e31eb2430036'}, {'level': 126, 'digest_hex': '315e0c4751043a683a3bea17699a4d0483a7351d379a71b378fb8a4b6ee608a4'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",9
first_fit,0,16,55,5.764098,0.041285,4.930147,0.578933,0.200961,0.011554,4336,4304,True,True,"[{'level': 119, 'digest_hex': 'f22ec6bffa4e0a50c5f3e11e73ea5a520e614b7f0b6dd4ca45040b6812f2f561'}, {'level': 122, 'digest_hex': '30eb8bb99f4f7f8cc8e1673bac1b5bf0d3101c8fdb6113b2b38f6cb3d7179ef2'}, {'level': 123, 'digest_hex': 'c5562d3bd4b43acd80d3feea05d151d7563cc8274b62d2682d064756a999a71b'}, {'level': 124, 'digest_hex': 'ea0e4a563829e0812902f4c35dd2ce829fc84bf0865d575122d19bd0d961bf3a'}, {'level': 125, 'digest_hex': '33ed0295599fba9562575b79eb736d699cb0025f41971fd2a296c1e87da97577'}, {'level': 126, 'digest_hex': 'e01b6602c5b23ea13716cf6fe63a1e9e49a1b1dd9e9d58491935637551d7b36f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",9
first_fit,0,17,92,4.872041,0.034028,4.321272,0.249749,0.25285,0.012562,4336,4304,True,True,"[{'level': 122, 'digest_hex': 'f8e5e91b44b52c3b5c18a6f7b96e3822c261a2470123efb4654d6d03acb46478'}, {'level': 123, 'digest_hex': '6a5fc3738cd9c47382853f6f8d8bd2cca139155c3e6d56f9500fd43a9d749033'}, {'level': 124, 'digest_hex': 'b9e57154f39b6479af3a5c656b25050c772f3f270a63a27ebed6354029a84350'}, {'level': 125, 'digest_hex': '71f0e9718caadc6301d222446dadf08835f3c3b061c7173f35931de02bc61723'}, {'level': 126, 'digest_hex': '38d2df1ec713ed325301c34d9e24cf6a25baf9b3f6c096eb21aea943ec9e980f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",9
first_fit,0,18,46,5.987985,0.008964,5.340583,0.4097,0.215333,0.012583,4336,4304,True,True,"[{'level': 122, 'digest_hex': '07854edd4e56b74dbbfdfcc6858d7e682cba63e338279adb38d07fd5296fd339'}, {'level': 123, 'digest_hex': 'ec8b7dcf10e04fcdb618f1b95aff56469590303abe61b6f2f14e97c6d2934e01'}, {'level': 124, 'digest_hex': 'e0e2ad1b1c79dd2c3729678cfbff14ff748e98fb4f0354f21714901034d8df90'}, {'level': 125, 'digest_hex': '6793468840419c766ff8e5cf0cd377f57081c09468d3072bdac29bd7052dfd13'}, {'level': 126, 'digest_hex': '7bf8a33390ca8b03c73429b298fde20e07ab842d53189f7617929a5f5aee8fca'}, {'level': 127, 'digest_hex': 'a854a8743ea7befa730539e0ab2b7bfdd29468c00eb65c7234c71b983da875de'}]",9
first_fit,0,19,56,8.106754,0.007712,7.131555,0.576065,0.375526,0.013222,4336,4304,True,True,"[{'level': 121, 'digest_hex': '4dca07128626f942a64acafbd5d035164e586d0a1eba898f8e2ba01c1e626aa9'}, {'level': 122, 'digest_hex': 'b6bc862997180d0b084bf23f406d335950bba1c78abeca1974e7ef8f02cf212f'}, {'level': 124, 'digest_hex': '5c70d3c31dd0a9b2e87343711b9586e76b0c91eab00d032e9953a87cefcd66bf'}, {'level': 125, 'digest_hex': '33ed0295599fba9562575b79eb736d699cb0025f41971fd2a296c1e87da97577'}, {'level': 126, 'digest_hex': 'e01b6602c5b23ea13716cf6fe63a1e9e49a1b1dd9e9d58491935637551d7b36f'}, {'level': 127, 'digest_hex': 'c8388628e7bb108f12608fa1a01abea3402af69b79655745f6acd288fdc4ff64'}]",9
