height,repeat,method,target,valid_root,client_query_ms,server_answer_ms,client_decode_ms,backend_wall_ms,online_total_bytes
4,0,treepir_official,11,True,3.8453999999999993,0.027561999999999996,0.063938,3.946754,1792
4,0,treepir_official,10,True,2.3741970000000006,0.007888000000000001,0.05435500000000001,2.442695,1792
4,0,treepir_official,1,True,2.9712589999999985,0.010862000000000004,0.058647,3.047666,1792
4,0,treepir_official,7,True,2.9378520000000004,0.009078,0.05832200000000001,3.012103,1792
4,0,treepir_official,3,True,2.9090350000000007,0.009459,0.056888,2.982335,1792
4,0,treepir_official,0,True,4.435797,0.014046000000000001,0.069524,4.529928,1792
4,0,treepir_official,15,True,3.3648309999999997,0.01105,0.067686,3.452516,1792
4,0,treepir_official,4,True,2.5003470000000005,0.007665000000000002,0.05621000000000001,2.569933,1792
4,0,treepir_official,12,True,2.325098,0.006711,0.028968999999999995,2.365733,1792
4,0,treepir_official,2,True,2.0702350000000003,0.010532999999999999,0.044399999999999995,2.131532,1792
4,0,treepir_official,9,True,2.0128360000000005,0.006362,0.05218800000000001,2.076051,1792
4,0,treepir_official,13,True,2.529363,0.008379000000000001,0.066416,2.610046,1792
4,0,treepir_official,8,True,2.6695959999999994,0.012146000000000002,0.08893300000000001,2.779702,1792
4,0,treepir_official,6,True,3.0017379999999996,0.010017999999999999,0.088892,3.107589,1792
4,0,treepir_official,5,True,3.4708860000000006,0.011444000000000001,0.061596999999999985,3.55228,1792
4,0,treepir_official,14,True,2.3224389999999997,0.0072640000000000005,0.05170199999999999,2.387371,1792
4,0,first_fit,11,True,1.831271,0.006451000000000001,0.049400999999999994,1.893698,1536
4,0,first_fit,10,True,2.3309540000000006,0.007444,0.025338999999999997,2.368707,1536
4,0,first_fit,1,True,2.3129189999999995,0.007594000000000002,0.045012,2.371588,1536
4,0,first_fit,7,True,2.0220649999999996,0.006996000000000001,0.041038000000000005,2.075198,1536
4,0,first_fit,3,True,1.81873,0.005892999999999999,0.021650000000000006,1.851613,1536
4,0,first_fit,0,True,2.524987,0.011393999999999998,0.26213500000000006,2.818632,1536
4,0,first_fit,15,True,2.337188,0.00787,0.068301,2.42002,1536
4,0,first_fit,4,True,1.9794110000000005,0.007460000000000001,0.052683999999999995,2.044483,1536
4,0,first_fit,12,True,2.1559640000000004,0.04446600000000001,0.046228000000000005,2.256006,1536
4,0,first_fit,2,True,2.3620470000000005,0.007706000000000001,0.04753099999999998,2.423857,1536
4,0,first_fit,9,True,2.5296689999999997,0.008453999999999998,0.032319999999999995,2.576343,1536
4,0,first_fit,13,True,2.4862150000000005,0.009933,0.044038,2.5483,1536
4,0,first_fit,8,True,3.1598770000000003,0.011383,0.061216,3.241079,1536
4,0,first_fit,6,True,3.102857999999999,0.011198000000000001,0.06416500000000001,3.186542,1536
4,0,first_fit,5,True,2.6692310000000004,0.009911000000000001,0.06180999999999999,2.750054,1536
4,0,first_fit,14,True,3.0147149999999994,0.013149000000000001,0.074318,3.112658,1536
4,0,activebalance,11,True,2.050041,0.0064139999999999996,0.029789000000000006,2.091109,1792
4,0,activebalance,10,True,2.918078,0.009481,0.060675999999999994,2.994511,1792
4,0,activebalance,1,True,1.8336109999999999,0.005739,0.063767,1.90765,1792
4,0,activebalance,7,True,2.996975999999999,0.008843000000000002,0.043374,3.056117,1792
4,0,activebalance,3,True,2.3387769999999994,0.009850000000000003,0.07315200000000002,2.429416,1792
4,0,activebalance,0,True,1.734306,0.006433,0.064741,1.811526,1792
4,0,activebalance,15,True,2.6901230000000003,0.006752,0.041780000000000005,2.743315,1792
4,0,activebalance,4,True,2.235898,0.006469,0.051422,2.298519,1792
4,0,activebalance,12,True,1.841483,0.0060630000000000015,0.036621999999999995,1.888869,1792
4,0,activebalance,2,True,2.4764790000000003,0.007828000000000002,0.027011,2.55341,1792
4,0,activebalance,9,True,2.1809450000000004,0.009001,0.058420999999999994,2.254266,1792
4,0,activebalance,13,True,2.0393730000000003,0.0069759999999999996,0.06505499999999999,2.116396,1792
4,0,activebalance,8,True,2.418450000000001,0.009064999999999998,0.035327000000000004,2.469637,1792
4,0,activebalance,6,True,2.2911829999999997,0.009545999999999999,0.05958000000000001,2.367254,1792
4,0,activebalance,5,True,2.5306740000000003,0.008616000000000002,0.048136000000000005,2.593976,1792
4,0,activebalance,14,True,2.7388409999999994,0.008794999999999999,0.047225,2.800715,1792
4,1,activebalance,2,True,2.060628,0.006302999999999999,0.08195300000000001,2.153294,1792
4,1,activebalance,6,True,2.9306369999999995,0.010051999999999998,0.058829999999999986,3.006075,1792
4,1,activebalance,10,True,1.9523610000000005,0.007287000000000002,0.082039,2.047046,1792
4,1,activebalance,13,True,2.3217950000000003,0.007177000000000002,0.04734400000000001,2.381049,1792
4,1,activebalance,11,True,2.812042,0.010709999999999997,0.43461200000000005,3.264186,1792
4,1,activebalance,15,True,1.8910800000000005,0.007294000000000002,0.07316099999999999,1.976773,1792
4,1,activebalance,12,True,2.151712,0.00793,0.046152,2.211599,1792
4,1,activebalance,9,True,2.192442,0.00738,0.050676000000000006,2.256536,1792
4,1,activebalance,4,True,1.7324600000000003,0.0057810000000000005,0.039868999999999995,1.782889,1792
4,1,activebalance,0,True,2.248509,0.007134000000000001,0.026561999999999995,2.286815,1792
4,1,activebalance,14,True,2.1371130000000003,0.007223999999999999,0.036444,2.186673,1792
4,1,activebalance,5,True,2.0537229999999997,0.009365,0.05926599999999999,2.141917,1792
4,1,activebalance,3,True,2.330226,0.006932000000000001,0.06876099999999999,2.410469,1792
4,1,activebalance,8,True,2.742725,0.010631999999999999,0.06211,2.822261,1792
4,1,activebalance,7,True,2.182874,0.009035000000000001,0.07262600000000001,2.270062,1792
4,1,activebalance,1,True,3.1577819999999996,0.011850999999999999,0.061032,3.239194,1792
4,1,first_fit,2,True,1.8740930000000005,0.008982999999999998,0.044357,1.935443,1536
4,1,first_fit,6,True,2.2733800000000004,0.007677000000000001,0.04078500000000001,2.32809,1536
4,1,first_fit,10,True,2.248963,0.008017,0.030747999999999998,2.293876,1536
4,1,first_fit,13,True,2.115158,0.007589999999999997,0.039011,2.167668,1536
4,1,first_fit,11,True,2.3103549999999995,0.006863999999999999,0.034288999999999986,2.356885,1536
4,1,first_fit,15,True,2.3433309999999996,0.006204,0.02054599999999999,2.374851,1536
4,1,first_fit,12,True,2.4593929999999995,0.008749000000000002,0.047957999999999994,2.522493,1536
4,1,first_fit,9,True,1.7743679999999995,0.0062120000000000005,0.059022,1.845963,1536
4,1,first_fit,4,True,2.2591289999999993,0.007655,0.03031300000000001,2.303797,1536
4,1,first_fit,0,True,2.27084,0.009786,0.04428,2.331733,1536
4,1,first_fit,14,True,1.9585579999999998,0.007512000000000002,0.04307999999999999,2.014945,1536
4,1,first_fit,5,True,1.9069730000000003,0.006621,0.025051000000000004,1.944024,1536
4,1,first_fit,3,True,2.0588240000000004,0.0061629999999999975,0.026923,2.099458,1536
4,1,first_fit,8,True,2.1587599999999996,0.007483000000000001,0.041213,2.213139,1536
4,1,first_fit,7,True,2.093514,0.005847999999999999,0.028508999999999996,2.132685,1536
4,1,first_fit,1,True,1.8270669999999998,0.007091,0.028422,1.86696,1536
4,1,treepir_official,2,True,2.453014,0.009089999999999999,0.045404999999999994,2.513273,1792
4,1,treepir_official,6,True,2.2593740000000007,0.007884999999999998,0.07453000000000003,2.347345,1792
4,1,treepir_official,10,True,1.9225690000000002,0.007003,0.04597799999999997,1.980705,1792
4,1,treepir_official,13,True,2.8187439999999997,0.011375000000000001,0.047296,2.885821,1792
4,1,treepir_official,11,True,2.3497180000000006,0.007595999999999999,0.060652000000000005,2.42371,1792
4,1,treepir_official,15,True,1.9599470000000003,0.006228000000000001,0.041337,2.012059,1792
4,1,treepir_official,12,True,2.7086529999999995,0.009069999999999998,0.051306,2.775989,1792
4,1,treepir_official,9,True,2.072253,0.007481000000000001,0.061825,2.147283,1792
4,1,treepir_official,4,True,2.509105,0.008223,0.04510300000000001,2.567823,1792
4,1,treepir_official,0,True,2.2214750000000003,0.009784999999999999,0.040662,2.278506,1792
4,1,treepir_official,14,True,2.3287940000000007,0.008205999999999998,0.061486999999999986,2.404805,1792
4,1,treepir_official,5,True,2.2606990000000007,0.0069489999999999994,0.04722199999999999,2.319564,1792
4,1,treepir_official,3,True,1.922817,0.006137999999999999,0.03768,1.971099,1792
4,1,treepir_official,8,True,2.0794029999999997,0.006598,0.04590100000000001,2.136246,1792
4,1,treepir_official,7,True,2.241619,0.021554,0.03864299999999999,2.306924,1792
4,1,treepir_official,1,True,2.331985,0.007785,0.09376399999999999,2.438896,1792
4,2,treepir_official,11,True,2.338476,0.007442,0.049939,2.401007,1792
4,2,treepir_official,13,True,2.463932,0.009283,0.04099800000000001,2.52,1792
4,2,treepir_official,6,True,2.1729610000000004,0.007656999999999999,0.037533000000000004,2.223948,1792
4,2,treepir_official,14,True,2.234109,0.007357,0.038021000000000006,2.284505,1792
4,2,treepir_official,5,True,2.119192,0.007326999999999999,0.042220999999999995,2.173533,1792
4,2,treepir_official,15,True,2.0351090000000003,0.005827,0.028583000000000004,2.074097,1792
4,2,treepir_official,4,True,2.1666080000000005,0.006308,0.039309000000000004,2.216611,1792
4,2,treepir_official,7,True,1.7984660000000001,0.005544000000000001,0.033787,1.842212,1792
4,2,treepir_official,2,True,2.082757000000001,0.007090999999999999,0.025338999999999997,2.129542,1792
4,2,treepir_official,10,True,2.6295539999999997,0.009374999999999998,0.062924,2.707956,1792
4,2,treepir_official,3,True,2.02952,0.007182,0.062728,2.104722,1792
4,2,treepir_official,1,True,2.259384,0.006911,0.061051999999999995,2.331693,1792
4,2,treepir_official,12,True,2.186459,0.007001999999999999,0.05180100000000001,2.250572,1792
4,2,treepir_official,0,True,1.7880830000000005,0.007865999999999998,0.040619999999999996,1.841827,1792
4,2,treepir_official,8,True,2.1890229999999997,0.007012,0.027502000000000002,2.22841,1792
4,2,treepir_official,9,True,2.09091,0.009662,0.037340000000000005,2.144254,1792
4,2,activebalance,11,True,2.238636,0.010903999999999999,0.049976,2.305921,1792
4,2,activebalance,13,True,1.8030930000000005,0.007207000000000001,0.04720800000000001,1.862875,1792
4,2,activebalance,6,True,2.2651589999999997,0.006668000000000001,0.031713,2.307992,1792
4,2,activebalance,14,True,2.9894460000000005,0.012665,0.057844,3.067969,1792
4,2,activebalance,5,True,1.7814600000000005,0.006356999999999999,0.066136,1.858645,1792
4,2,activebalance,15,True,2.3831759999999997,0.006713000000000002,0.04784000000000001,2.442651,1792
4,2,activebalance,4,True,2.5286709999999997,0.007703,0.053201999999999985,2.595738,1792
4,2,activebalance,7,True,1.912538,0.006657999999999999,0.055336,1.979251,1792
4,2,activebalance,2,True,2.5332649999999997,0.008084000000000001,0.042568,2.589509,1792
4,2,activebalance,10,True,2.32323,0.00822,0.063116,2.400642,1792
4,2,activebalance,3,True,2.2269,0.008662000000000001,0.06229000000000001,2.302849,1792
4,2,activebalance,1,True,2.2162830000000002,0.010169000000000001,0.04745899999999999,2.281033,1792
4,2,activebalance,12,True,1.950804,0.008008000000000001,0.056838999999999994,2.021857,1792
4,2,activebalance,0,True,2.007902,0.006665,0.041025,2.059851,1792
4,2,activebalance,8,True,2.6574099999999996,0.008242999999999999,0.033576,2.704596,1792
4,2,activebalance,9,True,1.941106,0.007869000000000003,0.063459,2.017673,1792
4,2,first_fit,11,True,2.144576,0.00688,0.06664700000000001,2.224069,1536
4,2,first_fit,13,True,2.7078610000000003,0.062106,0.189971,2.967914,1536
4,2,first_fit,6,True,2.264033,0.0066339999999999975,0.05153499999999999,2.32762,1536
4,2,first_fit,14,True,1.8767910000000003,0.0061860000000000005,0.04634300000000001,1.934514,1536
4,2,first_fit,5,True,2.274878,0.009028,0.045863,2.337177,1536
4,2,first_fit,15,True,2.1958420000000003,0.0078010000000000015,0.047401,2.256532,1536
