case,method,repeat,n,N,m,buckets,max_bucket,rounded_entries,pir_dimensions,proofs,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,online_framed_bytes,server_preprocess_ms,client_keygen_ms,public_key_roundtrip_ms,galois_key_payload_bytes,relin_key_payload_bytes,public_key_framed_bytes,public_map_payload_bytes,common_metadata_payload_bytes,encryption_parameters_payload_bytes,setup_client_to_server_payload_bytes,setup_server_to_client_payload_bytes,active_digest_payload_bytes,replicated_record_payload_bytes,max_padded_bucket_payload_bytes,backend_rounded_raw_payload_bytes,ntt_coefficient_payload_bytes,ntt_plaintexts,encoded_db_bytes,persistent_setup_wall_ms,combined_peak_rss_after_setup_bytes,combined_peak_rss_final_bytes,setup_serialized_payload_bytes
cluster90_n10000,ab,1,10000,19998,27,27,1088,1088,64x17,10,330.6988647,0.0131551,4.1573601,0.24654790000000001,325.2039676,0.1036768,0.9014657,0.06820570000000001,1048955,304.85571,123.496341,181.568665,37822464,1573267,39395747,320192,804088,153,39395731,1124433,639936,639936,940032,940032,33423360,170,33423360,761.846016,483602432,483602432,40520164
cluster90_n10000,pbc,1,10000,19998,27,41,1538,1600,64x25,10,325.9681397,0.060490999999999996,4.3870446,0.2527461,320.1424183,0.1097687,0.9492182,0.0618315,1048955,575.04259,120.520126,169.161884,37822464,1573267,39395747,960240,804088,153,39395731,1764481,639936,1919808,2017856,2099200,49152000,250,49152000,1005.406627,484499456,484499456,41160212
complete_h14,treepir,1,16384,32766,14,14,2341,2368,64x37,10,321.4897156,0.0118338,3.1224336999999998,0.291047,317.0857396,0.1027065,0.8460181,0.0260762,1048955,403.81521,108.74967,162.280003,37822464,1573267,39395747,524376,1081784,153,39395731,1606313,1048512,1048512,1048768,1060864,72744960,370,72744960,909.88546,483667968,483667968,41002044
complete_h14,pbc,1,16384,32766,14,21,4789,8192,64x64x2,10,497.3231611,0.0365991,5.1011156,0.4553818,491.1686316,0.0593796,0.47118740000000003,0.0264167,1311220,1643.366441,125.013216,209.081088,37822464,1573267,39395747,1572944,1081784,153,39395731,2654881,1048512,3145536,3218208,5505024,251658240,1280,251658240,2154.843003,755978240,817188864,42050612
complete_h14,ab,1,16384,32766,14,14,2354,2368,64x37,10,318.4726981,0.0120642,2.8937726,0.2637767,314.36106159999997,0.1003082,0.8129812000000001,0.0250985,1048955,445.00653,107.46271,152.308515,37822464,1573267,39395747,524376,1081784,153,39395731,1606313,1048512,1048512,1054592,1060864,72744960,370,72744960,957.086045,484438016,484438016,41002044
prefix64_n10000,ab,1,10000,19998,17,17,1181,1216,64x19,10,313.51265190000004,0.0127857,3.0176062,0.199056,309.17763279999997,0.1085176,0.9348411,0.0585936,1048955,247.406535,119.396275,161.496467,37822464,1573267,39395747,320112,804088,153,39395731,1124353,639936,639936,642464,661504,37355520,190,37355520,696.75667,483618816,483618816,40520084
prefix64_n10000,pbc,1,10000,19998,17,26,2379,2432,64x38,10,321.0670014,0.0411139,3.3920554,0.217367,316.3748177,0.10698919999999999,0.8732437,0.0575289,1048955,599.700692,117.049337,157.833464,37822464,1573267,39395747,960120,804088,153,39395731,1764361,639936,1919808,1979328,2023424,74711040,380,74711040,997.070024,484491264,484491264,41160092
complete_h10,ab,1,1024,2046,10,10,205,256,64x4,10,306.75262349999997,0.0061399,2.9407176,0.24994159999999999,302.55330549999996,0.1118496,0.8632434,0.0238698,1048955,40.390019,105.224772,175.182673,37822464,1573267,39395747,32824,67896,153,39395731,100873,65472,65472,65600,81920,7864320,40,7864320,347.191988,483688448,483688448,39496604
complete_h10,treepir,1,1024,2046,10,10,205,256,64x4,10,310.5917765,0.006357,2.5877319,0.2571647,306.79580020000003,0.1086578,0.8094659,0.023413299999999998,1048955,36.806474,104.757803,156.843495,37822464,1573267,39395747,32824,67896,153,39395731,100873,65472,65472,65600,81920,7864320,40,7864320,324.594457,484499456,484499456,39496604
complete_h10,pbc,1,1024,2046,10,15,446,448,64x7,10,318.9896284,0.0235527,2.9251961,0.2201419,314.7271866,0.10938490000000001,0.9562858,0.0245568,1048955,80.943501,119.086501,158.963113,37822464,1573267,39395747,98336,67896,153,39395731,166385,65472,196416,214080,215040,13762560,70,13762560,387.424389,484499456,484499456,39562116
uniform_n100000,pbc,1,100000,199998,21,32,18993,20480,64x64x5,10,885.2709622,0.0820874,6.502623900000001,0.4478365,877.4027961,0.1007854,0.6563489,0.0737911,1311220,6160.184573,105.606816,246.638838,37822464,1573267,39395747,9600168,8004088,153,39395731,17604409,6399936,19199808,19448832,20971520,629145600,3200,629145600,8450.758315,1693753344,1760600064,57000140
uniform_n100000,ab,1,100000,199998,21,21,9552,12288,64x64x3,10,569.7158815,0.0234481,5.0112614,0.4165101,563.6428833,0.0705244,0.4861853,0.0609494,1311220,2538.198746,135.773211,229.093165,37822464,1573267,39395747,3200144,8004088,153,39395731,11204385,6399936,6399936,6418944,8257536,377487360,1920,377487360,4203.027232,1181446144,1246326784,50600116
uniform_n1000,pbc,1,1000,1998,13,20,341,384,64x6,10,312.1845419,0.0286851,3.2320818,0.2048861,307.6795805,0.0969264,0.8725044,0.0649457,1048955,68.494088,112.108469,157.505517,37822464,1573267,39395747,96072,84088,153,39395731,180313,63936,191808,218240,245760,11796480,60,11796480,364.628772,484442112,484442112,39576044
uniform_n1000,ab,1,1000,1998,13,13,154,192,64x3,10,305.789835,0.0061979999999999995,2.8269385,0.2397443,301.6873977,0.0997668,0.8632192,0.0631203,1048955,32.412165,113.391576,151.059928,37822464,1573267,39395747,32080,84088,153,39395731,116321,63936,63936,64064,79872,5898240,30,5898240,331.22418,483586048,483586048,39512052
uniform_n10000,pbc,1,10000,19998,17,26,2379,2432,64x38,10,319.3826951,0.0476557,3.4208416,0.2251753,314.6124773,0.1026311,0.9061788,0.0636912,1048955,588.10183,114.034426,185.296724,37822464,1573267,39395747,960120,804088,153,39395731,1764361,639936,1919808,1979328,2023424,74711040,380,74711040,1030.682595,484270080,484270080,41160092
uniform_n10000,ab,1,10000,19998,17,17,1179,1216,64x19,10,331.4626324,0.0131088,3.1263027,0.2066843,326.9646624,0.1182438,0.9568015,0.073062,1048955,228.426467,109.255396,163.506344,37822464,1573267,39395747,320112,804088,153,39395731,1124353,639936,639936,641376,661504,37355520,190,37355520,642.88358,484556800,484556800,40520084
uniform_n100000,ab,2,100000,199998,21,21,9552,12288,64x64x3,10,564.4194937,0.0244085,4.9659212,0.4741233,558.2957873,0.0723041,0.5148108,0.0677391,1311220,2600.06484,142.849981,246.972941,37822464,1573267,39395747,3200144,8004088,153,39395731,11204385,6399936,6399936,6418944,8257536,377487360,1920,377487360,4587.727591,1181515776,1246658560,50600116
uniform_n100000,pbc,2,100000,199998,21,32,18993,20480,64x64x5,10,804.3335903,0.0645541,5.5882674,0.4102486,797.6790946,0.0735502,0.4534453,0.0604042,1311220,5552.327556,94.15471,211.585185,37822464,1573267,39395747,9600168,8004088,153,39395731,17604409,6399936,19199808,19448832,20971520,629145600,3200,629145600,7561.716899,1693720576,1760567296,57000140
cluster90_n10000,ab,2,10000,19998,27,27,1088,1088,64x17,10,309.718636,0.0139623,3.4003278,0.2395495,305.0359812,0.1176629,0.8441646,0.063165,1048955,293.510113,116.221379,174.469802,37822464,1573267,39395747,320192,804088,153,39395731,1124433,639936,639936,940032,940032,33423360,170,33423360,761.389573,483946496,483946496,40520164
cluster90_n10000,pbc,2,10000,19998,27,41,1538,1600,64x25,10,316.3243324,0.0609738,4.4974378999999995,0.2600182,310.4229362,0.097149,0.9132125,0.0682201,1048955,499.006878,106.679496,147.900063,37822464,1573267,39395747,960240,804088,153,39395731,1764481,639936,1919808,2017856,2099200,49152000,250,49152000,891.864405,483553280,483553280,41160212
prefix64_n10000,ab,2,10000,19998,17,17,1181,1216,64x19,10,312.6037902,0.0111172,2.8970867,0.2034714,308.4676293,0.0964673,0.8497045000000001,0.0747676,1048955,230.64705,127.974655,162.379162,37822464,1573267,39395747,320112,804088,153,39395731,1124353,639936,639936,642464,661504,37355520,190,37355520,691.355153,484016128,484016128,40520084
prefix64_n10000,pbc,2,10000,19998,17,26,2379,2432,64x38,10,320.566054,0.0424875,3.4233189,0.2420769,315.7994822,0.1026225,0.8865665,0.065442,1048955,631.977855,110.205392,167.356457,37822464,1573267,39395747,960120,804088,153,39395731,1764361,639936,1919808,1979328,2023424,74711040,380,74711040,1055.468714,484536320,484536320,41160092
complete_h10,pbc,2,1024,2046,10,15,446,448,64x7,10,309.1327604,0.021558,2.8634516,0.2184518,304.9571519,0.0973646,0.9472774,0.0242324,1048955,78.23472,106.284168,162.736739,37822464,1573267,39395747,98336,67896,153,39395731,166385,65472,196416,214080,215040,13762560,70,13762560,376.897408,484556800,484556800,39562116
complete_h10,treepir,2,1024,2046,10,10,205,256,64x4,10,310.3904253,0.0076587,2.6529178,0.2214043,306.4848604,0.114856,0.8793215000000001,0.024204,1048955,37.830513,106.83803,152.831974,37822464,1573267,39395747,32824,67896,153,39395731,100873,65472,65472,65600,81920,7864320,40,7864320,328.358327,483659776,483659776,39496604
complete_h10,ab,2,1024,2046,10,10,205,256,64x4,10,327.9115592,0.0069751,3.0429049,0.2514793,323.49267629999997,0.1253666,0.9498769,0.0384585,1048955,37.031642,114.372618,165.331078,37822464,1573267,39395747,32824,67896,153,39395731,100873,65472,65472,65600,81920,7864320,40,7864320,344.155947,483639296,483639296,39496604
complete_h14,ab,2,16384,32766,14,14,2354,2368,64x37,10,319.98230789999997,0.0131928,2.9190684,0.224072,315.6919784,0.1099446,0.9895608,0.0308136,1048955,466.381626,112.565481,186.376166,37822464,1573267,39395747,524376,1081784,153,39395731,1606313,1048512,1048512,1054592,1060864,72744960,370,72744960,1030.86695,483569664,483569664,41002044
complete_h14,pbc,2,16384,32766,14,21,4789,8192,64x64x2,10,464.9887451,0.0413308,5.0096907999999996,0.4117093,458.9128703,0.0759977,0.5029903,0.030172400000000002,1311220,1630.159711,141.656655,246.423176,37822464,1573267,39395747,1572944,1081784,153,39395731,2654881,1048512,3145536,3218208,5505024,251658240,1280,251658240,2220.317352,755978240,817188864,42050612
complete_h14,treepir,2,16384,32766,14,14,2341,2368,64x37,10,320.7409324,0.0130749,2.9635142,0.2786226,316.5235447,0.1088154,0.8223498,0.0273125,1048955,413.659058,112.409331,170.299433,37822464,1573267,39395747,524376,1081784,153,39395731,1606313,1048512,1048512,1048768,1060864,72744960,370,72744960,921.008994,483569664,483569664,41002044
uniform_n1000,ab,2,1000,1998,13,13,154,192,64x3,10,304.2787519,0.0061259,2.8543345,0.220628,300.0969464,0.1110412,0.9286261,0.0573954,1048955,34.925856,106.277432,168.547385,37822464,1573267,39395747,32080,84088,153,39395731,116321,63936,63936,64064,79872,5898240,30,5898240,345.657067,483602432,483602432,39512052
uniform_n1000,pbc,2,1000,1998,13,20,341,384,64x6,10,302.775462,0.0274122,3.2928255,0.2022451,298.1746968,0.0966819,0.9117366,0.0662431,1048955,67.421653,108.797945,156.415701,37822464,1573267,39395747,96072,84088,153,39395731,180313,63936,191808,218240,245760,11796480,60,11796480,357.51045,484417536,484417536,39576044
uniform_n10000,pbc,2,10000,19998,17,26,2379,2432,64x38,10,350.8135908,0.0482193,3.7711725,0.24351109999999998,345.6354127,0.1161544,0.9255418,0.0695289,1048955,588.758609,107.791536,186.899516,37822464,1573267,39395747,960120,804088,153,39395731,1764361,639936,1919808,1979328,2023424,74711040,380,74711040,1014.998184,484376576,484376576,41160092
uniform_n10000,ab,2,10000,19998,17,17,1179,1216,64x19,10,313.4899364,0.0128305,3.2984373,0.260007,308.8070209,0.1026606,0.9422537,0.0628408,1048955,232.984925,112.846401,163.376035,37822464,1573267,39395747,320112,804088,153,39395731,1124353,639936,639936,641376,661504,37355520,190,37355520,648.678072,483561472,483561472,40520084
