case,method,repeat,target_id,serialized_proof_wall_ms,route_ms,query_ms,query_roundtrip_ms,answer_ms,answer_roundtrip_ms,decode_ms,proof_verify_ms,online_framed_bytes,real_records,valid_root_independently_verified
prefix64_n10000,pbc,2,741,314.746928,0.049648,3.031452,0.264361,310.433596,0.100459,0.806904,0.056395,1048955,14,True
prefix64_n10000,pbc,2,7967,309.36673,0.040547,3.313999,0.345633,304.616707,0.105512,0.878869,0.06116,1048955,14,True
prefix64_n10000,pbc,2,6995,337.733816,0.04108,3.206348,0.187047,332.551785,0.124902,1.491962,0.126249,1048955,13,True
prefix64_n10000,pbc,2,320,333.860777,0.055186,5.18579,0.32923,327.290136,0.10036,0.837971,0.058137,1048955,14,True
prefix64_n10000,pbc,2,315,309.58181,0.037454,3.124834,0.236846,305.133602,0.120007,0.862082,0.062474,1048955,13,True
prefix64_n10000,pbc,2,9052,322.713449,0.041454,3.867611,0.227962,317.624833,0.093282,0.793794,0.06069,1048955,15,True
prefix64_n10000,pbc,2,529,320.689729,0.039065,3.163555,0.227485,316.271389,0.106299,0.819619,0.058283,1048955,13,True
prefix64_n10000,pbc,2,6025,335.28216,0.041389,3.08329,0.187085,331.027322,0.092153,0.787863,0.058906,1048955,15,True
prefix64_n10000,pbc,2,3212,309.457338,0.042655,3.156004,0.177658,305.145388,0.098509,0.776752,0.056461,1048955,14,True
complete_h10,pbc,2,513,309.210165,0.021581,2.807221,0.227087,305.226832,0.091104,0.810083,0.022838,1048955,10,True
complete_h10,pbc,2,489,314.412314,0.02128,2.698063,0.17726,310.376008,0.108425,1.002516,0.02572,1048955,10,True
complete_h10,pbc,2,529,333.672952,0.021941,2.889095,0.211253,329.404575,0.081695,1.036456,0.024156,1048955,10,True
complete_h10,pbc,2,187,292.89073,0.022008,2.953689,0.17229,288.244805,0.1006,1.370306,0.023498,1048955,10,True
complete_h10,pbc,2,396,304.371386,0.020846,2.638025,0.212274,300.428703,0.114086,0.932262,0.023074,1048955,10,True
complete_h10,pbc,2,1009,307.676748,0.020987,3.109744,0.207259,303.431382,0.092864,0.787004,0.023465,1048955,10,True
complete_h10,pbc,2,71,310.027978,0.020808,2.61931,0.291647,306.015246,0.085998,0.96687,0.025971,1048955,10,True
complete_h10,pbc,2,66,303.15675,0.023601,3.180341,0.196088,298.842558,0.099718,0.787921,0.02364,1048955,10,True
complete_h10,pbc,2,67,304.500872,0.022364,3.035486,0.311171,300.232603,0.098538,0.772886,0.023648,1048955,10,True
complete_h10,pbc,2,585,311.407709,0.020164,2.703542,0.178189,307.368807,0.100618,1.00647,0.026314,1048955,10,True
complete_h10,treepir,2,513,302.274537,0.005642,2.508585,0.242767,298.563455,0.132916,0.793685,0.023397,1048955,10,True
complete_h10,treepir,2,489,318.220922,0.007524,2.354414,0.225111,314.64475,0.12411,0.838155,0.024207,1048955,10,True
complete_h10,treepir,2,529,329.99209,0.006381,2.473254,0.231577,326.321671,0.121003,0.812447,0.023209,1048955,10,True
complete_h10,treepir,2,187,302.003259,0.007547,2.426142,0.193155,298.4497,0.100808,0.782617,0.022553,1048955,10,True
complete_h10,treepir,2,396,303.549955,0.00643,2.468555,0.197231,299.925699,0.105407,0.818791,0.024367,1048955,10,True
complete_h10,treepir,2,1009,311.649882,0.00533,2.633238,0.232904,307.601531,0.107273,1.040739,0.025817,1048955,10,True
complete_h10,treepir,2,71,316.377107,0.007281,3.813723,0.318914,311.282281,0.116042,0.809439,0.025358,1048955,10,True
complete_h10,treepir,2,66,307.664399,0.016877,2.394294,0.18113,304.145402,0.096976,0.803108,0.023372,1048955,10,True
complete_h10,treepir,2,67,306.972447,0.006558,2.752873,0.218374,302.706604,0.083644,1.175566,0.024844,1048955,10,True
complete_h10,treepir,2,585,305.199655,0.007017,2.7041,0.17288,301.207511,0.160381,0.918668,0.024916,1048955,10,True
