case,comparator,paired_processes,complete_planned_pairs,comparator_over_ab_latency_mean,comparator_minus_ab_ms_mean,difference_ci95_low_ms,difference_ci95_high_ms,online_framed_bytes_comparator_over_ab,replicated_record_payload_bytes_comparator_over_ab,backend_rounded_raw_payload_bytes_comparator_over_ab,ntt_coefficient_payload_bytes_comparator_over_ab,setup_serialized_payload_bytes_comparator_over_ab,persistent_setup_wall_ms_comparator_over_ab
cluster90_n10000,pbc,3,True,1.0075773253014566,2.229968066666667,-12.909041476183264,17.368977609516598,1.0,3.0,2.233115468409586,1.4705882352941178,1.0157957899676813,1.2967205886021052
complete_h10,pbc,3,True,0.9983459866324279,-0.9435672999999838,-40.74751674638669,38.86038214638672,1.0,3.0,2.625,1.75,1.0016586742495632,1.0886797858541097
complete_h10,treepir,3,True,0.992980673785472,-2.5817037666666542,-34.826733069746616,29.663325536413307,1.0,1.0,1.0,1.0,1.0,0.9594667402106855
complete_h14,pbc,3,True,1.492155157738937,157.75968023333334,112.05624165142436,203.46311881524232,1.2500250249057394,3.0,5.1891891891891895,3.4594594594594597,1.0255735543330473,2.289762428680064
complete_h14,treepir,3,True,0.9983430822368868,-0.5553945666666399,-11.435518361376989,10.324729228043708,1.0,1.0,1.0,1.0,1.0,0.9529881159016924
prefix64_n10000,pbc,3,True,1.0226129060730749,7.409222066666662,5.824080073788641,8.994364059544683,1.0,3.0,3.0588235294117645,2.0,1.0157948339889917,1.5701597032149608
uniform_n1000,pbc,3,True,0.976973949922277,-7.68585833333331,-52.368620562597094,36.99690389593048,1.0,3.0,3.076923076923077,2.0,1.0016195564836774,1.0960459023336893
uniform_n10000,pbc,3,True,0.9860565856299179,-6.745689766666676,-110.23274706291406,96.74136752958071,1.0,3.0,3.0588235294117645,2.0,1.0157948339889917,1.5036962602044432
uniform_n100000,pbc,3,True,1.4935528341752622,279.8538479333333,185.4610799441939,374.24661592247276,1.0,3.0,2.5396825396825395,1.6666666666666667,1.1264823977873886,1.8995806297549602
