dataset,height,method,repeat,n,N,m,logical_queries,chunk_queries,max_bucket,proofs_verified,online_bytes,processing_mean_ms,processing_p50_ms,processing_p95_ms,query_mean_ms,answer_mean_ms,decode_mean_ms,verify_mean_ms,setup_api_ms,setup_total_wall_ms,offline_hint_bytes,client_metadata_bytes,directory_plus_hint_bytes,public_shared_state_bytes,server_payload_bytes,full_cache_bootstrap_bytes,client_directory_parse_ms,runner_peak_rss_bytes
Fuel vectors,128,flat_active,3,100,198,9,9,72,198,100,16704,6.889487120000045,6.8969620000006735,7.786165700002345,6.50971341,0.02891995,0.26273678,0.05623179000004086,0.701189,21.939344,917504,6378,923882,950272,6336,12714,7.939462999999591,11530240
Fuel vectors,128,pbc_routed,3,100,198,9,14,112,57,100,12224,9.110979700000021,9.05742549999912,10.808491700000982,8.43164238,0.04496494,0.53645283,0.04529781999998761,3.6579800000000002,167.776283,6422528,15986,6438514,5767168,19008,12714,7.227819000000579,40755200
Fuel vectors,128,nonempty_depth,3,100,198,9,11,88,40,100,6016,6.683085770000087,6.647962000000502,7.5457322499985535,6.30431571,0.0387595,0.26700675,0.04598677999997136,1.838126,105.254685,3014656,6458,3021114,2654208,6336,12714,9.651184999999174,22970368
Fuel vectors,128,activebalance,3,100,198,9,9,72,23,100,6048,5.426063170000272,5.51565599999881,6.125414450001479,5.04679997,0.02234916,0.27952783999999997,0.05384448000032904,1.9859569999999998,90.361133,3538944,6442,3545386,2326528,6336,12714,9.475327000000533,21848064
Fuel vectors,128,first_fit,3,100,198,9,9,72,58,100,5152,5.498504880000004,5.498555000000588,6.142747250000403,5.17666733,0.02542712,0.22762906,0.04758129000027367,1.6592759999999993,88.174145,2621440,6442,2627882,2293760,6336,12714,9.450765000000416,20836352
Fuel vectors,128,activebalance,4,100,198,9,9,72,23,100,6048,5.415091359999863,5.559541500000153,6.2549208000015355,5.04494458,0.02145241,0.27694157,0.048579840000009256,2.21298,91.871663,3538944,6442,3545386,2326528,6336,12714,8.53411599999987,22196224
Fuel vectors,128,hybrid,4,100,198,9,9,72,26,100,5696,5.533806900000147,5.509882999997631,6.437961600000516,5.16794525,0.02363397,0.27384988,0.043477590000016164,1.6439150000000002,85.367793,3276800,6442,3283242,2392064,6336,12714,10.324924999999041,21946368
Fuel vectors,128,pbc_routed,4,100,198,9,14,112,57,100,12224,9.060925260000056,8.929455000000345,10.470221200004172,8.36806567,0.04201405,0.54682469,0.04622137000012572,3.6607929999999986,172.138104,6422528,15986,6438514,5767168,19008,12714,6.934387000001152,40726528
Fuel vectors,128,nonempty_depth,4,100,198,9,11,88,40,100,6016,6.649102220000242,6.654983999998876,7.578817450000668,6.27681445,0.03312134,0.25848587,0.054030950000054645,1.803115000000001,103.519728,3014656,6458,3021114,2654208,6336,12714,7.312351999999578,22384640
Fuel vectors,128,flat_active,4,100,198,9,9,72,198,100,16704,6.946319380000297,6.885135499997754,7.799795349992856,6.5653405,0.03026668,0.27523189,0.044179479999755245,0.970487,24.173497,917504,6378,923882,950272,6336,12714,8.6235830000021,11530240
