color	position	swapped_node
A	0	2
A	1	3072
A	2	6146
A	3	12294
A	4	24590
A	5	24591
A	6	3074
A	7	6150
A	8	12302
A	9	12303
A	10	3076
A	11	6154
A	12	12310
A	13	24622
A	14	24623
A	15	3078
A	16	6158
A	17	12318
A	18	24638
A	19	24639
A	20	1541
A	21	3081
A	22	12321
A	23	24640
A	24	24641
A	25	24644
A	26	24645
A	27	24646
A	28	24647
A	29	1543
A	30	3085
A	31	12337
A	32	24672
A	33	24673
A	34	24676
A	35	24677
A	36	24678
A	37	24679
A	38	3088
A	39	6178
A	40	12358
A	41	24718
A	42	24719
A	43	3090
A	44	6182
A	45	12366
A	46	12367
A	47	3092
A	48	6186
A	49	12374
A	50	24750
A	51	24751
A	52	3094
A	53	6190
A	54	12382
A	55	24766
A	56	24767
A	57	1549
A	58	3097
A	59	12385
A	60	24768
A	61	24769
A	62	24772
A	63	24773
A	64	24774
A	65	24775
A	66	1551
A	67	3101
A	68	12401
A	69	24800
A	70	24801
A	71	24804
A	72	24805
A	73	24806
A	74	24807
A	75	3104
A	76	6210
A	77	12422
A	78	24846
A	79	24847
A	80	3106
A	81	6214
A	82	12430
A	83	12431
A	84	3108
A	85	6218
A	86	12438
A	87	24878
A	88	24879
A	89	3110
A	90	6222
A	91	12446
A	92	24894
A	93	24895
A	94	1557
A	95	3113
A	96	12449
A	97	24896
A	98	24897
A	99	24900
A	100	24901
A	101	24902
A	102	24903
A	103	1559
A	104	3117
A	105	12465
A	106	24928
A	107	24929
A	108	24932
A	109	24933
A	110	24934
A	111	24935
A	112	781
A	113	6240
A	114	12482
A	115	12483
A	116	6243
A	117	24968
A	118	24969
A	119	24970
A	120	24971
A	121	6244
A	122	12490
A	123	12491
A	124	12492
A	125	12493
A	126	24988
A	127	24989
A	128	24990
A	129	24991
A	130	783
A	131	6256
A	132	12514
A	133	12515
A	134	6259
A	135	25032
A	136	25033
A	137	25034
A	138	25035
A	139	6261
A	140	12520
A	141	25042
A	142	25043
A	143	12524
A	144	12525
A	145	12527
A	146	25052
A	147	25053
A	148	3136
A	149	6274
A	150	12550
A	151	25102
A	152	25103
A	153	3138
A	154	6278
A	155	12558
A	156	12559
A	157	3140
A	158	6282
A	159	12566
A	160	25134
A	161	25135
A	162	3142
A	163	6286
A	164	12574
A	165	25150
A	166	25151
A	167	1573
A	168	3145
A	169	12577
A	170	25152
A	171	25153
A	172	25156
A	173	25157
A	174	25158
A	175	25159
A	176	1575
A	177	3149
A	178	12593
A	179	25184
A	180	25185
A	181	25188
A	182	25189
A	183	25190
A	184	25191
A	185	1576
A	186	3155
A	187	12617
A	188	25232
A	189	25233
A	190	25236
A	191	25237
A	192	25238
A	193	25239
A	194	1578
A	195	3159
A	196	12633
A	197	25264
A	198	25265
A	199	25268
A	200	25269
A	201	25270
A	202	25271
A	203	1580
A	204	3163
A	205	12649
A	206	25296
A	207	25297
A	208	25300
A	209	25301
A	210	25302
A	211	25303
A	212	1582
A	213	3167
A	214	12665
A	215	25328
A	216	25329
A	217	25332
A	218	25333
A	219	25334
A	220	25335
A	221	3168
A	222	6338
A	223	12678
A	224	25358
A	225	25359
A	226	3170
A	227	6342
A	228	12686
A	229	12687
A	230	3172
A	231	6346
A	232	12694
A	233	25390
A	234	25391
A	235	3174
A	236	6350
A	237	12702
A	238	25406
A	239	25407
A	240	1589
A	241	3177
A	242	12705
A	243	25408
A	244	25409
A	245	25412
A	246	25413
A	247	25414
A	248	25415
A	249	1591
A	250	3181
A	251	12721
A	252	25440
A	253	25441
A	254	25444
A	255	25445
A	256	25446
A	257	25447
A	258	797
A	259	6368
A	260	12738
A	261	12739
A	262	6371
A	263	25480
A	264	25481
A	265	25482
A	266	25483
A	267	6372
A	268	12746
A	269	12747
A	270	12748
A	271	12749
A	272	25500
A	273	25501
A	274	25502
A	275	25503
A	276	799
A	277	6384
A	278	12770
A	279	12771
A	280	6387
A	281	25544
A	282	25545
A	283	25546
A	284	25547
A	285	6389
A	286	12776
A	287	25554
A	288	25555
A	289	12780
A	290	12781
A	291	12783
A	292	25564
A	293	25565
A	294	1601
A	295	3201
A	296	12801
A	297	25600
A	298	25601
A	299	25604
A	300	25605
A	301	25606
A	302	25607
A	303	1603
A	304	3205
A	305	12817
A	306	25632
A	307	25633
A	308	25636
A	309	25637
A	310	25638
A	311	25639
A	312	3208
A	313	6418
A	314	12838
A	315	25678
A	316	25679
