N,U_over_B,actual_moves,actual_n,actual_passes,algorithm,checkpoint_validation_io_s,coloring_s,compact_extractor,converged,depth_active_queries,distribution,exit_code,extraction_forest_stats_s,height,host,id,imports_s,key_generation_s,key_mode,key_sha256,label,last_completed_checkpoint_only,loads,lower_bound,m,max_bucket,measured_total_s,memory_scope,n,passes,peak_rss_bytes,pid,platform,process_worker_s,python,repeat,rss_bytes,seed,shared_prefix_bits,source,status,subprocess_wall_s,timeout_limit_s,valid
510,4.0,0,256,1,hybrid,0.007108099991455674,0.013169400044716895,compressed branching extraction; legacy node/order validated in selfcheck,True,8,saturated,0,0.0011684000492095947,16,Highlights,saturated_n256_h16_hybrid_p2_s20260910_r1,0.6127922999439761,1.9000028260052204e-05,,2a6fbc34dee6537ff0f147dece5e93e7dce8957b5dc930541233887ee76313cf,,,"[45, 45, 40, 36, 44, 256, 2, 42]",64,8,256,0.11568639997858554,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,256,2,73060352,42400,Windows-11-10.0.26200-SP0,0.7284805999370292,3.14.2,1,72966144,20260910,,,complete,1.0309486000332981,120.0,True
131070,4.0001220703125,1,65536,1,ab-sorted,0.12893439992330968,0.85767900000792,compressed branching extraction; legacy node/order validated in selfcheck,False,16,saturated,0,0.5390941000077873,16,Highlights,saturated_n65536_h16_ab-sorted_p1_s20260910_r1,0.5975517999613658,0.0011259999591857195,,281f79f89f0121c31db2bea5d7151db246349b25f5901c114505c18bfaa50ba1,,,"[32769, 16386, 8196, 4104, 2064, 1056, 576, 384, 384, 576, 1056, 2064, 4104, 8196, 16386, 32769]",8192,16,32769,1.6476985999615863,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,65536,1,174940160,24652,Windows-11-10.0.26200-SP0,2.245251699932851,3.14.2,1,174940160,20260910,,,complete,2.884941100026481,120.0,True
131070,1.010009765625,20,65536,20,ab-sorted,1.0266828002640978,14.031901199719869,compressed branching extraction; legacy node/order validated in selfcheck,False,16,saturated,0,0.401438600034453,16,Highlights,saturated_n65536_h16_ab-sorted_p20_s20260910_r1,0.47939850005786866,0.0010676999809220433,,281f79f89f0121c31db2bea5d7151db246349b25f5901c114505c18bfaa50ba1,,,"[8274, 8268, 8270, 8269, 7907, 8221, 8265, 8250, 8239, 7888, 8274, 8270, 8192, 8210, 8245, 8028]",8192,16,8274,15.540263999952003,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,65536,20,496861184,46140,Windows-11-10.0.26200-SP0,16.01966500002891,3.14.2,1,455819264,20260910,,,complete,17.28509799996391,120.0,True
131070,8.0,0,65536,0,first-fit,0.08711850002873689,0.11087460000999272,compressed branching extraction; legacy node/order validated in selfcheck,False,16,saturated,0,0.5518334000371397,16,Highlights,saturated_n65536_h16_first-fit_p0_s20260910_r1,0.6168989000143483,0.0018746000714600086,,281f79f89f0121c31db2bea5d7151db246349b25f5901c114505c18bfaa50ba1,,,"[2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]",8192,16,65536,0.8861810000380501,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,65536,0,143171584,19084,Windows-11-10.0.26200-SP0,1.5030826000729576,3.14.2,1,137072640,20260910,,,complete,2.145203800057061,120.0,True
199998,2.919150808491915,1,100000,1,ab-hungarian,0.2475521001033485,10.567382599809207,compressed branching extraction; legacy node/order validated in selfcheck,False,32,uniform,0,1.1119299000129104,128,Highlights,uniform_n100000_h128_ab-hungarian_p1_s20260910_r1,0.5930572000797838,0.052670200006105006,,7f3df9a9467dbdd52eb199beceece86a1d751fd5a4ab1b0ba8b0f25617fdc60f,,,"[26525, 16150, 12260, 4104, 2682, 2080, 1088, 640, 552, 640, 1088, 2080, 4106, 8200, 16118, 26538, 25759, 12288, 2628, 514, 8200, 25758]",9091,22,26538,12.15329019993078,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100000,1,246345728,48604,Windows-11-10.0.26200-SP0,12.746348900021985,3.14.2,1,246345728,20260910,,,complete,13.655099399969913,120.0,True
199998,1.1668683313166868,10,100000,10,ab-hungarian,,114.9430050997762,compressed branching extraction; legacy node/order validated in selfcheck,False,32,uniform,,1.1704963999800384,128,Highlights,uniform_n100000_h128_ab-hungarian_p20_s20260910_r1,0.662121000001207,0.05795709998346865,,7f3df9a9467dbdd52eb199beceece86a1d751fd5a4ab1b0ba8b0f25617fdc60f,,True,"[9905, 10548, 8676, 9559, 9908, 7702, 8094, 8050, 10608, 7870, 10294, 8416, 9804, 8436, 9280, 9897, 9480, 8944, 8224, 7879, 8828, 9596]",9091,22,10608,,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100000,20,686821376,24324,Windows-11-10.0.26200-SP0,,3.14.2,1,500707328,20260910,,,timeout,120.05983189994004,120.0,True
199998,2.919150808491915,1,100000,1,ab-sorted,0.18432040000334382,1.615279300021939,compressed branching extraction; legacy node/order validated in selfcheck,False,32,uniform,0,0.8096840999787673,128,Highlights,uniform_n100000_h128_ab-sorted_p1_s20260910_r1,0.401821699924767,0.03662110003642738,,7f3df9a9467dbdd52eb199beceece86a1d751fd5a4ab1b0ba8b0f25617fdc60f,,,"[26525, 25758, 12260, 8200, 2682, 2080, 1088, 640, 552, 640, 1088, 2080, 4106, 8200, 16118, 26538, 25759, 12288, 2628, 514, 4104, 16150]",9091,22,26538,2.750294500030577,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100000,1,246054912,40920,Windows-11-10.0.26200-SP0,3.1521173999644816,3.14.2,1,246054912,20260910,,,complete,3.9562064999481663,120.0,True
199998,1.003849961500385,20,100000,20,ab-sorted,1.9140843999339268,43.31577830016613,compressed branching extraction; legacy node/order validated in selfcheck,False,32,uniform,0,1.1366292000748217,128,Highlights,uniform_n100000_h128_ab-sorted_p20_s20260910_r1,0.634619600023143,0.04429399990476668,,7f3df9a9467dbdd52eb199beceece86a1d751fd5a4ab1b0ba8b0f25617fdc60f,,,"[9113, 9126, 9108, 8942, 9126, 9118, 9120, 9106, 9109, 9106, 9121, 9119, 9117, 9109, 9009, 8904, 9119, 9120, 9121, 9077, 9123, 9085]",9091,22,9126,46.58213130000513,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100000,20,799821824,37724,Windows-11-10.0.26200-SP0,47.216752300038934,3.14.2,1,694460416,20260910,,,complete,48.55519790004473,120.0,True
199998,5.836761632383676,0,100000,0,first-fit,0.15340429998468608,0.15305870003066957,compressed branching extraction; legacy node/order validated in selfcheck,False,32,uniform,0,1.0956140999915078,128,Highlights,uniform_n100000_h128_first-fit_p0_s20260910_r1,0.615784400026314,0.06562809995375574,,7f3df9a9467dbdd52eb199beceece86a1d751fd5a4ab1b0ba8b0f25617fdc60f,,,"[2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32264, 53062, 51514, 24540, 5278, 554, 18, 2]",9091,22,53062,1.6218014999758452,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100000,0,189763584,42932,Windows-11-10.0.26200-SP0,2.2375877000158653,3.14.2,1,173498368,20260910,,,complete,2.9656012000050396,120.0,True
199998,1.2592674073259267,0,100000,0,hybrid,0.1436824999982491,3.7647928999504074,compressed branching extraction; legacy node/order validated in selfcheck,False,32,uniform,0,1.2528967999387532,128,Highlights,uniform_n100000_h128_hybrid_p0_s20260910_r1,0.6655596999917179,0.07379549997858703,,7f3df9a9467dbdd52eb199beceece86a1d751fd5a4ab1b0ba8b0f25617fdc60f,,,"[9342, 9920, 11448, 8205, 11448, 5038, 5035, 9139, 7758, 11448, 11448, 8205, 11447, 9843, 8340, 9425, 10984, 11447, 4379, 9216, 5036, 11447]",9091,22,11448,5.391657599946484,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100000,0,189042688,46068,Windows-11-10.0.26200-SP0,6.057219299953431,3.14.2,1,173084672,20260910,,,complete,6.9166704000672325,120.0,True
19998,2.5517551755175516,1,10000,1,ab-hungarian,0.017020000028423965,1.005448899930343,compressed branching extraction; legacy node/order validated in selfcheck,False,26,uniform,0,0.09682090010028332,128,Highlights,uniform_n10000_h128_ab-hungarian_p1_s20260910_r1,0.6199013999430463,0.0041807000525295734,,757277ef46edabe2168ceb6d56c8ce9db8faf1e710b1b0f12248bac7a9908a0b,,,"[2835, 2304, 1028, 888, 528, 190, 192, 192, 272, 526, 1028, 1938, 2754, 2139, 770, 182, 276, 1956]",1111,18,2835,1.243073599995114,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,1,88952832,36196,Windows-11-10.0.26200-SP0,1.8629766999511048,3.14.2,1,88952832,20260910,,,complete,2.133902700035833,120.0,True
19998,1.0009000900090008,20,10000,20,ab-hungarian,0.1617230997653678,20.15303100028541,compressed branching extraction; legacy node/order validated in selfcheck,False,26,uniform,0,0.054273499990813434,128,Highlights,uniform_n10000_h128_ab-hungarian_p20_s20260910_r1,0.384872299968265,0.003284799982793629,,757277ef46edabe2168ceb6d56c8ce9db8faf1e710b1b0f12248bac7a9908a0b,,,"[1111, 1112, 1110, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111, 1111]",1111,18,1112,20.450163399917074,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,20,156966912,30532,Windows-11-10.0.26200-SP0,20.835036899894476,3.14.2,1,139055104,20260910,,,complete,21.28451660007704,120.0,True
19998,2.5517551755175516,1,10000,1,ab-sorted,0.019751599989831448,0.13034749997314066,compressed branching extraction; legacy node/order validated in selfcheck,False,26,uniform,0,0.08208660001400858,128,Highlights,uniform_n10000_h128_ab-sorted_p1_s20260910_r1,0.5300934999249876,0.003922900068573654,,757277ef46edabe2168ceb6d56c8ce9db8faf1e710b1b0f12248bac7a9908a0b,,,"[2835, 2304, 1028, 888, 528, 190, 192, 192, 272, 526, 1028, 1938, 2754, 2139, 770, 182, 276, 1956]",1111,18,2835,0.32333170005586,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,1,88743936,44996,Windows-11-10.0.26200-SP0,0.8534265999915078,3.14.2,1,88743936,20260910,,,complete,1.1494074000511318,120.0,True
19998,1.0009000900090008,20,10000,20,ab-sorted,0.17970529990270734,3.5011757999891415,compressed branching extraction; legacy node/order validated in selfcheck,False,26,uniform,0,0.08294789993669838,128,Highlights,uniform_n10000_h128_ab-sorted_p20_s20260910_r1,0.6454577000113204,0.00488650007173419,,757277ef46edabe2168ceb6d56c8ce9db8faf1e710b1b0f12248bac7a9908a0b,,,"[1102, 1111, 1110, 1111, 1112, 1111, 1112, 1112, 1112, 1111, 1112, 1112, 1112, 1112, 1112, 1112, 1111, 1111]",1111,18,1112,3.8821264000143856,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,20,157192192,2524,Windows-11-10.0.26200-SP0,4.527585699921474,3.14.2,1,138485760,20260910,,,complete,5.030994500033557,120.0,True
19998,5.02970297029703,0,10000,0,first-fit,0.013855400029569864,0.023706299951300025,compressed branching extraction; legacy node/order validated in selfcheck,False,26,uniform,0,0.061531499959528446,128,Highlights,uniform_n10000_h128_first-fit_p0_s20260910_r1,0.5588507000356913,0.0052429999923333526,,757277ef46edabe2168ceb6d56c8ce9db8faf1e710b1b0f12248bac7a9908a0b,,,"[2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 3890, 5588, 4440, 1642, 308, 34, 2]",1111,18,5588,0.1979989999672398,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,0,85090304,45156,Windows-11-10.0.26200-SP0,0.7568531000288203,3.14.2,1,84099072,20260910,,,complete,1.1486419999273494,120.0,True
19998,1.2133213321332132,0,10000,0,hybrid,0.010368000017479062,0.3634466999210417,compressed branching extraction; legacy node/order validated in selfcheck,False,26,uniform,0,0.08171619998756796,128,Highlights,uniform_n10000_h128_hybrid_p0_s20260910_r1,0.656441199942492,0.003343599964864552,,757277ef46edabe2168ceb6d56c8ce9db8faf1e710b1b0f12248bac7a9908a0b,,,"[385, 1151, 613, 770, 1015, 1124, 1111, 1348, 1083, 1113, 1115, 1083, 1348, 1348, 1348, 1348, 1348, 1347]",1111,18,1348,0.5664689999539405,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,10000,0,85127168,35100,Windows-11-10.0.26200-SP0,1.2229115999070928,3.14.2,1,84340736,20260910,,,complete,1.602494699996896,120.0,True
1998,3.958041958041958,0,1000,0,ab-hungarian,0.004472299944609404,0.003359600086696446,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.006477299961261451,128,Highlights,uniform_n1000_h128_ab-hungarian_p0_s20260910_r1,0.5969914000015706,0.00023799994960427284,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[2, 4, 8, 16, 32, 64, 128, 254, 462, 566, 338, 106, 16, 2]",143,14,566,0.1338969999924302,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,0,74321920,47188,Windows-11-10.0.26200-SP0,0.730890000006184,3.14.2,1,73338880,20260910,,,complete,1.0284260000335053,120.0,True
1998,1.0,10,1000,10,ab-hungarian,0.03278499993029982,0.7329460000619292,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.0076243000803515315,128,Highlights,uniform_n1000_h128_ab-hungarian_p10_s20260910_r1,0.5649281999794766,0.00035939994268119335,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[143, 143, 143, 142, 142, 143, 143, 143, 143, 143, 142, 143, 143, 142]",143,14,143,0.8810265000211075,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,10,79597568,44764,Windows-11-10.0.26200-SP0,1.445957100018859,3.14.2,1,79597568,20260910,,,complete,1.7617778000421822,120.0,True
1998,2.0,1,1000,1,ab-hungarian,0.008445600047707558,0.1128042999189347,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.00743030000012368,128,Highlights,uniform_n1000_h128_ab-hungarian_p1_s20260910_r1,0.5931431000353768,0.00038679991848766804,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[231, 178, 68, 68, 48, 48, 72, 130, 234, 281, 164, 58, 132, 286]",143,14,286,0.22852769994642586,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,1,74387456,39564,Windows-11-10.0.26200-SP0,0.8216727999970317,3.14.2,1,73928704,20260910,,,complete,1.1289310000138357,120.0,True
1998,1.0,10,1000,11,ab-hungarian,0.0481740003451705,0.9614084996283054,compressed branching extraction; legacy node/order validated in selfcheck,True,20,uniform,0,0.009975300054065883,128,Highlights,uniform_n1000_h128_ab-hungarian_p20_s20260910_r1,0.5902329999953508,0.0003969001118093729,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[143, 143, 143, 142, 142, 143, 143, 143, 143, 143, 142, 143, 143, 142]",143,14,143,1.135006200056523,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,20,80601088,43804,Windows-11-10.0.26200-SP0,1.7252413999522105,3.14.2,1,80601088,20260910,,,complete,2.010788399958983,120.0,True
1998,1.965034965034965,2,1000,2,ab-hungarian,0.01087489991914481,0.16385930008254945,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.005131900077685714,128,Highlights,uniform_n1000_h128_ab-hungarian_p2_s20260910_r1,0.6489447000203654,0.00029280001763254404,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[127, 100, 122, 146, 176, 104, 84, 132, 233, 281, 165, 84, 100, 144]",143,14,281,0.2886132999556139,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,2,74559488,48172,Windows-11-10.0.26200-SP0,0.9375594999874011,3.14.2,1,74559488,20260910,,,complete,1.2467219999525696,120.0,True
1998,1.06993006993007,5,1000,5,ab-hungarian,0.02058209991082549,0.40833180013578385,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.006172000081278384,128,Highlights,uniform_n1000_h128_ab-hungarian_p5_s20260910_r1,0.6096537000266835,0.00028309994377195835,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[135, 134, 146, 148, 134, 142, 153, 149, 123, 146, 149, 149, 140, 150]",143,14,153,0.5438031000085175,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,5,76541952,972,Windows-11-10.0.26200-SP0,1.1534580000443384,3.14.2,1,76541952,20260910,,,complete,1.4368248000973836,120.0,True
1998,3.958041958041958,0,1000,0,ab-sorted,0.004790400038473308,0.003235999960452318,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.0066850000293925405,128,Highlights,uniform_n1000_h128_ab-sorted_p0_s20260910_r1,0.48541079997085035,0.00023769994731992483,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[2, 4, 8, 16, 32, 64, 128, 254, 462, 566, 338, 106, 16, 2]",143,14,566,0.11278990004211664,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,0,74330112,32616,Windows-11-10.0.26200-SP0,0.5982025000266731,3.14.2,1,73338880,20260910,,,complete,0.8820890000788495,120.0,True
1998,1.006993006993007,10,1000,10,ab-sorted,0.03950119996443391,0.15667000005487353,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.01001269998960197,128,Highlights,uniform_n1000_h128_ab-sorted_p10_s20260910_r1,0.6217093999730423,0.00047229998745024204,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[143, 144, 143, 143, 143, 142, 142, 143, 142, 142, 142, 143, 143, 143]",143,14,144,0.3230220000259578,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,10,79802368,39852,Windows-11-10.0.26200-SP0,0.944733600015752,3.14.2,1,79802368,20260910,,,complete,1.205927199916914,120.0,True
1998,2.0,1,1000,1,ab-sorted,0.009379700059071183,0.02669689990580082,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.00735920004080981,128,Highlights,uniform_n1000_h128_ab-sorted_p1_s20260910_r1,0.5795431999722496,0.0003934999695047736,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[231, 178, 132, 68, 48, 48, 72, 130, 234, 281, 164, 58, 68, 286]",143,14,286,0.1707484999205917,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,1,74596352,43464,Windows-11-10.0.26200-SP0,0.7502936999080703,3.14.2,1,73949184,20260910,,,complete,1.0743220000294968,120.0,True
1998,1.0,11,1000,12,ab-sorted,0.04764929984230548,0.20420950010884553,compressed branching extraction; legacy node/order validated in selfcheck,True,20,uniform,0,0.008726399973966181,128,Highlights,uniform_n1000_h128_ab-sorted_p20_s20260910_r1,0.5938573000021279,0.0005425999406725168,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[143, 143, 143, 143, 143, 142, 142, 143, 143, 142, 142, 143, 143, 143]",143,14,143,0.37859929993283004,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,20,81195008,10508,Windows-11-10.0.26200-SP0,0.9724588999524713,3.14.2,1,81195008,20260910,,,complete,1.2744984000455588,120.0,True
1998,1.965034965034965,2,1000,2,ab-sorted,0.011135199922136962,0.03229410003405064,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.005441800109110773,128,Highlights,uniform_n1000_h128_ab-sorted_p2_s20260910_r1,0.5162122999317944,0.00032810005359351635,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[127, 100, 100, 146, 176, 104, 84, 132, 233, 281, 165, 84, 122, 144]",143,14,281,0.15094069996848702,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,2,74596352,43596,Windows-11-10.0.26200-SP0,0.6671547999139875,3.14.2,1,74596352,20260910,,,complete,0.9676833000266925,120.0,True
1998,1.0769230769230769,5,1000,5,ab-sorted,0.022234000149182975,0.08342189993709326,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.005857300013303757,128,Highlights,uniform_n1000_h128_ab-sorted_p5_s20260910_r1,0.5890361999627203,0.0002902999985963106,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[135, 134, 140, 148, 134, 142, 154, 149, 123, 146, 150, 149, 146, 148]",143,14,154,0.2132115000858903,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,5,76455936,26388,Windows-11-10.0.26200-SP0,0.8022492999443784,3.14.2,1,76455936,20260910,,,complete,1.123985099955462,120.0,True
1998,3.958041958041958,0,1000,0,first-fit,0.0035506999120116234,0.0014752000570297241,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.0042258999310433865,128,Highlights,uniform_n1000_h128_first-fit_p0_s20260910_r1,0.370745399966836,0.00020260002929717302,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[2, 4, 8, 16, 32, 64, 128, 254, 462, 566, 338, 106, 16, 2]",143,14,566,0.0824379000114277,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,0,74088448,32880,Windows-11-10.0.26200-SP0,0.4531845999881625,3.14.2,1,73097216,20260910,,,complete,0.7043273999588564,120.0,True
1998,1.2027972027972027,0,1000,0,hybrid,0.003558899974450469,0.03630120004527271,compressed branching extraction; legacy node/order validated in selfcheck,False,20,uniform,0,0.007909100037068129,128,Highlights,uniform_n1000_h128_hybrid_p0_s20260910_r1,0.682100500096567,0.00041640002746134996,,112122495e6af82c5629e7f7cb6e1a8c5a0bcf8727e1d9d82620027f55e08334,,,"[167, 172, 100, 172, 172, 93, 94, 96, 172, 157, 112, 149, 171, 171]",143,14,172,0.16943190002348274,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,0,74383360,44040,Windows-11-10.0.26200-SP0,0.8515342000173405,3.14.2,1,74022912,20260910,,,complete,1.1774649999570101,120.0,True
1998,1.8116883116883118,2,1000,2,ab-sorted,0.009523000102490187,0.025980199920013547,compressed branching extraction; legacy node/order validated in selfcheck,False,16,uniform,0,0.00572650006506592,16,Highlights,uniform_n1000_h16_ab-sorted_p2_s20260910_r1,0.5552072999998927,0.00018609990365803242,,e0db0306fe09434ffffb557f9a3bdb95db15d96f891f0cb8da971ddbc2da74a2,,,"[153, 132, 118, 174, 158, 134, 100, 140, 243, 279, 161, 118, 88]",154,13,279,0.12493139994330704,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,2,74547200,45412,Windows-11-10.0.26200-SP0,0.6801401999546215,3.14.2,1,74547200,20260910,,,complete,0.9897557999938726,120.0,True
1998,3.6493506493506493,0,1000,0,first-fit,0.004184400080703199,0.0018279999494552612,compressed branching extraction; legacy node/order validated in selfcheck,False,16,uniform,0,0.007616999908350408,16,Highlights,uniform_n1000_h16_first-fit_p0_s20260910_r1,0.4163365000858903,0.0004094000905752182,,e0db0306fe09434ffffb557f9a3bdb95db15d96f891f0cb8da971ddbc2da74a2,,,"[2, 4, 8, 16, 32, 64, 128, 254, 474, 562, 342, 98, 14]",154,13,562,0.12615840008947998,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,0,74530816,10388,Windows-11-10.0.26200-SP0,0.5424977000802755,3.14.2,1,73539584,20260910,,,complete,0.7600720999762416,120.0,True
1998,1.8951048951048952,2,1000,2,ab-sorted,0.018654099898412824,0.039714000071398914,compressed branching extraction; legacy node/order validated in selfcheck,False,21,uniform,0,0.006511100102216005,256,Highlights,uniform_n1000_h256_ab-sorted_p2_s20260910_r1,0.5350126000121236,0.00032320001628249884,,8537b18d07242236f73bb7fccd3e22d0bc09061ec2f8744a3c89a66ae491028b,,,"[271, 241, 132, 96, 114, 188, 104, 84, 126, 139, 76, 152, 90, 185]",143,14,271,0.15792309993412346,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,2,74616832,45576,Windows-11-10.0.26200-SP0,0.6929370999569073,3.14.2,1,74616832,20260910,,,complete,0.9668796999612823,120.0,True
1998,3.93006993006993,0,1000,0,first-fit,0.004630999988876283,0.002397300093434751,compressed branching extraction; legacy node/order validated in selfcheck,False,21,uniform,0,0.008181600016541779,256,Highlights,uniform_n1000_h256_first-fit_p0_s20260910_r1,0.6311551999533549,0.0005622999742627144,,8537b18d07242236f73bb7fccd3e22d0bc09061ec2f8744a3c89a66ae491028b,,,"[2, 4, 8, 16, 32, 64, 128, 256, 480, 562, 322, 106, 14, 4]",143,14,562,0.1369318999350071,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1000,0,74432512,48756,Windows-11-10.0.26200-SP0,0.7680891999043524,3.14.2,1,73437184,20260910,,,complete,1.049164600088261,120.0,True
254,1.0,5,128,5,ab-hungarian,0.02122999995481223,0.021994599956087768,compressed branching extraction; legacy node/order validated in selfcheck,False,12,uniform,0,0.0009731999598443508,16,Highlights,uniform_n128_h16_ab-hungarian_p5_s20260910_r1,0.6474160000216216,6.859994027763605e-05,,fbe8740926a81b3a7d99e52a0e71d317c86b5f237bd903b5e4d041019e7ce2c9,,,"[29, 29, 29, 29, 28, 27, 28, 27, 28]",29,9,29,0.14818209991790354,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,5,72892416,42928,Windows-11-10.0.26200-SP0,0.7956001999555156,3.14.2,1,72314880,20260910,,,complete,1.093418600037694,120.0,True
254,1.0,5,128,5,ab-sorted,0.02984690002631396,0.01252989994827658,compressed branching extraction; legacy node/order validated in selfcheck,False,12,uniform,0,0.000977099989540875,16,Highlights,uniform_n128_h16_ab-sorted_p5_s20260910_r1,0.6497383000096306,4.780001472681761e-05,,fbe8740926a81b3a7d99e52a0e71d317c86b5f237bd903b5e4d041019e7ce2c9,,,"[29, 29, 29, 28, 28, 28, 28, 27, 28]",29,9,29,0.15763989998959005,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,5,73187328,43824,Windows-11-10.0.26200-SP0,0.8073800000129268,3.14.2,1,72654848,20260910,,,complete,1.1219809000613168,120.0,True
254,2.7586206896551726,0,128,0,first-fit,0.004060399951413274,0.0005295000737532973,compressed branching extraction; legacy node/order validated in selfcheck,False,12,uniform,0,0.0007683000294491649,16,Highlights,uniform_n128_h16_first-fit_p0_s20260910_r1,0.6019649999216199,4.509999416768551e-05,,fbe8740926a81b3a7d99e52a0e71d317c86b5f237bd903b5e4d041019e7ce2c9,,,"[2, 4, 8, 16, 32, 58, 80, 36, 18]",29,9,80,0.18409720005001873,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,128,0,73170944,23372,Windows-11-10.0.26200-SP0,0.7860637999838218,3.14.2,1,72175616,20260910,,,complete,1.1529811000218615,120.0,True
