N,U_over_B,actual_moves,actual_n,actual_passes,algorithm,checkpoint_validation_io_s,coloring_s,compact_extractor,converged,depth_active_queries,distribution,exit_code,extraction_forest_stats_s,height,host,id,imports_s,key_generation_s,key_mode,key_sha256,label,last_completed_checkpoint_only,loads,lower_bound,m,max_bucket,measured_total_s,memory_scope,n,passes,peak_rss_bytes,pid,platform,process_worker_s,python,repeat,rss_bytes,seed,shared_prefix_bits,source,status,subprocess_wall_s,timeout_limit_s,valid
198,1.1818181818181819,0,100,1,hybrid,0.006792099913582206,0.0149747000541538,compressed branching extraction; legacy node/order validated in selfcheck,True,11,real,0,0.0011018000077456236,128,Highlights,fuel_n100_h128_hybrid_p20_s20260910_r1,0.5168904999736696,0.002144400030374527,hex-prefix,ff6d3ac7613e517adf6dbc2501bfb8bcb9bd078740db0e95e7fadea5c48fa1dc,fuel,,"[12, 26, 21, 15, 26, 26, 24, 22, 26]",22,9,26,0.12345169996842742,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,100,20,73162752,11964,Windows-11-10.0.26200-SP0,0.6403437999542803,3.14.2,1,72941568,20260910,,datasets/fuel_smt_test_workload.csv,complete,0.9277424999745563,120.0,True
14078,1.0,20,7040,20,ab-hungarian,0.12887489970307797,11.305887200287543,compressed branching extraction; legacy node/order validated in selfcheck,False,26,real,0,0.0419666999951005,128,Highlights,polygon-broad_n7040_h128_ab-hungarian_p20_s20260910_r1,0.7318990998901427,0.028244400047697127,sha256,9dd38bdbd3a68953dd784ce44303c24f062b85f0cf624d224aa97b7dddc259b2,polygon-broad,,"[828, 827, 828, 828, 828, 828, 827, 828, 828, 828, 828, 829, 829, 829, 828, 829, 828]",829,17,829,11.635387600050308,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,7040,20,149868544,46600,Windows-11-10.0.26200-SP0,12.367289299960248,3.14.2,1,125775872,20260910,,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,complete,12.827096000080928,120.0,True
14078,1.0,20,7040,20,ab-sorted,0.14833859947975725,2.5652404006104916,compressed branching extraction; legacy node/order validated in selfcheck,False,26,real,0,0.05692220001947135,128,Highlights,polygon-broad_n7040_h128_ab-sorted_p20_s20260910_r1,0.5456972999963909,0.02581250004004687,sha256,9dd38bdbd3a68953dd784ce44303c24f062b85f0cf624d224aa97b7dddc259b2,polygon-broad,,"[828, 828, 828, 827, 828, 828, 828, 828, 829, 828, 828, 828, 828, 828, 829, 829, 828]",829,17,829,2.905880300095305,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,7040,20,149983232,36132,Windows-11-10.0.26200-SP0,3.4515797999920323,3.14.2,1,123424768,20260910,,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,complete,3.919665399938822,120.0,True
14078,4.636911942098914,0,7040,0,first-fit,0.008875199942849576,0.016202400089241564,compressed branching extraction; legacy node/order validated in selfcheck,False,26,real,0,0.06831690005492419,128,Highlights,polygon-broad_n7040_h128_first-fit_p0_s20260910_r1,0.6619383000070229,0.030409500002861023,sha256,9dd38bdbd3a68953dd784ce44303c24f062b85f0cf624d224aa97b7dddc259b2,polygon-broad,,"[2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2028, 3530, 3844, 2040, 518, 68, 4]",829,17,3844,0.22015660000033677,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,7040,0,81498112,48368,Windows-11-10.0.26200-SP0,0.8820969999069348,3.14.2,1,80506880,20260910,,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,complete,1.262476300005801,120.0,True
14078,1.1206272617611581,20,7040,20,hybrid,0.16454470017924905,4.664847699808888,compressed branching extraction; legacy node/order validated in selfcheck,False,26,real,0,0.05088979995343834,128,Highlights,polygon-broad_n7040_h128_hybrid_p20_s20260910_r1,0.6132976999506354,0.02783909998834133,sha256,9dd38bdbd3a68953dd784ce44303c24f062b85f0cf624d224aa97b7dddc259b2,polygon-broad,,"[830, 879, 837, 929, 929, 799, 833, 928, 929, 848, 492, 828, 928, 491, 832, 838, 928]",829,17,929,5.031541100004688,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,7040,20,81145856,34424,Windows-11-10.0.26200-SP0,5.64484129997436,3.14.2,1,80596992,20260910,,datasets/polygon_zkevm_account_leaf_workload_broad_multiwindow.csv,complete,6.001279499963857,120.0,True
2694,1.0,11,1348,12,ab-hungarian,0.04962380009237677,1.1705494999187067,compressed branching extraction; legacy node/order validated in selfcheck,True,19,real,0,0.010698099969886243,128,Highlights,polygon-multi_n1348_h128_ab-hungarian_p20_s20260910_r1,0.5644503999501467,0.007277099997736514,sha256,c33d1a0f7e05af3818e603ddc1ffa68a811bf0b6a6105d7c9d9fc072601f0f28,polygon-multi,,"[193, 192, 193, 193, 193, 192, 192, 193, 192, 192, 192, 192, 192, 193]",193,14,193,1.345498999929987,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1348,20,83566592,46000,Windows-11-10.0.26200-SP0,1.909951699897647,3.14.2,1,83566592,20260910,,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,complete,2.205463199992664,120.0,True
2694,1.0,10,1348,11,ab-sorted,0.058480899897404015,0.27210330008529127,compressed branching extraction; legacy node/order validated in selfcheck,True,19,real,0,0.010425799991935492,128,Highlights,polygon-multi_n1348_h128_ab-sorted_p20_s20260910_r1,0.5366040000226349,0.00733689998742193,sha256,c33d1a0f7e05af3818e603ddc1ffa68a811bf0b6a6105d7c9d9fc072601f0f28,polygon-multi,,"[192, 192, 192, 192, 193, 192, 192, 192, 193, 193, 192, 193, 193, 193]",193,14,193,0.457193800015375,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1348,20,82481152,49120,Windows-11-10.0.26200-SP0,0.9938002000562847,3.14.2,1,82481152,20260910,,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,complete,1.3415506000164896,120.0,True
2694,4.0,0,1348,0,first-fit,0.004348699934780598,0.0029076001374050975,compressed branching extraction; legacy node/order validated in selfcheck,False,19,real,0,0.007629800005815923,128,Highlights,polygon-multi_n1348_h128_first-fit_p0_s20260910_r1,0.6304925000295043,0.005446499912068248,sha256,c33d1a0f7e05af3818e603ddc1ffa68a811bf0b6a6105d7c9d9fc072601f0f28,polygon-multi,,"[2, 4, 8, 16, 32, 64, 128, 256, 490, 772, 614, 246, 56, 6]",193,14,772,0.137856199988164,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1348,0,74723328,9824,Windows-11-10.0.26200-SP0,0.7683517000405118,3.14.2,1,73732096,20260910,,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,complete,1.0895747999893501,120.0,True
2694,1.2227979274611398,11,1348,12,hybrid,0.05726560018956661,0.4238124997355044,compressed branching extraction; legacy node/order validated in selfcheck,True,19,real,0,0.010786599945276976,128,Highlights,polygon-multi_n1348_h128_hybrid_p20_s20260910_r1,0.6087416000664234,0.008084100089035928,sha256,c33d1a0f7e05af3818e603ddc1ffa68a811bf0b6a6105d7c9d9fc072601f0f28,polygon-multi,,"[114, 115, 236, 114, 236, 202, 193, 190, 195, 193, 236, 221, 236, 213]",193,14,236,0.614148800028488,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,1348,20,74379264,40432,Windows-11-10.0.26200-SP0,1.2228921999922022,3.14.2,1,74063872,20260910,,datasets/polygon_zkevm_account_leaf_workload_multiwindow.csv,complete,1.4717926000012085,120.0,True
766,1.0,8,384,9,ab-hungarian,0.038068599882535636,0.2168314001755789,compressed branching extraction; legacy node/order validated in selfcheck,True,16,real,0,0.0029094000346958637,128,Highlights,polygon-recent_n384_h128_ab-hungarian_p20_s20260910_r1,0.6198675000341609,0.0023769999388605356,sha256,508240103f3bd420403d79004683b35c555550b51158e2acce8e2c99b5a7b413,polygon-recent,,"[69, 69, 69, 70, 70, 69, 70, 70, 70, 70, 70]",70,11,70,0.384353099972941,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,384,20,73453568,10564,Windows-11-10.0.26200-SP0,1.0042229000246152,3.14.2,1,73453568,20260910,,datasets/polygon_zkevm_account_leaf_workload.csv,complete,1.3197737999726087,120.0,True
766,1.0,10,384,11,ab-sorted,0.03919089992996305,0.057164100115187466,compressed branching extraction; legacy node/order validated in selfcheck,True,16,real,0,0.0016914999578148127,128,Highlights,polygon-recent_n384_h128_ab-sorted_p20_s20260910_r1,0.6593824999872595,0.0018578999442979693,sha256,508240103f3bd420403d79004683b35c555550b51158e2acce8e2c99b5a7b413,polygon-recent,,"[70, 70, 69, 70, 69, 70, 69, 70, 69, 70, 70]",70,11,70,0.2092862999998033,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,384,20,73998336,38664,Windows-11-10.0.26200-SP0,0.8686706000007689,3.14.2,1,73998336,20260910,,datasets/polygon_zkevm_account_leaf_workload.csv,complete,1.1915476999711245,120.0,True
766,3.0,0,384,0,first-fit,0.003890999942086637,0.0009008001070469618,compressed branching extraction; legacy node/order validated in selfcheck,False,16,real,0,0.002665800042450428,128,Highlights,polygon-recent_n384_h128_first-fit_p0_s20260910_r1,0.6910379000473768,0.002884899964556098,sha256,508240103f3bd420403d79004683b35c555550b51158e2acce8e2c99b5a7b413,polygon-recent,,"[2, 4, 8, 16, 32, 64, 126, 210, 196, 92, 16]",70,11,210,0.12953959999140352,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,384,0,73355264,24312,Windows-11-10.0.26200-SP0,0.8205793000524864,3.14.2,1,72364032,20260910,,datasets/polygon_zkevm_account_leaf_workload.csv,complete,1.115754499915056,120.0,True
766,1.1857142857142857,0,384,1,hybrid,0.013820699881762266,0.03024560015182942,compressed branching extraction; legacy node/order validated in selfcheck,True,16,real,0,0.003230600035749376,128,Highlights,polygon-recent_n384_h128_hybrid_p20_s20260910_r1,0.5936079999664798,0.0030559999868273735,sha256,508240103f3bd420403d79004683b35c555550b51158e2acce8e2c99b5a7b413,polygon-recent,,"[75, 78, 83, 69, 83, 66, 70, 27, 83, 82, 50]",70,11,83,0.1688659000210464,process RSS/peak working set including interpreter and imports; tracemalloc excludes imports when enabled,384,20,73084928,48360,Windows-11-10.0.26200-SP0,0.7624760000035167,3.14.2,1,73084928,20260910,,datasets/polygon_zkevm_account_leaf_workload.csv,complete,1.0692310000304133,120.0,True
