method,repeat,sample_index,ct_index,end_to_end_ms,record_hash_and_routing_ms,query_generation_ms,serialize_transport_answer_ms,decode_ms,assembly_rootcheck_ms,upload_wire_bytes,download_wire_bytes,valid_root,corruption_rejected,recovered_siblings,logical_queries
activebalance,0,10,334,9.531365,0.012882,8.178964,0.622868,0.703793,0.011507,10000,10832,True,True,"[{'level': 119, 'digest_hex': '53611971b0e5f05a80a6c16ed0412295279c14efa780bd9e5f6ec22c6b13a52f'}, {'level': 120, 'digest_hex': '9ec4ff757d99013571011ff9172278ad85ce77080012d1e07a423619916de9a3'}, {'level': 121, 'digest_hex': 'bf33d47065d46303b4796e2014b4b9fc9993eade2a4cd8bc904d0f5f231a8117'}, {'level': 122, 'digest_hex': 'e993bd92d71374d5202edd61a64ff4aa5e8db9eeb44d5a92dd6b03708a671a5e'}, {'level': 123, 'digest_hex': '7954bb8a7854906cf307b5141a0f0514da57248afac74a9599ccf0ba58208e7b'}, {'level': 124, 'digest_hex': 'e9da4645a00dfc3c1f7f5d7f1e9a1eba7c9d313b91704703fb448f02dc70446c'}, {'level': 125, 'digest_hex': '2ad43199b78d7383334f94d550d44bd4f80cfef4d927c11994d2a2c9d4d9aaed'}, {'level': 126, 'digest_hex': '35e2dda1a2677dba5da516466d1a50d02a455a9289f2df1ec9c1e95ba1e7ad96'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
activebalance,0,11,438,8.055568,0.012672,6.946554,0.379466,0.703978,0.011966,10000,10832,True,True,"[{'level': 120, 'digest_hex': '6b8a2a3ca63d4de9d02633280b7beeef1923184bb0f160f170fa5b67661d9a68'}, {'level': 121, 'digest_hex': '241a80b4c85acf9cd1f984e2469380b2fdf954d0d443117a2996fc3643849801'}, {'level': 122, 'digest_hex': '85289aea60eaa044d8317371bcaeff60e5656591cdd24ea953781604a3ee5199'}, {'level': 123, 'digest_hex': 'd81b612e27733710c9d9297284d764d95406a24f8887514ed213d96b40afec4d'}, {'level': 124, 'digest_hex': '2b3e4e4888f70b7063cb6f676c0edd147eb862201bff0f844b47fdffefddc91f'}, {'level': 125, 'digest_hex': '29b54295362e29301d8f133a39bc7261fa5e7c58a70853fefbc70df871218774'}, {'level': 126, 'digest_hex': 'f8aed5f51b0d7e2c672656f155f94ee8dfb0e931b76eec22a3dde98cdb700187'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
activebalance,0,12,153,8.840162,0.012992,7.263256,0.65906,0.891757,0.011614,10000,10832,True,True,"[{'level': 117, 'digest_hex': '5eea7f0b7f2f64a4247e92b4b607065b1f69b588845ddac6ee2af1108b9fac30'}, {'level': 118, 'digest_hex': 'b3acd45d42a704084d0d1e1bfb0e7fba74750cea3b0e003d664d4a28e27621b9'}, {'level': 121, 'digest_hex': 'daf2f7b2b892e8de1b19f5be39bd783631d470ff521b0a5a0f0a8ff1efa02e6b'}, {'level': 122, 'digest_hex': '4faa2cf36f63c4f6a9e48cc679df37464d5ae21fff44deadaf7341387c0106d5'}, {'level': 123, 'digest_hex': '88865cde4ec058db4b856b2bdf62b53640450aff1b73084bc6b6f9607507bbf8'}, {'level': 124, 'digest_hex': 'a9fcf9cfb5c95663e19395f60af02f47ee5aebcafff367fab21debad547677fb'}, {'level': 125, 'digest_hex': '29b54295362e29301d8f133a39bc7261fa5e7c58a70853fefbc70df871218774'}, {'level': 126, 'digest_hex': 'f8aed5f51b0d7e2c672656f155f94ee8dfb0e931b76eec22a3dde98cdb700187'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
activebalance,0,13,318,9.834073,0.013567,8.430944,0.712879,0.664114,0.011585,10000,10832,True,True,"[{'level': 118, 'digest_hex': '366c041baf760ad567174d5345733d4239dc54b1a3844907328b82436bc448b5'}, {'level': 119, 'digest_hex': '25a4f1b39bd97afdd6f8a167f7252e4ecc35e24e7b5e24af74cefacffe3f7c35'}, {'level': 120, 'digest_hex': '1c8cf456816f61d8aeb516c8d57fc1df8dd5f65151748f85f7f1c0d3d5af08d5'}, {'level': 121, 'digest_hex': '23d2ff44f54c6f2c2d6030e8b96a144af8dc402589eb3897e4dfe08df05e7f73'}, {'level': 122, 'digest_hex': '4bf34b302e16d80c683652d04c388bf085eacfa7e71a936bcd510d1191a1b1de'}, {'level': 123, 'digest_hex': '7f22f67f30ffe38b583e1fc5ee6152a853c3a64c100c5e3d649d70ddf0cbf342'}, {'level': 124, 'digest_hex': '36d32a34b01ea9580c701559fb8ac88bba8a2c82d43a84608e1ca2d91ea72216'}, {'level': 125, 'digest_hex': '055020f61f398fbf2d121b08bbf652475507d1bdb3be20b8cc8198d4644331fc'}, {'level': 126, 'digest_hex': 'cea7b244eb5e5135d8edb4657ff89bed666ca228019f2679005cdf2381f837eb'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,14,95,9.932591,0.011092,8.740115,0.333484,0.833541,0.012327,10000,10832,True,True,"[{'level': 114, 'digest_hex': '64ade2789d8f4d0205be3b507aa36b7a03fd0630b8f182796b29580ec162eaaa'}, {'level': 118, 'digest_hex': '262b924b78ff5a3420bd76601e7dd1f38b5749c3c7b55ad35064f872935d4623'}, {'level': 119, 'digest_hex': '188adaa8b0751b59e89e3b7c720bfd87976d8cd6f82c32e4af58fe5723f67da5'}, {'level': 120, 'digest_hex': '99eecb01162d43cb8cff1b9265b80493475cce433a0aaeb755d2475391e404b8'}, {'level': 121, 'digest_hex': '99715cdf2ff9588f64970faf8d2c084c1ce5a8e2d40d34fa4de966f5858227c7'}, {'level': 122, 'digest_hex': '594f9b2d7239db4fe0934bc51e51f1fd754cb5950b00286d1106918866d1c890'}, {'level': 123, 'digest_hex': 'cc6b8313dac2e5867b308581a7c5a8f45a3d947f74a5e107724814fad89f6206'}, {'level': 124, 'digest_hex': '8d85ea0c89253e54a54385efe42dac1c10a14d6977561fa0118b9c9c2b44700a'}, {'level': 125, 'digest_hex': '055020f61f398fbf2d121b08bbf652475507d1bdb3be20b8cc8198d4644331fc'}, {'level': 126, 'digest_hex': 'cea7b244eb5e5135d8edb4657ff89bed666ca228019f2679005cdf2381f837eb'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,15,412,9.391314,0.013905,7.529835,1.197789,0.636443,0.011623,10000,10832,True,True,"[{'level': 115, 'digest_hex': '6f9111b53fb89eb5b4113d697c9a6f4af16831a79175de55cb06b5a062f36822'}, {'level': 119, 'digest_hex': '5c5dd4253f1684472478aa0287c1355e21c74bdb2c3b6867ed428723537d0d80'}, {'level': 120, 'digest_hex': '1c8cf456816f61d8aeb516c8d57fc1df8dd5f65151748f85f7f1c0d3d5af08d5'}, {'level': 121, 'digest_hex': '23d2ff44f54c6f2c2d6030e8b96a144af8dc402589eb3897e4dfe08df05e7f73'}, {'level': 122, 'digest_hex': '4bf34b302e16d80c683652d04c388bf085eacfa7e71a936bcd510d1191a1b1de'}, {'level': 123, 'digest_hex': '7f22f67f30ffe38b583e1fc5ee6152a853c3a64c100c5e3d649d70ddf0cbf342'}, {'level': 124, 'digest_hex': '36d32a34b01ea9580c701559fb8ac88bba8a2c82d43a84608e1ca2d91ea72216'}, {'level': 125, 'digest_hex': '055020f61f398fbf2d121b08bbf652475507d1bdb3be20b8cc8198d4644331fc'}, {'level': 126, 'digest_hex': 'cea7b244eb5e5135d8edb4657ff89bed666ca228019f2679005cdf2381f837eb'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,16,453,8.391601,0.011665,7.318332,0.419037,0.630318,0.011499,10000,10832,True,True,"[{'level': 118, 'digest_hex': '4b534ea589914a3f3e31bd89b2a4c4142b029749705c705c0e5724186af8010f'}, {'level': 120, 'digest_hex': '85f1f971b13c1734f6f499e0df279ef4ef69386b63bac2c534935f8f0dc965c3'}, {'level': 121, 'digest_hex': 'fec13b221dc055ab745321043f52c7b25f9850301b0b0f840735ce580b8e4add'}, {'level': 122, 'digest_hex': '3c492b76f9c802b320e05e464c8cab04dfa1e0ff0e1d7d5d0bc8203e4f986968'}, {'level': 123, 'digest_hex': '2bbf627a5ad7206e639fa0e2b08bd077a5bbf9476eb9d59f748a2bdee36edd36'}, {'level': 124, 'digest_hex': '490c1540bff5d98a1d7ba2f50745b9edea69e517e1aba4ff73b043d6df7c52a8'}, {'level': 125, 'digest_hex': '9634a15ce604cf0e60008cffe0ecef82724be038d589cb28eb123db460060698'}, {'level': 126, 'digest_hex': 'f8aed5f51b0d7e2c672656f155f94ee8dfb0e931b76eec22a3dde98cdb700187'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
activebalance,0,17,355,7.811311,0.014217,6.881535,0.25212,0.651278,0.011244,10000,10832,True,True,"[{'level': 118, 'digest_hex': '26d871db595fd9094c2883fbb88614cb30049bc3d7d12790bab22028be12e329'}, {'level': 119, 'digest_hex': '4de1aad53944f9717d050510a0b9a02dd029d5e824c1e13a0051e9397644d98e'}, {'level': 121, 'digest_hex': '0cf1f1e81dbb46e4342bafdf20566d836cd03994065947094ba6ae23b7bed5fa'}, {'level': 122, 'digest_hex': 'ee5c80e589e3aab144b6dff1dbd49e791c19468873232accf711818c6743c4b4'}, {'level': 123, 'digest_hex': 'a8f60155bd401c8147750adc9124bdc062b444baea34e6c06978524897c7d090'}, {'level': 124, 'digest_hex': 'b7f06cb87f95c76e9bf344bcede815dfb4119a12a8ce2106c05e398206ae6437'}, {'level': 125, 'digest_hex': '4cb37f60530ff2f9a94ee1075351ac9a725323e6a2014bda2d126be7d3ca65e0'}, {'level': 126, 'digest_hex': 'f018bce1c75dbf694db7dd27dfc6faae13b8952bbc7f1474a863487738696a4c'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,18,416,11.136284,0.012215,9.886804,0.554875,0.669479,0.011762,10000,10832,True,True,"[{'level': 115, 'digest_hex': '906b8644412bed04188c45e6f2a1766b320c3b15e64c67954ef4f8924259c783'}, {'level': 117, 'digest_hex': '4bbe4d7008ced0414eb00f9cda973b351b368ddb2319ccf5cb038fc395e0de33'}, {'level': 119, 'digest_hex': '14b3c28111acb82b2f6239224a088977df980c64a63cab5b0ae233c981d47033'}, {'level': 121, 'digest_hex': '31bc23c0251213a0fafa1ce239c9db1f0dfbc9a03deb4f72069c33c5c7b4e345'}, {'level': 122, 'digest_hex': '8df6268af24ce7c5ccafa91dca0e30cc6488d2cef2526c2678297d285c26aacf'}, {'level': 123, 'digest_hex': 'cc6b8313dac2e5867b308581a7c5a8f45a3d947f74a5e107724814fad89f6206'}, {'level': 124, 'digest_hex': '8d85ea0c89253e54a54385efe42dac1c10a14d6977561fa0118b9c9c2b44700a'}, {'level': 125, 'digest_hex': '055020f61f398fbf2d121b08bbf652475507d1bdb3be20b8cc8198d4644331fc'}, {'level': 126, 'digest_hex': 'cea7b244eb5e5135d8edb4657ff89bed666ca228019f2679005cdf2381f837eb'}, {'level': 127, 'digest_hex': 'e7f13443ae48a820bd75cbdf526e4928f6a091731de031108d9bf7ee756b519a'}]",13
activebalance,0,19,249,7.789969,0.012452,6.868001,0.229053,0.668002,0.011313,10000,10832,True,True,"[{'level': 117, 'digest_hex': '96fdcff6ea8c2ae151b970c74e12c850f6cf0bc9ff5ef3e33154308501480afd'}, {'level': 118, 'digest_hex': '234f847a50ac4bc32d5411c0609cb21fe7b59b6cb33ad0c82b79c0b9838e1112'}, {'level': 119, 'digest_hex': 'd2f9f192869958778173545087aaa292efd980ad5a3f567c5ec31df6d49cf297'}, {'level': 120, 'digest_hex': '941879c5c91c023c6dd7248cf14619e96c77d58917b1c5c7f4b9cbe41375bc87'}, {'level': 121, 'digest_hex': '5cdf8c15ec1886b0f15376f34b71b7fb5b2199852a8664e3084acc4ccf8f624b'}, {'level': 122, 'digest_hex': 'd13082d1585c50655ca4fccbce2d9be88f6cad9dda31133d9a8115747ca4a37f'}, {'level': 123, 'digest_hex': '860948bfc224f2caf58debda8a8b8afbaa9725a1587280f973cd1168b0e81553'}, {'level': 124, 'digest_hex': '940faa7ec3211b8d9c377f94ab042689800a3f308bf636ddf78f6214975bd090'}, {'level': 125, 'digest_hex': '2ad43199b78d7383334f94d550d44bd4f80cfef4d927c11994d2a2c9d4d9aaed'}, {'level': 126, 'digest_hex': '35e2dda1a2677dba5da516466d1a50d02a455a9289f2df1ec9c1e95ba1e7ad96'}, {'level': 127, 'digest_hex': '725e822aac00e436e65de553a79089ba2661ee3e4f7140e21fc76f162f1225aa'}]",13
