dataset,method,policy,N,colors,max_bucket,directory_and_slots_bytes,full_cache_package_bytes,hint_bytes,expanded_A_bytes,seed_bytes,upload_matrix_bytes,download_matrix_bytes,online_matrix_bytes,seeded_core_bootstrap_bytes,cache_dominates_bytes_for_all_Q_ge_0,break_even_Q_excluding_framing
Polygon broad,nonempty_depth,long_record_one_record_row,14078,26,2762,450738,901034,2768896,57663488,416,56448,2704,59152,3220050,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q1,14078,26,2762,450738,901034,2768896,57663488,416,56448,2704,59152,3220050,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q10,14078,26,2762,450738,901034,2768896,57663488,416,56448,2704,59152,3220050,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q100,14078,26,2762,450738,901034,3940352,26075136,416,25596,3848,29444,4391506,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q1000,14078,26,2762,450738,901034,6922240,12238848,416,12072,6760,18832,7373394,True,0
Polygon broad,nonempty_depth,long_record_min_total_Q10000,14078,26,2762,450738,901034,9158656,8916992,416,8844,8944,17788,9609810,True,0
Polygon multi,first_fit,eight_chunks_square,2694,14,772,86354,172458,10223616,9797632,1792,10080,9984,20064,10311762,True,0
Polygon multi,first_fit,long_record_square,2694,14,772,86354,172458,4046848,2584576,224,2592,3952,6544,4133426,True,0
Polygon multi,first_fit,long_record_one_record_row,2694,14,772,86354,172458,1490944,11034624,224,10848,1456,12304,1577522,True,0
Polygon multi,first_fit,long_record_min_total_Q1,2694,14,772,86354,172458,1490944,11034624,224,10848,1456,12304,1577522,True,0
Polygon multi,first_fit,long_record_min_total_Q10,2694,14,772,86354,172458,1490944,11034624,224,10848,1456,12304,1577522,True,0
Polygon multi,first_fit,long_record_min_total_Q100,2694,14,772,86354,172458,1703936,8196096,224,8076,1664,9740,1790514,True,0
Polygon multi,first_fit,long_record_min_total_Q1000,2694,14,772,86354,172458,2555904,4362240,224,4332,2496,6828,2642482,True,0
Polygon multi,first_fit,long_record_min_total_Q10000,2694,14,772,86354,172458,3301376,3231744,224,3216,3224,6440,3387954,True,0
Polygon multi,activebalance,eight_chunks_square,2694,14,193,86354,172458,12845056,12845056,1792,13440,12544,25984,12933202,True,0
Polygon multi,activebalance,long_record_square,2694,14,193,86354,172458,4472832,3694592,224,3696,4368,8064,4559410,True,0
Polygon multi,activebalance,long_record_one_record_row,2694,14,193,86354,172458,1490944,11034624,224,10824,1456,12280,1577522,True,0
Polygon multi,activebalance,long_record_min_total_Q1,2694,14,193,86354,172458,1490944,11034624,224,10824,1456,12280,1577522,True,0
Polygon multi,activebalance,long_record_min_total_Q10,2694,14,193,86354,172458,1490944,11034624,224,10824,1456,12280,1577522,True,0
Polygon multi,activebalance,long_record_min_total_Q100,2694,14,193,86354,172458,1490944,11034624,224,10824,1456,12280,1577522,True,0
Polygon multi,activebalance,long_record_min_total_Q1000,2694,14,193,86354,172458,2981888,5529600,224,5448,2912,8360,3068466,True,0
Polygon multi,activebalance,long_record_min_total_Q10000,2694,14,193,86354,172458,4472832,3694592,224,3696,4368,8064,4559410,True,0
Polygon multi,nonempty_depth,eight_chunks_square,2694,19,530,86394,172458,12320768,11730944,2432,12192,12032,24224,12409594,True,0
Polygon multi,nonempty_depth,long_record_square,2694,19,530,86394,172458,4898816,3059712,304,3096,4784,7880,4985514,True,0
Polygon multi,nonempty_depth,long_record_one_record_row,2694,19,530,86394,172458,2023424,11034624,304,10860,1976,12836,2110122,True,0
Polygon multi,nonempty_depth,long_record_min_total_Q1,2694,19,530,86394,172458,2023424,11034624,304,10860,1976,12836,2110122,True,0
Polygon multi,nonempty_depth,long_record_min_total_Q10,2694,19,530,86394,172458,2023424,11034624,304,10860,1976,12836,2110122,True,0
Polygon multi,nonempty_depth,long_record_min_total_Q100,2694,19,530,86394,172458,2023424,11034624,304,10860,1976,12836,2110122,True,0
Polygon multi,nonempty_depth,long_record_min_total_Q1000,2694,19,530,86394,172458,3301376,4816896,304,4788,3224,8012,3388074,True,0
Polygon multi,nonempty_depth,long_record_min_total_Q10000,2694,19,530,86394,172458,3833856,4018176,304,4008,3744,7752,3920554,True,0
Polygon recent,first_fit,eight_chunks_square,766,11,210,24634,49066,5242880,4947968,1408,5280,5120,10400,5268922,True,0
Polygon recent,first_fit,long_record_square,766,11,210,24634,49066,2129920,1302528,176,1332,2080,3412,2154730,True,0
Polygon recent,first_fit,long_record_one_record_row,766,11,210,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,first_fit,long_record_min_total_Q1,766,11,210,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,first_fit,long_record_min_total_Q10,766,11,210,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,first_fit,long_record_min_total_Q100,766,11,210,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,first_fit,long_record_min_total_Q1000,766,11,210,24634,49066,1490944,2048000,176,2052,1456,3508,1515754,True,0
Polygon recent,first_fit,long_record_min_total_Q10000,766,11,210,24634,49066,1916928,1454080,176,1476,1872,3348,1941738,True,0
Polygon recent,activebalance,eight_chunks_square,766,11,70,24634,49066,5767168,6488064,1408,6336,5632,11968,5793210,True,0
Polygon recent,activebalance,long_record_square,766,11,70,24634,49066,2342912,1576960,176,1584,2288,3872,2367722,True,0
Polygon recent,activebalance,long_record_one_record_row,766,11,70,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,activebalance,long_record_min_total_Q1,766,11,70,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,activebalance,long_record_min_total_Q10,766,11,70,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,activebalance,long_record_min_total_Q100,766,11,70,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,activebalance,long_record_min_total_Q1000,766,11,70,24634,49066,1171456,3137536,176,3120,1144,4264,1196266,True,0
Polygon recent,activebalance,long_record_min_total_Q10000,766,11,70,24634,49066,2342912,1576960,176,1584,2288,3872,2367722,True,0
Polygon recent,nonempty_depth,eight_chunks_square,766,16,168,24674,49066,6553600,5734400,2048,6336,6400,12736,6580322,True,0
Polygon recent,nonempty_depth,long_record_square,766,16,168,24674,49066,2875392,1392640,256,1452,2808,4260,2900322,True,0
Polygon recent,nonempty_depth,long_record_one_record_row,766,16,168,24674,49066,1703936,3137536,256,3144,1664,4808,1728866,True,0
Polygon recent,nonempty_depth,long_record_min_total_Q1,766,16,168,24674,49066,1703936,3137536,256,3144,1664,4808,1728866,True,0
Polygon recent,nonempty_depth,long_record_min_total_Q10,766,16,168,24674,49066,1703936,3137536,256,3144,1664,4808,1728866,True,0
Polygon recent,nonempty_depth,long_record_min_total_Q100,766,16,168,24674,49066,1703936,3137536,256,3144,1664,4808,1728866,True,0
Polygon recent,nonempty_depth,long_record_min_total_Q1000,766,16,168,24674,49066,2023424,2244608,256,2268,1976,4244,2048354,True,0
Polygon recent,nonempty_depth,long_record_min_total_Q10000,766,16,168,24674,49066,2236416,1921024,256,1944,2184,4128,2261346,True,0
