color	position	swapped_node
A	0	2
A	1	13
A	2	24
A	3	25
A	4	15
A	5	28
A	6	29
B	0	3
B	1	9
B	2	16
B	3	17
B	4	11
B	5	20
B	6	21
C	0	4
C	1	10
C	2	22
C	3	23
C	4	6
C	5	14
C	6	30
C	7	31
D	0	5
D	1	8
D	2	18
D	3	19
D	4	7
D	5	12
D	6	26
D	7	27
